cohort,target_fpr,mode,thresholds,risk_caught,risk_total,recall,false_alarms,timely_fpr,median_clock_alarm_chunk,risk_length_pinned_at_cap
development_main,0.005,global,"{'libero_goal': 40, 'libero_long': 40, 'libero_object': 40, 'libero_spatial': 40}",222,487,0.45585215605749485,54,0.0037727939635296584,40.0,
development_main,0.005,per_suite,"{'libero_goal': 21, 'libero_long': 44, 'libero_object': 20, 'libero_spatial': 14}",487,487,1.0,60,0.004191993292810731,21.0,
development_main,0.01,global,"{'libero_goal': 39, 'libero_long': 39, 'libero_object': 39, 'libero_spatial': 39}",222,487,0.45585215605749485,101,0.007056522042898064,39.0,
development_main,0.01,per_suite,"{'libero_goal': 20, 'libero_long': 42, 'libero_object': 19, 'libero_spatial': 14}",487,487,1.0,87,0.0060783902745755606,20.0,
development_main,0.02,global,"{'libero_goal': 34, 'libero_long': 34, 'libero_object': 34, 'libero_spatial': 34}",222,487,0.45585215605749485,285,0.019911968140850975,34.0,
development_main,0.02,per_suite,"{'libero_goal': 19, 'libero_long': 41, 'libero_object': 17, 'libero_spatial': 14}",487,487,1.0,188,0.013134912317473626,19.0,1.0
external_8b,0.005,global,"{'libero_goal': 40, 'libero_long': 40, 'libero_object': 40, 'libero_spatial': 40}",274,564,0.4858156028368794,60,0.0039904229848363925,40.0,
external_8b,0.005,per_suite,"{'libero_goal': 21, 'libero_long': 44, 'libero_object': 20, 'libero_spatial': 15}",564,564,1.0,55,0.0036578877361000267,21.0,
external_8b,0.01,global,"{'libero_goal': 39, 'libero_long': 39, 'libero_object': 39, 'libero_spatial': 39}",274,564,0.4858156028368794,110,0.007315775472200053,39.0,
external_8b,0.01,per_suite,"{'libero_goal': 20, 'libero_long': 41, 'libero_object': 18, 'libero_spatial': 14}",564,564,1.0,129,0.008579409417398244,20.0,
external_8b,0.02,global,"{'libero_goal': 32, 'libero_long': 32, 'libero_object': 32, 'libero_spatial': 32}",274,564,0.4858156028368794,295,0.019619579675445597,32.0,
external_8b,0.02,per_suite,"{'libero_goal': 20, 'libero_long': 40, 'libero_object': 18, 'libero_spatial': 14}",564,564,1.0,152,0.010109071561585529,20.0,1.0
