level,cohort,suite,task,failure,episodes,both,euclidean_only,cosine_only,neither,cosine_earlier,cosine_later,same_query
all,all,all,all,False,30904,27,2727,645,27505,26,1,0
all,all,all,all,True,1096,36,941,2,117,36,0,0
cohort,A,all,all,False,15468,14,1335,308,13811,13,1,0
cohort,A,all,all,True,532,17,461,0,54,17,0,0
cohort,B,all,all,False,15436,13,1392,337,13694,13,0,0
cohort,B,all,all,True,564,19,480,2,63,19,0,0
suite,all,libero_goal,all,False,7792,21,1906,280,5585,21,0,0
suite,all,libero_goal,all,True,208,26,180,0,2,26,0,0
suite,all,libero_long,all,False,7459,1,158,202,7098,0,1,0
suite,all,libero_long,all,True,541,5,425,2,109,5,0,0
suite,all,libero_object,all,False,7919,0,141,73,7705,0,0,0
suite,all,libero_object,all,True,81,0,75,0,6,0,0,0
suite,all,libero_spatial,all,False,7734,5,522,90,7117,5,0,0
suite,all,libero_spatial,all,True,266,5,261,0,0,5,0,0
