level,cohort,suite,task,method,failure,episodes,cutoff_query,detected,recall
cohort,A,all,all,norm_only,True,532,7,1,0.0018796992481203006
cohort,A,all,all,norm_only,True,532,10,11,0.020676691729323307
cohort,A,all,all,norm_only,True,532,14,58,0.10902255639097744
cohort,A,all,all,norm_only,True,532,19,187,0.35150375939849626
cohort,A,all,all,norm_only,True,532,29,273,0.5131578947368421
cohort,A,all,all,norm_only,True,532,39,378,0.7105263157894737
cohort,A,all,all,norm_only,True,532,51,400,0.7518796992481203
cohort,B,all,all,euclidean,True,564,7,0,0.0
cohort,B,all,all,euclidean,True,564,10,28,0.04964539007092199
cohort,B,all,all,euclidean,True,564,14,181,0.32092198581560283
cohort,B,all,all,euclidean,True,564,19,266,0.4716312056737589
cohort,B,all,all,euclidean,True,564,29,335,0.5939716312056738
cohort,B,all,all,euclidean,True,564,39,463,0.8209219858156028
cohort,B,all,all,euclidean,True,564,51,499,0.8847517730496454
cohort,B,all,all,cosine,True,564,7,1,0.0017730496453900709
cohort,B,all,all,cosine,True,564,10,4,0.0070921985815602835
cohort,B,all,all,cosine,True,564,14,16,0.028368794326241134
cohort,B,all,all,cosine,True,564,19,18,0.031914893617021274
cohort,B,all,all,cosine,True,564,29,20,0.03546099290780142
cohort,B,all,all,cosine,True,564,39,20,0.03546099290780142
cohort,B,all,all,cosine,True,564,51,21,0.03723404255319149
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,7,2,0.0035460992907801418
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,10,18,0.031914893617021274
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,14,98,0.17375886524822695
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,19,235,0.4166666666666667
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,29,315,0.5585106382978723
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,39,438,0.776595744680851
cohort,B,all,all,cosine_neighbors_euclidean_score,True,564,51,464,0.8226950354609929
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,7,1,0.0017730496453900709
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,10,3,0.005319148936170213
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,14,15,0.026595744680851064
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,19,16,0.028368794326241134
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,29,16,0.028368794326241134
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,39,16,0.028368794326241134
cohort,B,all,all,euclidean_neighbors_cosine_score,True,564,51,16,0.028368794326241134
cohort,B,all,all,cosine_without_center,True,564,7,6,0.010638297872340425
cohort,B,all,all,cosine_without_center,True,564,10,37,0.06560283687943262
cohort,B,all,all,cosine_without_center,True,564,14,46,0.08156028368794327
cohort,B,all,all,cosine_without_center,True,564,19,70,0.12411347517730496
cohort,B,all,all,cosine_without_center,True,564,29,80,0.14184397163120568
cohort,B,all,all,cosine_without_center,True,564,39,81,0.14361702127659576
cohort,B,all,all,cosine_without_center,True,564,51,82,0.1453900709219858
cohort,B,all,all,norm_only,True,564,7,0,0.0
cohort,B,all,all,norm_only,True,564,10,15,0.026595744680851064
cohort,B,all,all,norm_only,True,564,14,74,0.13120567375886524
cohort,B,all,all,norm_only,True,564,19,198,0.35106382978723405
cohort,B,all,all,norm_only,True,564,29,285,0.5053191489361702
cohort,B,all,all,norm_only,True,564,39,400,0.7092198581560284
cohort,B,all,all,norm_only,True,564,51,424,0.75177304964539
suite,all,libero_goal,all,euclidean,True,208,7,0,0.0
suite,all,libero_goal,all,euclidean,True,208,10,20,0.09615384615384616
suite,all,libero_goal,all,euclidean,True,208,14,81,0.3894230769230769
suite,all,libero_goal,all,euclidean,True,208,19,137,0.6586538461538461
suite,all,libero_goal,all,euclidean,True,208,29,206,0.9903846153846154
suite,all,libero_goal,all,euclidean,True,208,39,206,0.9903846153846154
suite,all,libero_goal,all,euclidean,True,208,51,206,0.9903846153846154
suite,all,libero_goal,all,cosine,True,208,7,3,0.014423076923076924
suite,all,libero_goal,all,cosine,True,208,10,7,0.03365384615384615
suite,all,libero_goal,all,cosine,True,208,14,24,0.11538461538461539
suite,all,libero_goal,all,cosine,True,208,19,26,0.125
suite,all,libero_goal,all,cosine,True,208,29,26,0.125
suite,all,libero_goal,all,cosine,True,208,39,26,0.125
suite,all,libero_goal,all,cosine,True,208,51,26,0.125
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,7,0,0.0
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,10,13,0.0625
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,14,67,0.32211538461538464
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,19,100,0.4807692307692308
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,29,188,0.9038461538461539
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,True,208,39,188,0.9038461538461539
