level,cohort,suite,task,calibration,method,alpha,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
suite,all,libero_goal,all,episode,euclidean,0.05,8000,208,7792,208,0,3390,4402,1.0,0.43506160164271046,0.057809894385769875
suite,all,libero_goal,all,episode,cosine,0.05,8000,208,7792,90,118,844,6948,0.4326923076923077,0.10831622176591375,0.09635974304068523
suite,all,libero_goal,all,episode,cosine_neighbors_euclidean_score,0.05,8000,208,7792,208,0,2725,5067,1.0,0.349717659137577,0.07091714967609955
suite,all,libero_goal,all,episode,euclidean_neighbors_cosine_score,0.05,8000,208,7792,87,121,944,6848,0.4182692307692308,0.12114989733059549,0.08438409311348205
suite,all,libero_goal,all,episode,cosine_without_center,0.05,8000,208,7792,117,91,1159,6633,0.5625,0.1487422997946612,0.09169278996865204
suite,all,libero_goal,all,episode,norm_only,0.05,8000,208,7792,196,12,1476,6316,0.9423076923076923,0.18942505133470225,0.11722488038277512
suite,all,libero_goal,all,task_init,euclidean,0.05,8000,208,7792,206,2,1927,5865,0.9903846153846154,0.24730492813141683,0.09657759024847633
suite,all,libero_goal,all,task_init,cosine,0.05,8000,208,7792,26,182,301,7491,0.125,0.03862936344969199,0.07951070336391437
suite,all,libero_goal,all,task_init,cosine_neighbors_euclidean_score,0.05,8000,208,7792,188,20,1508,6284,0.9038461538461539,0.1935318275154004,0.11084905660377359
suite,all,libero_goal,all,task_init,euclidean_neighbors_cosine_score,0.05,8000,208,7792,26,182,393,7399,0.125,0.05043634496919918,0.06205250596658711
suite,all,libero_goal,all,task_init,cosine_without_center,0.05,8000,208,7792,80,128,555,7237,0.38461538461538464,0.07122689938398358,0.12598425196850394
suite,all,libero_goal,all,task_init,norm_only,0.05,8000,208,7792,183,25,871,6921,0.8798076923076923,0.11178131416837782,0.17362428842504743
suite,all,libero_long,all,episode,euclidean,0.05,8000,541,7459,521,20,1040,6419,0.9630314232902033,0.13942887786566563,0.33376040999359385
suite,all,libero_long,all,episode,cosine,0.05,8000,541,7459,35,506,785,6674,0.06469500924214418,0.10524198954283416,0.042682926829268296
suite,all,libero_long,all,episode,cosine_neighbors_euclidean_score,0.05,8000,541,7459,481,60,956,6503,0.88909426987061,0.1281673146534388,0.3347251217814892
suite,all,libero_long,all,episode,euclidean_neighbors_cosine_score,0.05,8000,541,7459,15,526,521,6938,0.027726432532347505,0.0698485051615498,0.027985074626865673
suite,all,libero_long,all,episode,cosine_without_center,0.05,8000,541,7459,66,475,1152,6307,0.12199630314232902,0.15444429548196809,0.054187192118226604
suite,all,libero_long,all,episode,norm_only,0.05,8000,541,7459,432,109,625,6834,0.7985212569316081,0.08379139294811637,0.4087038789025544
suite,all,libero_long,all,task_init,euclidean,0.05,8000,541,7459,430,111,159,7300,0.7948243992606284,0.021316530366000803,0.7300509337860781
suite,all,libero_long,all,task_init,cosine,0.05,8000,541,7459,7,534,203,7256,0.012939001848428836,0.027215444429548197,0.03333333333333333
suite,all,libero_long,all,task_init,cosine_neighbors_euclidean_score,0.05,8000,541,7459,381,160,145,7314,0.7042513863216266,0.019439603163963,0.7243346007604563
suite,all,libero_long,all,task_init,euclidean_neighbors_cosine_score,0.05,8000,541,7459,2,539,107,7352,0.0036968576709796672,0.014345086472717523,0.01834862385321101
suite,all,libero_long,all,task_init,cosine_without_center,0.05,8000,541,7459,17,524,370,7089,0.031423290203327174,0.049604504625284894,0.04392764857881137
suite,all,libero_long,all,task_init,norm_only,0.05,8000,541,7459,334,207,54,7405,0.6173752310536045,0.007239576350717254,0.8608247422680413
suite,all,libero_object,all,episode,euclidean,0.05,8000,81,7919,81,0,682,7237,1.0,0.08612198509912868,0.10615989515072084
suite,all,libero_object,all,episode,cosine,0.05,8000,81,7919,7,74,605,7314,0.08641975308641975,0.07639853516858189,0.011437908496732025
suite,all,libero_object,all,episode,cosine_neighbors_euclidean_score,0.05,8000,81,7919,80,1,576,7343,0.9876543209876543,0.07273645662331102,0.12195121951219512
suite,all,libero_object,all,episode,euclidean_neighbors_cosine_score,0.05,8000,81,7919,3,78,551,7368,0.037037037037037035,0.06957949236014649,0.005415162454873646
suite,all,libero_object,all,episode,cosine_without_center,0.05,8000,81,7919,39,42,444,7475,0.48148148148148145,0.05606768531380225,0.08074534161490683
suite,all,libero_object,all,episode,norm_only,0.05,8000,81,7919,78,3,660,7259,0.9629629629629629,0.08334385654754388,0.10569105691056911
suite,all,libero_object,all,task_init,euclidean,0.05,8000,81,7919,75,6,141,7778,0.9259259259259259,0.01780527844424801,0.3472222222222222
suite,all,libero_object,all,task_init,cosine,0.05,8000,81,7919,0,81,73,7846,0.0,0.00921833564844046,0.0
suite,all,libero_object,all,task_init,cosine_neighbors_euclidean_score,0.05,8000,81,7919,77,4,164,7755,0.9506172839506173,0.02070968556635939,0.31950207468879666
suite,all,libero_object,all,task_init,euclidean_neighbors_cosine_score,0.05,8000,81,7919,0,81,54,7865,0.0,0.006819042808435409,0.0
suite,all,libero_object,all,task_init,cosine_without_center,0.05,8000,81,7919,27,54,107,7812,0.3333333333333333,0.013511807046344235,0.20149253731343283
suite,all,libero_object,all,task_init,norm_only,0.05,8000,81,7919,67,14,253,7666,0.8271604938271605,0.03194847834322515,0.209375
suite,all,libero_spatial,all,episode,euclidean,0.05,8000,266,7734,266,0,1829,5905,1.0,0.2364882337729506,0.1269689737470167
suite,all,libero_spatial,all,episode,cosine,0.05,8000,266,7734,67,199,508,7226,0.2518796992481203,0.06568399275924489,0.11652173913043479
suite,all,libero_spatial,all,episode,cosine_neighbors_euclidean_score,0.05,8000,266,7734,266,0,1100,6634,1.0,0.1422291181794673,0.19472913616398244
suite,all,libero_spatial,all,episode,euclidean_neighbors_cosine_score,0.05,8000,266,7734,28,238,536,7198,0.10526315789473684,0.06930437031290405,0.04964539007092199
suite,all,libero_spatial,all,episode,cosine_without_center,0.05,8000,266,7734,112,154,595,7139,0.42105263157894735,0.0769330230152573,0.15841584158415842
suite,all,libero_spatial,all,episode,norm_only,0.05,8000,266,7734,261,5,621,7113,0.981203007518797,0.08029480217222654,0.29591836734693877
suite,all,libero_spatial,all,task_init,euclidean,0.05,8000,266,7734,266,0,527,7207,1.0,0.06814067752779933,0.3354350567465322
suite,all,libero_spatial,all,task_init,cosine,0.05,8000,266,7734,5,261,95,7639,0.018796992481203006,0.012283423842772175,0.05
suite,all,libero_spatial,all,task_init,cosine_neighbors_euclidean_score,0.05,8000,266,7734,264,2,150,7584,0.9924812030075187,0.019394879751745538,0.6376811594202898
suite,all,libero_spatial,all,task_init,euclidean_neighbors_cosine_score,0.05,8000,266,7734,2,264,88,7646,0.007518796992481203,0.011378329454357383,0.022222222222222223
suite,all,libero_spatial,all,task_init,cosine_without_center,0.05,8000,266,7734,34,232,93,7641,0.12781954887218044,0.012024825446082235,0.2677165354330709
suite,all,libero_spatial,all,task_init,norm_only,0.05,8000,266,7734,240,26,289,7445,0.9022556390977443,0.037367468321696407,0.45368620037807184
