level,cohort,suite,task,method,event_episodes,before,at,after,missed
all,all,all,all,euclidean,216,23,6,162,25
all,all,all,all,cosine,216,14,0,1,201
all,all,all,all,cosine_neighbors_euclidean_score,216,15,1,164,36
all,all,all,all,euclidean_neighbors_cosine_score,216,10,0,0,206
all,all,all,all,cosine_without_center,216,27,1,19,169
all,all,all,all,norm_only,216,8,1,159,48
cohort,A,all,all,euclidean,0,0,0,0,0
cohort,A,all,all,cosine,0,0,0,0,0
cohort,A,all,all,cosine_neighbors_euclidean_score,0,0,0,0,0
cohort,A,all,all,euclidean_neighbors_cosine_score,0,0,0,0,0
cohort,A,all,all,cosine_without_center,0,0,0,0,0
cohort,A,all,all,norm_only,0,0,0,0,0
cohort,B,all,all,euclidean,216,23,6,162,25
cohort,B,all,all,cosine,216,14,0,1,201
cohort,B,all,all,cosine_neighbors_euclidean_score,216,15,1,164,36
cohort,B,all,all,euclidean_neighbors_cosine_score,216,10,0,0,206
cohort,B,all,all,cosine_without_center,216,27,1,19,169
cohort,B,all,all,norm_only,216,8,1,159,48
suite,all,libero_goal,all,euclidean,53,4,3,44,2
suite,all,libero_goal,all,cosine,53,13,0,0,40
suite,all,libero_goal,all,cosine_neighbors_euclidean_score,53,4,0,42,7
suite,all,libero_goal,all,euclidean_neighbors_cosine_score,53,10,0,0,43
suite,all,libero_goal,all,cosine_without_center,53,25,0,1,27
suite,all,libero_goal,all,norm_only,53,1,0,42,10
suite,all,libero_long,all,euclidean,63,6,0,37,20
suite,all,libero_long,all,cosine,63,1,0,1,61
suite,all,libero_long,all,cosine_neighbors_euclidean_score,63,4,0,32,27
suite,all,libero_long,all,euclidean_neighbors_cosine_score,63,0,0,0,63
suite,all,libero_long,all,cosine_without_center,63,1,0,2,60
suite,all,libero_long,all,norm_only,63,1,0,38,24
suite,all,libero_object,all,euclidean,17,1,1,12,3
suite,all,libero_object,all,cosine,17,0,0,0,17
suite,all,libero_object,all,cosine_neighbors_euclidean_score,17,3,0,12,2
suite,all,libero_object,all,euclidean_neighbors_cosine_score,17,0,0,0,17
suite,all,libero_object,all,cosine_without_center,17,0,1,6,10
suite,all,libero_object,all,norm_only,17,2,0,10,5
suite,all,libero_spatial,all,euclidean,83,12,2,69,0
suite,all,libero_spatial,all,cosine,83,0,0,0,83
suite,all,libero_spatial,all,cosine_neighbors_euclidean_score,83,4,1,78,0
suite,all,libero_spatial,all,euclidean_neighbors_cosine_score,83,0,0,0,83
suite,all,libero_spatial,all,cosine_without_center,83,1,0,10,72
suite,all,libero_spatial,all,norm_only,83,4,1,69,9
