level,cohort,suite,task,method,failure,episodes,query_bin,count,fraction
all,all,all,all,euclidean,False,30904,no_alarm,28150,0.9108853222883769
all,all,all,all,euclidean,False,30904,q0-6,0,0.0
all,all,all,all,euclidean,False,30904,q7,4,0.00012943308309603936
all,all,all,all,euclidean,False,30904,q8-10,1829,0.05918327724566399
all,all,all,all,euclidean,False,30904,q11-14,798,0.02582190007765985
all,all,all,all,euclidean,False,30904,q15-19,65,0.0021032876003106394
all,all,all,all,euclidean,False,30904,q20-29,27,0.0008736733108982656
all,all,all,all,euclidean,False,30904,q30-39,31,0.001003106393994305
all,all,all,all,euclidean,False,30904,q40-51,0,0.0
all,all,all,all,euclidean,True,1096,no_alarm,119,0.10857664233576643
all,all,all,all,euclidean,True,1096,q0-6,0,0.0
all,all,all,all,euclidean,True,1096,q7,0,0.0
all,all,all,all,euclidean,True,1096,q8-10,63,0.05748175182481752
all,all,all,all,euclidean,True,1096,q11-14,278,0.25364963503649635
all,all,all,all,euclidean,True,1096,q15-19,167,0.15237226277372262
all,all,all,all,euclidean,True,1096,q20-29,145,0.1322992700729927
all,all,all,all,euclidean,True,1096,q30-39,246,0.22445255474452555
all,all,all,all,euclidean,True,1096,q40-51,78,0.07116788321167883
all,all,all,all,cosine,False,30904,no_alarm,30232,0.9782552420398654
all,all,all,all,cosine,False,30904,q0-6,0,0.0
all,all,all,all,cosine,False,30904,q7,138,0.004465441366813357
all,all,all,all,cosine,False,30904,q8-10,118,0.0038182759513331606
all,all,all,all,cosine,False,30904,q11-14,266,0.008607300025886616
all,all,all,all,cosine,False,30904,q15-19,114,0.0036888428682371214
all,all,all,all,cosine,False,30904,q20-29,34,0.0011001812063163344
all,all,all,all,cosine,False,30904,q30-39,2,6.471654154801968e-05
all,all,all,all,cosine,False,30904,q40-51,0,0.0
all,all,all,all,cosine,True,1096,no_alarm,1058,0.9653284671532847
all,all,all,all,cosine,True,1096,q0-6,0,0.0
all,all,all,all,cosine,True,1096,q7,5,0.004562043795620438
all,all,all,all,cosine,True,1096,q8-10,7,0.006386861313868613
all,all,all,all,cosine,True,1096,q11-14,18,0.016423357664233577
all,all,all,all,cosine,True,1096,q15-19,4,0.0036496350364963502
all,all,all,all,cosine,True,1096,q20-29,3,0.002737226277372263
all,all,all,all,cosine,True,1096,q30-39,0,0.0
all,all,all,all,cosine,True,1096,q40-51,1,0.0009124087591240876
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,no_alarm,28937,0.9363512813875227
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,q0-6,0,0.0
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,q7,92,0.002976960911208905
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,q8-10,1226,0.03967123996893606
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,q11-14,535,0.017311674864095263
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,q15-19,65,0.0021032876003106394
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,q20-29,19,0.0006148071447061869
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,q30-39,30,0.0009707481232202951
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,q40-51,0,0.0
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,no_alarm,186,0.16970802919708028
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,q0-6,0,0.0
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,q7,3,0.002737226277372263
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,q8-10,35,0.03193430656934307
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,q11-14,141,0.12864963503649635
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,q15-19,275,0.2509124087591241
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,q20-29,163,0.14872262773722628
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,q30-39,237,0.21624087591240876
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,q40-51,56,0.051094890510948905
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,no_alarm,30262,0.9792259901630856
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,q0-6,0,0.0
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,q7,286,0.009254465441366813
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,q8-10,146,0.004724307533005436
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,q11-14,151,0.0048860988868754856
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,q15-19,54,0.0017473466217965312
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,q20-29,3,9.70748123220295e-05
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,q30-39,2,6.471654154801968e-05
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,q40-51,0,0.0
all,all,all,all,euclidean_neighbors_cosine_score,True,1096,no_alarm,1066,0.9726277372262774
