level,cohort,suite,task,method,failure,episodes,progress_bin,count,alarms,fraction_of_alarms
all,all,all,all,euclidean,False,30904,"[0,25%)",2,2754,0.0007262164124909223
all,all,all,all,euclidean,False,30904,"[25,50%)",48,2754,0.017429193899782137
all,all,all,all,euclidean,False,30904,"[50,75%)",1125,2754,0.4084967320261438
all,all,all,all,euclidean,False,30904,"[75,100%)",1579,2754,0.5733478576615831
all,all,all,all,euclidean,True,1096,"[0,25%)",30,977,0.030706243602865915
all,all,all,all,euclidean,True,1096,"[25,50%)",159,977,0.16274309109518936
all,all,all,all,euclidean,True,1096,"[50,75%)",598,977,0.6120777891504606
all,all,all,all,euclidean,True,1096,"[75,100%)",190,977,0.19447287615148415
all,all,all,all,cosine,False,30904,"[0,25%)",0,672,0.0
all,all,all,all,cosine,False,30904,"[25,50%)",98,672,0.14583333333333334
all,all,all,all,cosine,False,30904,"[50,75%)",327,672,0.48660714285714285
all,all,all,all,cosine,False,30904,"[75,100%)",247,672,0.36755952380952384
all,all,all,all,cosine,True,1096,"[0,25%)",4,38,0.10526315789473684
all,all,all,all,cosine,True,1096,"[25,50%)",28,38,0.7368421052631579
all,all,all,all,cosine,True,1096,"[50,75%)",5,38,0.13157894736842105
all,all,all,all,cosine,True,1096,"[75,100%)",1,38,0.02631578947368421
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,"[0,25%)",2,1967,0.0010167768174885613
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,"[25,50%)",56,1967,0.028469750889679714
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,"[50,75%)",984,1967,0.5002541942043721
all,all,all,all,cosine_neighbors_euclidean_score,False,30904,"[75,100%)",925,1967,0.4702592780884596
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,"[0,25%)",25,910,0.027472527472527472
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,"[25,50%)",128,910,0.14065934065934066
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,"[50,75%)",464,910,0.5098901098901099
all,all,all,all,cosine_neighbors_euclidean_score,True,1096,"[75,100%)",293,910,0.321978021978022
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,"[0,25%)",1,642,0.001557632398753894
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,"[25,50%)",137,642,0.21339563862928349
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,"[50,75%)",330,642,0.514018691588785
all,all,all,all,euclidean_neighbors_cosine_score,False,30904,"[75,100%)",174,642,0.27102803738317754
