method,calibration,threshold,units,rank,fold,suite
euclidean_neighbors_cosine_score,episode,0.473927766084671,515,491,libero_long_full_2,libero_long
euclidean_neighbors_cosine_score,task_init,0.5538575649261475,68,66,libero_long_full_2,libero_long
cosine_without_center,episode,0.311869204044342,515,491,libero_long_full_2,libero_long
cosine_without_center,task_init,0.3776854574680328,68,66,libero_long_full_2,libero_long
norm_only,episode,8.800275802612305,515,491,libero_long_full_2,libero_long
norm_only,task_init,10.923628807067873,68,66,libero_long_full_2,libero_long
euclidean,episode,2.544574499130249,503,479,libero_long_full_3,libero_long
euclidean,task_init,4.464548110961914,67,65,libero_long_full_3,libero_long
cosine,episode,0.3504864871501922,503,479,libero_long_full_3,libero_long
cosine,task_init,0.4352206289768219,67,65,libero_long_full_3,libero_long
cosine_neighbors_euclidean_score,episode,4.642955303192139,503,479,libero_long_full_3,libero_long
cosine_neighbors_euclidean_score,task_init,6.735311031341553,67,65,libero_long_full_3,libero_long
euclidean_neighbors_cosine_score,episode,0.4788429141044616,503,479,libero_long_full_3,libero_long
euclidean_neighbors_cosine_score,task_init,0.5858906507492065,67,65,libero_long_full_3,libero_long
cosine_without_center,episode,0.3141283988952636,503,479,libero_long_full_3,libero_long
cosine_without_center,task_init,0.3926379978656769,67,65,libero_long_full_3,libero_long
norm_only,episode,7.742671012878418,503,479,libero_long_full_3,libero_long
norm_only,task_init,14.248290061950684,67,65,libero_long_full_3,libero_long
euclidean,episode,1.7712910175323486,551,525,libero_object_full_0,libero_object
euclidean,task_init,2.798142433166504,70,68,libero_object_full_0,libero_object
cosine,episode,0.3130182027816772,551,525,libero_object_full_0,libero_object
cosine,task_init,0.4424794614315033,70,68,libero_object_full_0,libero_object
cosine_neighbors_euclidean_score,episode,2.710806369781494,551,525,libero_object_full_0,libero_object
cosine_neighbors_euclidean_score,task_init,3.4756205081939697,70,68,libero_object_full_0,libero_object
euclidean_neighbors_cosine_score,episode,0.4514399766921997,551,525,libero_object_full_0,libero_object
euclidean_neighbors_cosine_score,task_init,0.6856396794319153,70,68,libero_object_full_0,libero_object
cosine_without_center,episode,0.2325295805931091,551,525,libero_object_full_0,libero_object
cosine_without_center,task_init,0.3334482610225677,70,68,libero_object_full_0,libero_object
norm_only,episode,6.066745758056641,551,525,libero_object_full_0,libero_object
norm_only,task_init,8.035072326660156,70,68,libero_object_full_0,libero_object
euclidean,episode,1.3458218574523926,559,532,libero_object_full_1,libero_object
euclidean,task_init,2.344538450241089,70,68,libero_object_full_1,libero_object
cosine,episode,0.2958981096744537,559,532,libero_object_full_1,libero_object
cosine,task_init,0.4150772988796234,70,68,libero_object_full_1,libero_object
cosine_neighbors_euclidean_score,episode,2.102557420730591,559,532,libero_object_full_1,libero_object
cosine_neighbors_euclidean_score,task_init,2.620301961898804,70,68,libero_object_full_1,libero_object
euclidean_neighbors_cosine_score,episode,0.3943328261375427,559,532,libero_object_full_1,libero_object
euclidean_neighbors_cosine_score,task_init,0.5818333625793457,70,68,libero_object_full_1,libero_object
cosine_without_center,episode,0.2149116843938827,559,532,libero_object_full_1,libero_object
cosine_without_center,task_init,0.3148912787437439,70,68,libero_object_full_1,libero_object
norm_only,episode,4.881370544433594,559,532,libero_object_full_1,libero_object
