fold,minimum_query_norm,minimum_bank_norm
libero_goal_full_0,0.3643973214802142,0.5322309098128201
libero_goal_full_1,0.44519458684846064,0.38302266503316745
libero_goal_full_2,0.7080206082594996,0.6319973740653752
libero_goal_full_3,0.33291471822812063,0.3794874254614127
libero_long_full_0,0.461656556038174,0.5939185154714188
libero_long_full_1,0.5073171912271826,0.39372464116568706
libero_long_full_2,0.44911509517567344,0.6611260600391583
libero_long_full_3,0.4887933433582405,0.5288157284371421
libero_object_full_0,0.327755387640625,0.512111166090179
libero_object_full_1,0.35517990111642406,0.5056641680780438
libero_object_full_2,0.4646583471737666,0.4092644243527576
libero_object_full_3,0.37552737193342517,0.40070670354049714
libero_spatial_full_0,0.4910899405904546,0.43786813035483413
libero_spatial_full_1,0.4014966950365346,0.3696488961601263
libero_spatial_full_2,0.4313618640277059,0.5164044857740696
libero_spatial_full_3,0.4675408354668664,0.3760825316246214
