level,cohort,suite,task,calibration,method,alpha,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
all,all,all,all,episode,euclidean,0.05,32000,1096,30904,1076,20,6941,23963,0.9817518248175182,0.2245987574424023,0.1342147935636772
all,all,all,all,episode,cosine,0.05,32000,1096,30904,199,897,2742,28162,0.18156934306569342,0.08872637846233497,0.06766405984359061
all,all,all,all,episode,cosine_neighbors_euclidean_score,0.05,32000,1096,30904,1035,61,5357,25547,0.9443430656934306,0.1733432565363707,0.1619211514392991
all,all,all,all,episode,euclidean_neighbors_cosine_score,0.05,32000,1096,30904,133,963,2552,28352,0.12135036496350365,0.0825783070152731,0.04953445065176909
all,all,all,all,episode,cosine_without_center,0.05,32000,1096,30904,334,762,3350,27554,0.30474452554744524,0.10840020709293295,0.09066232356134636
all,all,all,all,episode,norm_only,0.05,32000,1096,30904,967,129,3382,27522,0.8822992700729927,0.10943567175770127,0.2223499655093125
all,all,all,all,task_init,euclidean,0.05,32000,1096,30904,977,119,2754,28150,0.8914233576642335,0.0891146777116231,0.2618600911283838
all,all,all,all,task_init,cosine,0.05,32000,1096,30904,38,1058,672,30232,0.03467153284671533,0.02174475796013461,0.05352112676056338
all,all,all,all,task_init,cosine_neighbors_euclidean_score,0.05,32000,1096,30904,910,186,1967,28937,0.8302919708029197,0.06364871861247735,0.31630170316301703
all,all,all,all,task_init,euclidean_neighbors_cosine_score,0.05,32000,1096,30904,30,1066,642,30262,0.02737226277372263,0.020774009836914315,0.044642857142857144
all,all,all,all,task_init,cosine_without_center,0.05,32000,1096,30904,158,938,1125,29779,0.14416058394160583,0.036403054620761065,0.12314886983632112
all,all,all,all,task_init,norm_only,0.05,32000,1096,30904,824,272,1467,29437,0.7518248175182481,0.04746958322547243,0.35966826713225664
cohort,A,all,all,episode,euclidean,0.05,16000,532,15468,522,10,3433,12035,0.981203007518797,0.22194207395914145,0.13198482932996208
cohort,A,all,all,episode,cosine,0.05,16000,532,15468,90,442,1383,14085,0.16917293233082706,0.08941039565554694,0.06109979633401222
cohort,A,all,all,episode,cosine_neighbors_euclidean_score,0.05,16000,532,15468,501,31,2658,12810,0.9417293233082706,0.17183863460046547,0.15859449192782527
cohort,A,all,all,episode,euclidean_neighbors_cosine_score,0.05,16000,532,15468,60,472,1311,14157,0.11278195488721804,0.08475562451512801,0.0437636761487965
cohort,A,all,all,episode,cosine_without_center,0.05,16000,532,15468,164,368,1709,13759,0.3082706766917293,0.11048616498577708,0.08756006406833956
cohort,A,all,all,episode,norm_only,0.05,16000,532,15468,474,58,1660,13808,0.8909774436090225,0.10731833462632531,0.22211808809746955
cohort,A,all,all,task_init,euclidean,0.05,16000,532,15468,478,54,1349,14119,0.8984962406015038,0.08721230928368244,0.2616310892172961
cohort,A,all,all,task_init,cosine,0.05,16000,532,15468,17,515,322,15146,0.03195488721804511,0.020817170933540213,0.05014749262536873
cohort,A,all,all,task_init,cosine_neighbors_euclidean_score,0.05,16000,532,15468,446,86,987,14481,0.8383458646616542,0.06380915438324282,0.31123517096999304
cohort,A,all,all,task_init,euclidean_neighbors_cosine_score,0.05,16000,532,15468,14,518,322,15146,0.02631578947368421,0.020817170933540213,0.041666666666666664
cohort,A,all,all,task_init,cosine_without_center,0.05,16000,532,15468,76,456,575,14893,0.14285714285714285,0.03717351952417895,0.11674347158218126
cohort,A,all,all,task_init,norm_only,0.05,16000,532,15468,400,132,713,14755,0.7518796992481203,0.0460951642099819,0.35938903863432164
cohort,B,all,all,episode,euclidean,0.05,16000,564,15436,554,10,3508,11928,0.9822695035460993,0.22726094843223632,0.13638601674052192
cohort,B,all,all,episode,cosine,0.05,16000,564,15436,109,455,1359,14077,0.19326241134751773,0.08804094324954652,0.07425068119891008
cohort,B,all,all,episode,cosine_neighbors_euclidean_score,0.05,16000,564,15436,534,30,2699,12737,0.9468085106382979,0.17485099766778958,0.16517166718218373
cohort,B,all,all,episode,euclidean_neighbors_cosine_score,0.05,16000,564,15436,73,491,1241,14195,0.12943262411347517,0.08039647577092511,0.05555555555555555
cohort,B,all,all,episode,cosine_without_center,0.05,16000,564,15436,170,394,1641,13795,0.30141843971631205,0.10630992485099766,0.09387078961899503
cohort,B,all,all,episode,norm_only,0.05,16000,564,15436,493,71,1722,13714,0.874113475177305,0.11155739828971237,0.22257336343115125
cohort,B,all,all,task_init,euclidean,0.05,16000,564,15436,499,65,1405,14031,0.8847517730496454,0.09102098989375486,0.2620798319327731
cohort,B,all,all,task_init,cosine,0.05,16000,564,15436,21,543,350,15086,0.03723404255319149,0.022674267945063487,0.05660377358490566
cohort,B,all,all,task_init,cosine_neighbors_euclidean_score,0.05,16000,564,15436,464,100,980,14456,0.8226950354609929,0.06348795024617776,0.32132963988919666
cohort,B,all,all,task_init,euclidean_neighbors_cosine_score,0.05,16000,564,15436,16,548,320,15116,0.028368794326241134,0.020730759264058048,0.047619047619047616
cohort,B,all,all,task_init,cosine_without_center,0.05,16000,564,15436,82,482,550,14886,0.1453900709219858,0.035630992485099766,0.12974683544303797
