checkpoint,scope,method,tp,fp,failures,successes,recall,fpr
early_q7_q13,all,v7_frozen,20,4,564,15436,0.03546099290780142,0.0002591344908007256
early_q7_q13,all,v8_frozen,26,10,564,15436,0.04609929078014184,0.000647836227001814
early_q7_q13,all,v82_frozen,29,12,564,15436,0.051418439716312055,0.0007774034724021767
early_q7_q13,libero_goal,v7_frozen,2,0,106,3894,0.018867924528301886,0.0
early_q7_q13,libero_goal,v8_frozen,4,6,106,3894,0.03773584905660377,0.0015408320493066256
early_q7_q13,libero_goal,v82_frozen,5,7,106,3894,0.04716981132075472,0.0017976373908577298
early_q7_q13,libero_long,v7_frozen,18,1,274,3726,0.06569343065693431,0.00026838432635534085
early_q7_q13,libero_long,v8_frozen,18,1,274,3726,0.06569343065693431,0.00026838432635534085
early_q7_q13,libero_long,v82_frozen,18,1,274,3726,0.06569343065693431,0.00026838432635534085
early_q7_q13,libero_object,v7_frozen,0,3,44,3956,0.0,0.0007583417593528817
early_q7_q13,libero_object,v8_frozen,0,3,44,3956,0.0,0.0007583417593528817
early_q7_q13,libero_object,v82_frozen,0,3,44,3956,0.0,0.0007583417593528817
early_q7_q13,libero_spatial,v7_frozen,0,0,140,3860,0.0,0.0
early_q7_q13,libero_spatial,v8_frozen,4,0,140,3860,0.02857142857142857,0.0
early_q7_q13,libero_spatial,v82_frozen,6,1,140,3860,0.04285714285714286,0.00025906735751295336
through_50pct,all,v7_frozen,59,48,564,15436,0.10460992907801418,0.003109613889608707
through_50pct,all,v8_frozen,64,57,564,15436,0.11347517730496454,0.0036926664939103395
through_50pct,all,v82_frozen,70,65,564,15436,0.12411347517730496,0.00421093547551179
through_50pct,libero_goal,v7_frozen,16,0,106,3894,0.1509433962264151,0.0
through_50pct,libero_goal,v8_frozen,18,6,106,3894,0.16981132075471697,0.0015408320493066256
through_50pct,libero_goal,v82_frozen,21,7,106,3894,0.19811320754716982,0.0017976373908577298
through_50pct,libero_long,v7_frozen,42,45,274,3726,0.15328467153284672,0.012077294685990338
through_50pct,libero_long,v8_frozen,42,48,274,3726,0.15328467153284672,0.01288244766505636
through_50pct,libero_long,v82_frozen,44,54,274,3726,0.16058394160583941,0.014492753623188406
through_50pct,libero_object,v7_frozen,1,3,44,3956,0.022727272727272728,0.0007583417593528817
through_50pct,libero_object,v8_frozen,1,3,44,3956,0.022727272727272728,0.0007583417593528817
through_50pct,libero_object,v82_frozen,1,3,44,3956,0.022727272727272728,0.0007583417593528817
through_50pct,libero_spatial,v7_frozen,0,0,140,3860,0.0,0.0
through_50pct,libero_spatial,v8_frozen,3,0,140,3860,0.02142857142857143,0.0
through_50pct,libero_spatial,v82_frozen,4,1,140,3860,0.02857142857142857,0.00025906735751295336
through_60pct,all,v7_frozen,124,61,564,15436,0.2198581560283688,0.003951800984711065
through_60pct,all,v8_frozen,141,71,564,15436,0.25,0.004599637211712879
through_60pct,all,v82_frozen,153,80,564,15436,0.2712765957446808,0.005182689816014512
through_60pct,libero_goal,v7_frozen,18,0,106,3894,0.16981132075471697,0.0
through_60pct,libero_goal,v8_frozen,30,8,106,3894,0.2830188679245283,0.002054442732408834
through_60pct,libero_goal,v82_frozen,37,10,106,3894,0.3490566037735849,0.0025680534155110425
through_60pct,libero_long,v7_frozen,103,58,274,3726,0.3759124087591241,0.015566290928609769
through_60pct,libero_long,v8_frozen,104,60,274,3726,0.3795620437956204,0.01610305958132045
through_60pct,libero_long,v82_frozen,106,66,274,3726,0.38686131386861317,0.017713365539452495
through_60pct,libero_object,v7_frozen,3,3,44,3956,0.06818181818181818,0.0007583417593528817
through_60pct,libero_object,v8_frozen,3,3,44,3956,0.06818181818181818,0.0007583417593528817
through_60pct,libero_object,v82_frozen,4,3,44,3956,0.09090909090909091,0.0007583417593528817
through_60pct,libero_spatial,v7_frozen,0,0,140,3860,0.0,0.0
through_60pct,libero_spatial,v8_frozen,4,0,140,3860,0.02857142857142857,0.0
through_60pct,libero_spatial,v82_frozen,6,1,140,3860,0.04285714285714286,0.00025906735751295336
