window,task,suite,query,method,auc,failures,successes
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v7,0.6163829428619585,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v7,0.6163829428619585,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v7,0.6163829428619585,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v8_fixed,0.430642170908478,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v8_fixed,0.430642170908478,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v8_fixed,0.430642170908478,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v82,0.4344626102590033,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v82,0.4344626102590033,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,v82,0.4344626102590033,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,eef_motion_low,0.47041968649924154,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,eef_motion_low,0.47041968649924154,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,eef_motion_low,0.47041968649924154,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,clock,0.5,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,7,clock,0.5,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v7,0.6482386650935446,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v7,0.6482386650935446,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v7,0.6482386650935446,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v8_fixed,0.4583403561997865,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v8_fixed,0.4583403561997865,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v8_fixed,0.4583403561997865,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v82,0.43867633013090623,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v82,0.43867633013090623,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,v82,0.43867633013090623,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,eef_motion_low,0.40609022978819037,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,eef_motion_low,0.40609022978819037,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,eef_motion_low,0.40609022978819037,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,clock,0.5,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,clock,0.5,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,8,clock,0.5,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v7,0.6404854205292432,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v7,0.6404854205292432,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v7,0.6404854205292432,51,349
early_q7_q13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v8_fixed,0.6266082364177763,51,349
through_50pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v8_fixed,0.6266082364177763,51,349
through_60pct,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,libero_goal,9,v8_fixed,0.6266082364177763,51,349
