window,method,scope,estimate,lo,hi,tasks
band_50_60pct,clock,all,0.5,0.5,0.5,32
band_50_60pct,clock,libero_goal,0.5,0.5,0.5,5
band_50_60pct,clock,libero_long,0.5,0.5,0.5,10
band_50_60pct,clock,libero_object,0.5,0.5,0.5,8
band_50_60pct,clock,libero_spatial,0.5,0.5,0.5,9
band_50_60pct,eef_motion_low,all,0.689274930169778,0.6032880734882314,0.7676786694050909,32
band_50_60pct,eef_motion_low,libero_goal,0.48838940099381756,0.18635665076841548,0.7683333333333333,5
band_50_60pct,eef_motion_low,libero_long,0.7346849488345228,0.6454418983121883,0.8142341977116255,10
band_50_60pct,eef_motion_low,libero_object,0.7007802707113069,0.4586342365764646,0.8779629952124259,8
band_50_60pct,eef_motion_low,libero_spatial,0.7401954562697919,0.5921314527310342,0.862660973458524,9
band_50_60pct,v7,all,0.5692186134942174,0.4956400257391974,0.638912405110012,32
band_50_60pct,v7,libero_goal,0.5162826331102852,0.25918103571457013,0.7733842305060004,5
band_50_60pct,v7,libero_long,0.673099561769051,0.54815605014449,0.7782086782929658,10
band_50_60pct,v7,libero_object,0.4867825145824158,0.3282798613201895,0.6359322765117177,8
band_50_60pct,v7,libero_spatial,0.5564807479904105,0.4654379085484034,0.6448438722702299,9
band_50_60pct,v82,all,0.6828263249138689,0.6130765810228279,0.7523949143528396,32
band_50_60pct,v82,libero_goal,0.5423533953275087,0.30999999999999994,0.7808179017661286,5
band_50_60pct,v82,libero_long,0.6447476260983154,0.5143383486600126,0.7650070029583812,10
band_50_60pct,v82,libero_object,0.7958232858338946,0.687156638125416,0.8914903619792748,8
band_50_60pct,v82,libero_spatial,0.7027347636613276,0.5704341051717293,0.840723472402471,9
band_50_60pct,v8_fixed,all,0.6759398265335497,0.6052504274704402,0.7465060222705046,32
band_50_60pct,v8_fixed,libero_goal,0.5361425181798795,0.3038888888888889,0.7779679150052763,5
band_50_60pct,v8_fixed,libero_long,0.6551946460697355,0.5225548502507027,0.7752875379516342,10
band_50_60pct,v8_fixed,libero_object,0.779072890571626,0.6642263513435976,0.8803282447176639,8
band_50_60pct,v8_fixed,libero_spatial,0.684981363655981,0.5521958163775187,0.8232103907521308,9
early_q7_q13,clock,all,0.5,0.5,0.5,36
early_q7_q13,clock,libero_goal,0.5,0.5,0.5,8
early_q7_q13,clock,libero_long,0.5,0.5,0.5,10
early_q7_q13,clock,libero_object,0.5,0.5,0.5,8
early_q7_q13,clock,libero_spatial,0.5,0.5,0.5,10
early_q7_q13,eef_motion_low,all,0.6960920289031667,0.6419862265437304,0.7537316355847178,36
early_q7_q13,eef_motion_low,libero_goal,0.6753186376098419,0.5333902274013914,0.7904382817606108,8
early_q7_q13,eef_motion_low,libero_long,0.601672922473986,0.46913516365521063,0.7402226981838527,10
early_q7_q13,eef_motion_low,libero_object,0.8239291840824325,0.7288245402199123,0.9041066308957456,8
early_q7_q13,eef_motion_low,libero_spatial,0.7048601242235948,0.624029979154108,0.7753638430025149,10
early_q7_q13,v7,all,0.46776300874233034,0.4201948216605093,0.5121916361098346,36
early_q7_q13,v7,libero_goal,0.51992343589695,0.4092118144171015,0.6026868181482393,8
early_q7_q13,v7,libero_long,0.5829877664018195,0.477869217531384,0.6936804380040973,10
early_q7_q13,v7,libero_object,0.2455852104206923,0.17901646396005166,0.3349196128357177,8
early_q7_q13,v7,libero_spatial,0.48855214801645575,0.42197595383652065,0.563058690796836,10
early_q7_q13,v82,all,0.6017926031544735,0.5428238671471765,0.6578792132331329,36
early_q7_q13,v82,libero_goal,0.49009544563832935,0.35327088496669273,0.5821110689698918,8
early_q7_q13,v82,libero_long,0.6229784819914069,0.5148599298336777,0.7421616700549378,10
early_q7_q13,v82,libero_object,0.6258035049835127,0.48636255561501246,0.7663078081840153,8
early_q7_q13,v82,libero_spatial,0.6507557288672241,0.561717231299168,0.7416246803857995,10
early_q7_q13,v8_fixed,all,0.5904030736138759,0.5331611864255043,0.6457254031730525,36
early_q7_q13,v8_fixed,libero_goal,0.49319305013199066,0.3634972493846996,0.5797843541107403,8
early_q7_q13,v8_fixed,libero_long,0.6175186057612108,0.5160020527571036,0.7328444606309269,10
early_q7_q13,v8_fixed,libero_object,0.6004805698838129,0.4603733877002403,0.7416631702006137,8
early_q7_q13,v8_fixed,libero_spatial,0.6329935632360997,0.5405917831003367,0.7288111013640475,10
through_50pct,clock,all,0.5,0.5,0.5,36
through_50pct,clock,libero_goal,0.5,0.5,0.5,8
through_50pct,clock,libero_long,0.5,0.5,0.5,10
through_50pct,clock,libero_object,0.5,0.5,0.5,8
through_50pct,clock,libero_spatial,0.5,0.5,0.5,10
through_50pct,eef_motion_low,all,0.7061359169458402,0.6588679387847672,0.7549711536689983,36
through_50pct,eef_motion_low,libero_goal,0.6591164934433862,0.5268385708526269,0.7628760147899781,8
