checkpoint,scope,episodes,failures,successes,active_failures,active_successes,eligible_tasks
early_q7_q13,all,16000,564,15436,564,6735,31
early_q7_q13,libero_goal,4000,106,3894,106,729,5
early_q7_q13,libero_long,4000,274,3726,274,3726,10
early_q7_q13,libero_object,4000,44,3956,44,2091,8
early_q7_q13,libero_spatial,4000,140,3860,140,189,8
through_50pct,all,16000,564,15436,564,3776,32
through_50pct,libero_goal,4000,106,3894,106,413,5
through_50pct,libero_long,4000,274,3726,274,705,10
through_50pct,libero_object,4000,44,3956,44,1298,8
through_50pct,libero_spatial,4000,140,3860,140,1360,9
through_60pct,all,16000,564,15436,564,918,29
through_60pct,libero_goal,4000,106,3894,106,221,5
through_60pct,libero_long,4000,274,3726,274,313,9
through_60pct,libero_object,4000,44,3956,44,195,7
through_60pct,libero_spatial,4000,140,3860,140,189,8
