method,comparison,window,early_on_common_tasks,later_on_common_tasks,estimate,lo,hi,tasks
clock,through_50pct_minus_early,through_50pct,0.5,0.5,0.0,0.0,0.0,36
clock,through_60pct_minus_early,through_60pct,0.5,0.5,0.0,0.0,0.0,36
clock,band_50_60pct_minus_early,band_50_60pct,0.5,0.5,0.0,0.0,0.0,32
eef_motion_low,through_50pct_minus_early,through_50pct,0.6960920289031667,0.7061359169458402,0.010043888042673482,-0.007560684160088924,0.031220603071082622,36
eef_motion_low,through_60pct_minus_early,through_60pct,0.6960920289031667,0.7063636148819793,0.010271585978812614,-0.014640148480934064,0.036096472238148894,36
eef_motion_low,band_50_60pct_minus_early,band_50_60pct,0.6867926603747121,0.689274930169778,0.002482269795065991,-0.07293407925235168,0.07669142902512223,32
v7,through_50pct_minus_early,through_50pct,0.46776300874233034,0.4880325707902726,0.020269562047942297,-0.0008788853786825937,0.043821477983798235,36
v7,through_60pct_minus_early,through_60pct,0.46776300874233034,0.5016874061699232,0.033924397427592914,0.007812957211720742,0.06202267618920222,36
v7,band_50_60pct_minus_early,band_50_60pct,0.46417173638271775,0.5692186134942174,0.1050468771114996,0.033450973032577686,0.17267600604413325,32
v82,through_50pct_minus_early,through_50pct,0.6017926031544735,0.6053575153312145,0.0035649121767409447,-0.013379064530616514,0.020817782757758477,36
v82,through_60pct_minus_early,through_60pct,0.6017926031544735,0.6235489356063207,0.02175633245184735,-0.001338598847655334,0.045228597376291604,36
v82,band_50_60pct_minus_early,band_50_60pct,0.6099131234663759,0.6828263249138689,0.07291320144749289,0.014144360256202792,0.13343677610708304,32
v8_fixed,through_50pct_minus_early,through_50pct,0.5904030736138759,0.5964107430882953,0.006007669474419403,-0.009201739848367257,0.023157348465647393,36
v8_fixed,through_60pct_minus_early,through_60pct,0.5904030736138759,0.6133544928283398,0.02295141921446386,0.0024319707986187366,0.04476303354290237,36
v8_fixed,band_50_60pct_minus_early,band_50_60pct,0.5999572864692757,0.6759398265335497,0.07598254006427399,0.018287435278095183,0.13628294703229363,32
