event,channel,unit,alpha,support,order_rank,threshold,calibration_fpr,test_healthy_episodes,test_healthy_episode_alarms,test_episode_fpr,test_event_episodes,test_detected_by_onset_minus_2,test_recall_by_onset_minus_2,test_detected_by_onset,test_recall_by_onset,test_median_first_alarm_lead
loop,predeclared_loop,healthy_episode_maximum,0.05,7385,7017,0.7607632279396057,0.04983073798239675,7525,493,0.06551495016611296,322,27,0.08385093167701864,35,0.10869565217391304,-4.0
loop,discovery_full_loop,healthy_episode_maximum,0.05,7385,7017,0.934375524520874,0.04983073798239675,7525,769,0.10219269102990033,322,27,0.08385093167701864,31,0.09627329192546584,-4.0
loop,discovery_history_loop,healthy_episode_maximum,0.05,7369,7002,0.9553744196891785,0.049803229746234225,7525,333,0.04425249169435216,322,21,0.06521739130434782,23,0.07142857142857142,-2.0
static,predeclared_static,healthy_episode_maximum,0.05,7385,7017,0.9053006172180176,0.04983073798239675,7525,242,0.03215946843853821,118,116,0.9830508474576272,116,0.9830508474576272,-8.0
static,discovery_full_static,healthy_episode_maximum,0.05,7385,7017,0.7557714581489563,0.04983073798239675,7525,649,0.08624584717607973,118,118,1.0,118,1.0,-19.0
static,discovery_history_static,healthy_episode_maximum,0.05,7385,7017,0.7557714581489563,0.04983073798239675,7525,649,0.08624584717607973,118,118,1.0,118,1.0,-19.0
