variant,task,task_threshold,success_alarm_episodes,success_episodes,direction,frozen_threshold
soft_coordinate,libero_goal/put_the_cream_cheese_in_the_bowl,0.9614353179931641,3,390,seed1000_1007_to_seed1008_1015,0.9990890026092529
soft_coordinate,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9351181983947754,3,348,seed1000_1007_to_seed1008_1015,0.9990890026092529
soft_coordinate,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9990890026092529,3,383,seed1000_1007_to_seed1008_1015,0.9990890026092529
soft_coordinate,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.983906090259552,2,262,seed1000_1007_to_seed1008_1015,0.9990890026092529
soft_coordinate,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9939290285110474,3,395,seed1000_1007_to_seed1008_1015,0.9990890026092529
soft_coordinate,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9970201253890991,3,397,seed1000_1007_to_seed1008_1015,0.9990890026092529
soft_coordinate,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9648194313049316,2,386,seed1000_1007_to_seed1008_1015,0.9990890026092529
soft_coordinate,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9956191182136536,3,388,seed1000_1007_to_seed1008_1015,0.9990890026092529
actual_support,libero_goal/put_the_cream_cheese_in_the_bowl,0.9987102150917053,3,390,seed1000_1007_to_seed1008_1015,0.9999402165412903
actual_support,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9884310960769653,3,348,seed1000_1007_to_seed1008_1015,0.9999402165412903
actual_support,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9968621730804443,3,383,seed1000_1007_to_seed1008_1015,0.9999402165412903
actual_support,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9999402165412903,2,262,seed1000_1007_to_seed1008_1015,0.9999402165412903
actual_support,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.998999297618866,3,395,seed1000_1007_to_seed1008_1015,0.9999402165412903
