variant,episodes,failures,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
soft_coordinate,6400,239,164,22,75,6139,0.8817204301075269,0.6861924686192469,0.0035708488881675054
actual_support,6400,239,103,22,136,6139,0.824,0.4309623430962343,0.0035708488881675054
selected_weight,6400,239,101,20,138,6141,0.8347107438016529,0.4225941422594142,0.0032462262619704593
rank_shape,6400,239,33,1,206,6160,0.9705882352941176,0.13807531380753138,0.00016231131309852296
reconstructed_support,6400,239,80,8,159,6153,0.9090909090909091,0.33472803347280333,0.0012984905047881837
tie_resolved_support,6400,239,108,21,131,6140,0.8372093023255814,0.45188284518828453,0.003408537575068982
chunk_relabel_soft,6400,239,0,9,239,6152,0.0,0.0,0.0014608018178867068
chunk_relabel_support,6400,239,3,3,236,6158,0.5,0.012552301255230125,0.0004869339392955689
