direction,variant,episodes,failures,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
seed1000_1007_to_seed1008_1015,soft_coordinate,3200,125,91,10,34,3065,0.900990099009901,0.728,0.0032520325203252032
seed1000_1007_to_seed1008_1015,actual_support,3200,125,57,2,68,3073,0.9661016949152542,0.456,0.0006504065040650406
seed1000_1007_to_seed1008_1015,selected_weight,3200,125,56,1,69,3074,0.9824561403508771,0.448,0.0003252032520325203
seed1000_1007_to_seed1008_1015,rank_shape,3200,125,22,1,103,3074,0.9565217391304348,0.176,0.0003252032520325203
seed1000_1007_to_seed1008_1015,reconstructed_support,3200,125,53,3,72,3072,0.9464285714285714,0.424,0.000975609756097561
seed1000_1007_to_seed1008_1015,tie_resolved_support,3200,125,56,4,69,3071,0.9333333333333333,0.448,0.0013008130081300813
seed1000_1007_to_seed1008_1015,chunk_relabel_soft,3200,125,0,5,125,3070,0.0,0.0,0.0016260162601626016
seed1000_1007_to_seed1008_1015,chunk_relabel_support,3200,125,1,0,124,3075,1.0,0.008,0.0
seed1008_1015_to_seed1000_1007,soft_coordinate,3200,114,73,12,41,3074,0.8588235294117647,0.6403508771929824,0.0038885288399222295
seed1008_1015_to_seed1000_1007,actual_support,3200,114,46,20,68,3066,0.696969696969697,0.40350877192982454,0.0064808813998703824
seed1008_1015_to_seed1000_1007,selected_weight,3200,114,45,19,69,3067,0.703125,0.39473684210526316,0.006156837329876863
seed1008_1015_to_seed1000_1007,rank_shape,3200,114,11,0,103,3086,1.0,0.09649122807017543,0.0
seed1008_1015_to_seed1000_1007,reconstructed_support,3200,114,27,5,87,3081,0.84375,0.23684210526315788,0.0016202203499675956
seed1008_1015_to_seed1000_1007,tie_resolved_support,3200,114,52,17,62,3069,0.7536231884057971,0.45614035087719296,0.005508749189889825
seed1008_1015_to_seed1000_1007,chunk_relabel_soft,3200,114,0,4,114,3082,0.0,0.0,0.0012961762799740765
seed1008_1015_to_seed1000_1007,chunk_relabel_support,3200,114,2,3,112,3083,0.4,0.017543859649122806,0.0009721322099805574
