variant,fp_budget,threshold,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
soft_coordinate,0,0.9999496936798097,7,0,232,6161,1.0,0.029288702928870293,0.0
soft_coordinate,17,0.9992454051971436,160,17,79,6144,0.903954802259887,0.6694560669456067,0.0027592923226748903
soft_coordinate,22,0.998943567276001,164,22,75,6139,0.8817204301075269,0.6861924686192469,0.0035708488881675054
soft_coordinate,27,0.9984047412872314,168,27,71,6134,0.8615384615384616,0.702928870292887,0.00438240545366012
soft_coordinate,58,0.996975600719452,181,57,58,6104,0.7605042016806722,0.7573221757322176,0.00925174484661581
actual_support,0,0.9999466538429261,69,0,170,6161,1.0,0.28870292887029286,0.0
actual_support,17,0.999689280986786,106,17,133,6144,0.8617886178861789,0.4435146443514644,0.0027592923226748903
actual_support,22,0.999647855758667,116,21,123,6140,0.8467153284671532,0.48535564853556484,0.003408537575068982
actual_support,27,0.9995561242103576,122,27,117,6134,0.8187919463087249,0.5104602510460251,0.00438240545366012
actual_support,58,0.9986920356750488,171,58,68,6103,0.7467248908296943,0.7154811715481172,0.009414056159714333
selected_weight,0,0.9999466538429261,68,0,171,6161,1.0,0.28451882845188287,0.0
selected_weight,17,0.999689280986786,107,16,132,6145,0.8699186991869918,0.4476987447698745,0.0025969810095763674
selected_weight,22,0.9996442198753356,115,22,124,6139,0.8394160583941606,0.4811715481171548,0.0035708488881675054
selected_weight,27,0.9995783567428588,116,26,123,6135,0.8169014084507042,0.48535564853556484,0.004220094140561597
selected_weight,58,0.9986920356750488,170,58,69,6103,0.7456140350877193,0.7112970711297071,0.009414056159714333
rank_shape,0,0.9998987913131715,29,0,210,6161,1.0,0.12133891213389121,0.0
rank_shape,17,0.9991772174835204,73,17,166,6144,0.8111111111111111,0.3054393305439331,0.0027592923226748903
rank_shape,22,0.9988213777542114,84,22,155,6139,0.7924528301886793,0.3514644351464435,0.0035708488881675054
rank_shape,27,0.9985796809196472,87,26,152,6135,0.7699115044247787,0.36401673640167365,0.004220094140561597
rank_shape,58,0.9970645904541016,119,58,120,6103,0.672316384180791,0.497907949790795,0.009414056159714333
reconstructed_support,0,0.9999777674674989,17,0,222,6161,1.0,0.07112970711297072,0.0
reconstructed_support,17,0.999748468399048,105,17,134,6144,0.860655737704918,0.4393305439330544,0.0027592923226748903
reconstructed_support,22,0.9996005296707152,122,22,117,6139,0.8472222222222222,0.5104602510460251,0.0035708488881675054
reconstructed_support,27,0.9994969367980956,139,27,100,6134,0.8373493975903614,0.5815899581589958,0.00438240545366012
reconstructed_support,58,0.9988043904304504,172,57,67,6104,0.7510917030567685,0.7196652719665272,0.00925174484661581
tie_resolved_support,0,0.9999555349349977,24,0,215,6161,1.0,0.100418410041841,0.0
tie_resolved_support,17,0.99967759847641,97,17,142,6144,0.8508771929824561,0.40585774058577406,0.0027592923226748903
tie_resolved_support,22,0.9994661211967468,115,22,124,6139,0.8394160583941606,0.4811715481171548,0.0035708488881675054
tie_resolved_support,27,0.9991769790649414,132,27,107,6134,0.8301886792452831,0.5523012552301255,0.00438240545366012
tie_resolved_support,58,0.9977865219116212,180,58,59,6103,0.7563025210084033,0.7531380753138075,0.009414056159714333
chunk_relabel_soft,0,0.9997780919075013,0,0,239,6161,0.0,0.0,0.0
chunk_relabel_soft,17,0.9993120431900024,0,17,239,6144,0.0,0.0,0.0027592923226748903
chunk_relabel_soft,22,0.9991788864135742,0,22,239,6139,0.0,0.0,0.0035708488881675054
chunk_relabel_soft,27,0.9990679025650024,0,27,239,6134,0.0,0.0,0.00438240545366012
chunk_relabel_soft,58,0.9984686970710754,0,57,239,6104,0.0,0.0,0.00925174484661581
chunk_relabel_support,0,0.9994938969612123,2,0,237,6161,1.0,0.008368200836820083,0.0
chunk_relabel_support,17,0.997434377670288,19,17,220,6144,0.5277777777777778,0.0794979079497908,0.0027592923226748903
chunk_relabel_support,22,0.9967820644378662,24,22,215,6139,0.5217391304347826,0.100418410041841,0.0035708488881675054
chunk_relabel_support,27,0.9964641332626344,27,27,212,6134,0.5,0.11297071129707113,0.00438240545366012
chunk_relabel_support,58,0.993897020816803,41,58,198,6103,0.41414141414141414,0.17154811715481172,0.009414056159714333
fixed_query_clock,0,51.0,95,0,144,6161,1.0,0.39748953974895396,0.0
fixed_query_clock,17,33.0,95,15,144,6146,0.8636363636363636,0.39748953974895396,0.0024346696964778446
fixed_query_clock,22,32.0,95,20,144,6141,0.8260869565217391,0.39748953974895396,0.0032462262619704593
fixed_query_clock,27,32.0,95,20,144,6141,0.8260869565217391,0.39748953974895396,0.0032462262619704593
fixed_query_clock,58,29.0,141,48,98,6113,0.746031746031746,0.5899581589958159,0.007790943028729102
