variant,events,alarm_events,not_later,near_first_minus2_to_0,near_active_minus2_to_0,too_early,late
soft_coordinate,120,88,15,11,12,4,73
actual_support,120,68,6,3,4,3,62
selected_weight,120,68,6,3,4,3,62
rank_shape,120,14,0,0,0,0,14
reconstructed_support,120,51,4,2,2,2,47
tie_resolved_support,120,73,8,3,4,5,65
chunk_relabel_soft,120,0,0,0,0,0,0
chunk_relabel_support,120,3,1,0,0,1,2
