dataset,episodes_all_tasks,failures_all_tasks,successes_all_tasks,tasks_all,mixed_tasks,episodes_in_mixed_tasks,failures_in_mixed_tasks
goal,500,10,490,10,4,200,10
object,500,16,484,10,6,300,16
spatial,500,29,471,10,7,350,29
