dataset,episodes_all_tasks,failures_all_tasks,successes_all_tasks,tasks_all,mixed_tasks,episodes_in_mixed_tasks,failures_in_mixed_tasks
goal_new_tasks,400,5,395,8,3,150,5
object_new_tasks,500,16,484,10,6,300,16
spatial_new_tasks,400,24,376,8,6,300,24
