window,target,cv,scope,model,control_reference,n,positive,brier,brier_gain_vs_rate,brier_gain_vs_rate_ci95_low,brier_gain_vs_rate_ci95_high,brier_gain_vs_controls,brier_gain_vs_controls_ci95_low,brier_gain_vs_controls_ci95_high
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,rate_only,controls,352,235,0.22324790885110238,0.0,0.0,0.0,-0.11740365926957125,-0.17773584277992321,-0.06063387523370345
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,physical,controls,352,235,0.09321285449204796,0.13003505435905438,0.07907955859911271,0.1844120416693372,0.012631395089483133,0.00396614063909707,0.022567448926587998
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,noise_action,controls,352,235,0.13403450802961314,0.08921340082148922,0.03600262961831457,0.1468766841991737,-0.028190258448082043,-0.059240332953136285,-0.007816884751097248
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls,controls,352,235,0.10584424958153109,0.11740365926957125,0.06203822109680633,0.18032698865905783,0.0,0.0,0.0
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_trap_only,controls,352,235,0.16890723255123127,0.05434067629987107,-0.0004696783925162775,0.11028855962478758,-0.06306298296970017,-0.11159019102232552,-0.022324784884546933
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_nontrap,controls,352,235,0.11720617234647883,0.10604173650462352,0.04583882953988347,0.1653379557841092,-0.011361922764947746,-0.026915788737675257,0.0036856741653955158
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_full,controls,352,235,0.11684079768288788,0.10640711116821447,0.05199857076200814,0.16544453536061376,-0.010996548101356791,-0.03781772554625215,0.01157531183147257
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe,controls,352,235,0.1118321072937609,0.11141580155734143,0.05505534665195394,0.17177181661692317,-0.0059878577122298195,-0.030047306010252715,0.011919984163868157
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls_sparse_base,controls,352,235,0.10551130795855318,0.11773660089254916,0.05967312988169956,0.1762584222001902,0.0003329416229779086,-0.001426436662886762,0.0017194811114304455
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_trap,controls,352,235,0.2113215031827874,0.011926405668314958,-0.004038978306937827,0.03438656539881108,-0.1054772536012563,-0.1634925224619614,-0.050664364477492986
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_nontrap,controls,352,235,0.19600450791593715,0.027243400935165155,-0.012881349109966795,0.0690910578352674,-0.09016025833440611,-0.13583022162863534,-0.04601652895414223
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,moe_sparse_full,controls,352,235,0.19600450791593715,0.027243400935165155,-0.013767430652776557,0.07023890012153405,-0.09016025833440611,-0.13569434208152328,-0.04672518158934035
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,absolute,controls+moe_sparse,controls_sparse_base,352,235,0.1157554791163066,0.10749242973479572,0.04686468853273348,0.17237912197875946,-0.010244171157753428,-0.02246765582324266,-0.000978099783867541
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,rate_only,controls,352,235,0.22324790885110238,0.0,0.0,0.0,0.004687874795432353,-0.0018940241870101327,0.010958360499118906
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,physical,controls,352,235,0.18167695911928386,0.04157094973181847,-0.0022338609959623042,0.08313458803862112,0.04625882452725082,0.0020286671524959226,0.08963309690211867
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,noise_action,controls,352,235,0.22597749982394452,-0.0027295909728421697,-0.007753977676522273,0.002255680385159548,0.001958283822590184,-0.006394510367416101,0.0087569916893351
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,controls,controls,352,235,0.2279357836465347,-0.004687874795432353,-0.011123554226154669,0.002052181065131173,0.0,0.0,0.0
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_trap_only,controls,352,235,0.23094487984508458,-0.0076969709939822386,-0.014191242802627931,-0.0016148487094560082,-0.003009096198549885,-0.00816462745226489,0.002279358781146403
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_nontrap,controls,352,235,0.23189803456511046,-0.0086501257140081,-0.01743839013927949,-0.001935634053624291,-0.003962250918575746,-0.017105342315932536,0.005550930615826365
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_full,controls,352,235,0.2297560876602196,-0.006508178809117301,-0.012318719001576823,-0.00133829128136258,-0.0018203040136849475,-0.011752230616905071,0.006952597548295485
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,controls+moe,controls,352,235,0.232341267751754,-0.009093358900651669,-0.015509527435204427,-0.0031948386538629817,-0.004405484105219316,-0.015129800164584303,0.004538877924802779
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,controls_sparse_base,controls,352,235,0.2275902828209938,-0.0043423739698915075,-0.010907130905238113,0.0029572973907090335,0.00034550082554084586,-0.00048692030207416744,0.0012476624383114426
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_trap,controls,352,235,0.22763718170043115,-0.004389272849328843,-0.007207869575031404,-0.001685040870484464,0.0002986019461035093,-0.008491612542725449,0.008089428598370023
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_nontrap,controls,352,235,0.23239729253359773,-0.0091493836824954,-0.01696863851928056,-0.0032490292670555713,-0.004461508887063046,-0.01733162055620089,0.005009612510208484
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,moe_sparse_full,controls,352,235,0.23239729253359773,-0.0091493836824954,-0.016321439719454624,-0.0032208729640771515,-0.004461508887063046,-0.017694214332062457,0.0050021299654516875
fixed_q0_q7,eventual_failure,grouped_5fold_snapshot,within_snapshot,controls+moe_sparse,controls_sparse_base,352,235,0.23295879197720867,-0.009710883126106323,-0.014348490916449541,-0.005407789172144706,-0.005368509156214815,-0.011609866862812478,1.3864780990495748e-05
fixed_q0_q7,eventual_failure,leave_one_worker_out,absolute,rate_only,controls,352,235,0.33126678418798167,0.0,0.0,0.0,0.19572994651788925,0.041175344264763394,0.5106880350657076
fixed_q0_q7,eventual_failure,leave_one_worker_out,absolute,physical,controls,352,235,0.5029707950637478,-0.17170401087576603,-0.3753027356476238,0.013276368650637867,0.024025935642123207,-0.1245516752975605,0.13731161645122347
fixed_q0_q7,eventual_failure,leave_one_worker_out,absolute,noise_action,controls,352,235,0.5761987860196812,-0.2449320018316996,-0.5193119865247395,-0.08174166006734088,-0.04920205531381037,-0.10528479960591831,-0.002716565450824837
fixed_q0_q7,eventual_failure,leave_one_worker_out,absolute,controls,controls,352,235,0.5269967307058709,-0.19572994651788925,-0.5106880350657076,-0.041175344264763394,0.0,0.0,0.0
fixed_q0_q7,eventual_failure,leave_one_worker_out,absolute,moe_trap_only,controls,352,235,0.3803303441777113,-0.04906355998972962,-0.12637849014347924,0.0764607599235459,0.1466663865281596,-0.06726496812675169,0.4302919780537603
