window,target,scope,model,control_reference,worker,n,positive,brier,brier_gain_vs_rate,brier_gain_vs_controls
fixed_q0_q7,eventual_failure,within_snapshot,physical,controls,1,80,80,0.6926224842839759,-0.5075959920694428,-0.5035659198625062
fixed_q0_q7,eventual_failure,within_snapshot,physical,controls,2,80,75,0.1683698279427711,0.012209756832315372,0.014761743527690352
fixed_q0_q7,eventual_failure,within_snapshot,physical,controls,3,96,9,0.6521391382324002,0.05544142817384973,0.11140451307093717
fixed_q0_q7,eventual_failure,within_snapshot,noise_action,controls,0,96,71,0.19912574746795872,0.0032668306570412683,0.03614133808191707
fixed_q0_q7,eventual_failure,within_snapshot,noise_action,controls,1,80,80,0.18675377546611685,-0.0017272832515839603,0.0023027889553527427
fixed_q0_q7,eventual_failure,within_snapshot,noise_action,controls,2,80,75,0.18115838123826594,-0.0005787964631794693,0.0019731902321955134
fixed_q0_q7,eventual_failure,within_snapshot,noise_action,controls,3,96,9,0.752227583366578,-0.044647016960328,0.011316067936759433
fixed_q0_q7,eventual_failure,within_snapshot,controls,controls,0,96,71,0.23526708554987577,-0.032874507424875805,0.0
fixed_q0_q7,eventual_failure,within_snapshot,controls,controls,1,80,80,0.18905656442146962,-0.004030072206936701,0.0
fixed_q0_q7,eventual_failure,within_snapshot,controls,controls,2,80,75,0.1831315714704615,-0.0025519866953749816,0.0
fixed_q0_q7,eventual_failure,within_snapshot,controls,controls,3,96,9,0.7635436513033373,-0.055963084897087435,0.0
fixed_q0_q7,eventual_failure,within_snapshot,moe_trap_only,controls,0,96,71,0.23133822918373514,-0.028945651058735162,0.003928856366140643
fixed_q0_q7,eventual_failure,within_snapshot,moe_trap_only,controls,1,80,80,0.18895557978501082,-0.0039290875704779136,0.00010098463645878964
fixed_q0_q7,eventual_failure,within_snapshot,moe_trap_only,controls,2,80,75,0.1935012636548013,-0.012921678879714796,-0.010369692184339814
fixed_q0_q7,eventual_failure,within_snapshot,moe_trap_only,controls,3,96,9,0.7305422056847938,-0.0229616392785436,0.03300144561854384
fixed_q0_q7,eventual_failure,within_snapshot,moe_nontrap,controls,0,96,71,0.21109006909027517,-0.008697490965275159,0.02417701645960065
fixed_q0_q7,eventual_failure,within_snapshot,moe_nontrap,controls,1,80,80,0.19436171939562233,-0.009335227181089433,-0.005305154974152739
fixed_q0_q7,eventual_failure,within_snapshot,moe_nontrap,controls,2,80,75,0.1872498145650649,-0.006670229789978388,-0.004118243094603402
fixed_q0_q7,eventual_failure,within_snapshot,moe_nontrap,controls,3,96,9,0.7503945347043057,-0.04281396829805565,0.01314911659903179
fixed_q0_q7,eventual_failure,within_snapshot,moe_full,controls,0,96,71,0.21385480512624275,-0.011462227001242721,0.02141228042363308
fixed_q0_q7,eventual_failure,within_snapshot,moe_full,controls,1,80,80,0.19340423737008844,-0.008377745155555505,-0.0043476729486188
fixed_q0_q7,eventual_failure,within_snapshot,moe_full,controls,2,80,75,0.18548631071403937,-0.004906725938952879,-0.002354739243577897
fixed_q0_q7,eventual_failure,within_snapshot,moe_full,controls,3,96,9,0.7552590401263511,-0.04767847372010096,0.008284611176986478
fixed_q0_q7,eventual_failure,within_snapshot,controls+moe,controls,0,96,71,0.21041908372964313,-0.008026505604643158,0.024848001820232644
fixed_q0_q7,eventual_failure,within_snapshot,controls+moe,controls,1,80,80,0.1911272874169283,-0.0061007952023954095,-0.0020707229954587056
fixed_q0_q7,eventual_failure,within_snapshot,controls+moe,controls,2,80,75,0.18519790605236444,-0.00461832127727795,-0.0020663345819029707
fixed_q0_q7,eventual_failure,within_snapshot,controls+moe,controls,3,96,9,0.7640871386108868,-0.05650657220463696,-0.0005434873075495193
fixed_q0_q7,eventual_failure,within_snapshot,controls_sparse_base,controls,0,96,71,0.2505467588642664,-0.04815418073926644,-0.015279673314390632
fixed_q0_q7,eventual_failure,within_snapshot,controls_sparse_base,controls,1,80,80,0.18961754751729154,-0.0045910553027586455,-0.0005609830958219419
fixed_q0_q7,eventual_failure,within_snapshot,controls_sparse_base,controls,2,80,75,0.18560079127662732,-0.0050212065015408005,-0.002469219806165819
fixed_q0_q7,eventual_failure,within_snapshot,controls_sparse_base,controls,3,96,9,0.7622364332454833,-0.05465586683923337,0.0013072180578540702
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_trap,controls,0,96,71,0.21075820226337716,-0.00836562413837718,0.024508883286498626
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_trap,controls,1,80,80,0.1867357634515079,-0.0017092712369750171,0.0023208009699616852
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_trap,controls,2,80,75,0.18708670372485203,-0.006507118949765527,-0.003955132254390546
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_trap,controls,3,96,9,0.7100902992154805,-0.002509732809230468,0.053453352087856974
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_nontrap,controls,0,96,71,0.1937048984524865,0.008687679672513464,0.04156218709738927
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_nontrap,controls,1,80,80,0.1886716850226151,-0.00364519280808219,0.00038487939885451064
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_nontrap,controls,2,80,75,0.19035017292543804,-0.00977058815035151,-0.007218601454976529
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_nontrap,controls,3,96,9,0.7264787086954246,-0.018898142289174594,0.03706494260791285
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_full,controls,0,96,71,0.20445237878938047,-0.0020598006643804557,0.030814706760495348
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_full,controls,1,80,80,0.1886716850226151,-0.00364519280808219,0.00038487939885451064
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_full,controls,2,80,75,0.19035017292543804,-0.00977058815035151,-0.007218601454976529
fixed_q0_q7,eventual_failure,within_snapshot,moe_sparse_full,controls,3,96,9,0.7264787086954246,-0.018898142289174594,0.03706494260791285
fixed_q0_q7,eventual_failure,within_snapshot,controls+moe_sparse,controls_sparse_base,0,96,71,0.24110855324804173,-0.03871597512304172,0.009438205616224715
fixed_q0_q7,eventual_failure,within_snapshot,controls+moe_sparse,controls_sparse_base,1,80,80,0.19131284137059357,-0.006286349156060659,-0.0016952938533020135
