window,target,model,mixed_snapshots,selected_avoidance_rate,random_avoidance_rate,selection_gain_vs_random,selection_gain_vs_random_ci95_low,selection_gain_vs_random_ci95_high,snapshots_improved_vs_controls,snapshots_worse_vs_controls,snapshots_same_vs_controls
fixed_q0_q7,eventual_failure,controls_sparse_base,15,0.4,0.4875,-0.0875,-0.18333333333333332,0.004166666666666667,0,0,15
fixed_q0_q7,eventual_failure,moe_sparse_trap,15,0.4666666666666667,0.4875,-0.020833333333333332,-0.13333333333333333,0.1,1,0,14
fixed_q0_q7,eventual_failure,moe_sparse_full,15,0.5333333333333333,0.4875,0.04583333333333333,-0.07083333333333333,0.17916666666666667,2,0,13
fixed_q0_q7,eventual_failure,controls+moe_sparse,15,0.4666666666666667,0.4875,-0.020833333333333332,-0.125,0.09583333333333334,1,0,14
fixed_q0_q7,eventual_stagnation_or_loop,controls_sparse_base,17,0.47058823529411764,0.44485294117647056,0.025735294117647058,-0.16544117647058823,0.2243566176470575,0,0,17
fixed_q0_q7,eventual_stagnation_or_loop,moe_sparse_trap,17,0.4117647058823529,0.44485294117647056,-0.03308823529411765,-0.25735294117647056,0.20588235294117646,2,3,12
fixed_q0_q7,eventual_stagnation_or_loop,moe_sparse_full,17,0.5882352941176471,0.44485294117647056,0.14338235294117646,-0.051470588235294115,0.3382352941176471,2,0,15
fixed_q0_q7,eventual_stagnation_or_loop,controls+moe_sparse,17,0.5294117647058824,0.44485294117647056,0.08455882352941177,-0.09558823529411764,0.2757352941176471,2,1,14
fixed_q8_q15,eventual_failure,controls_sparse_base,15,0.4,0.4875,-0.0875,-0.18333333333333332,0.004166666666666667,0,0,15
fixed_q8_q15,eventual_failure,moe_sparse_trap,15,0.3333333333333333,0.4875,-0.15416666666666667,-0.2875,-0.041666666666666664,0,1,14
fixed_q8_q15,eventual_failure,moe_sparse_full,15,0.4,0.4875,-0.0875,-0.17916666666666667,0.0,0,0,15
fixed_q8_q15,eventual_failure,controls+moe_sparse,15,0.4,0.4875,-0.0875,-0.23333333333333334,0.05416666666666667,1,1,13
fixed_q8_q15,eventual_stagnation_or_loop,controls_sparse_base,17,0.5294117647058824,0.44485294117647056,0.08455882352941177,-0.11764705882352941,0.3088235294117647,0,0,17
fixed_q8_q15,eventual_stagnation_or_loop,moe_sparse_trap,17,0.29411764705882354,0.44485294117647056,-0.15073529411764705,-0.30514705882352944,0.0,1,5,11
fixed_q8_q15,eventual_stagnation_or_loop,moe_sparse_full,17,0.4117647058823529,0.44485294117647056,-0.03308823529411765,-0.24632352941176472,0.1801470588235294,2,4,11
fixed_q8_q15,eventual_stagnation_or_loop,controls+moe_sparse,17,0.4117647058823529,0.44485294117647056,-0.03308823529411765,-0.1875,0.13602941176470587,0,2,15
fixed_q16_q23,eventual_failure,controls_sparse_base,15,0.6,0.4875,0.1125,-0.125,0.3541666666666667,0,0,15
fixed_q16_q23,eventual_failure,moe_sparse_trap,15,0.5333333333333333,0.4875,0.04583333333333333,-0.1625,0.25833333333333336,2,3,10
fixed_q16_q23,eventual_failure,moe_sparse_full,15,0.6,0.4875,0.1125,-0.1125,0.325,3,3,9
fixed_q16_q23,eventual_failure,controls+moe_sparse,15,0.5333333333333333,0.4875,0.04583333333333333,-0.16666666666666666,0.2625,0,1,14
fixed_q16_q23,eventual_stagnation_or_loop,controls_sparse_base,17,0.6470588235294118,0.44485294117647056,0.20220588235294118,-0.01838235294117647,0.41544117647058826,0,0,17
fixed_q16_q23,eventual_stagnation_or_loop,moe_sparse_trap,17,0.5294117647058824,0.44485294117647056,0.08455882352941177,-0.12867647058823528,0.2977941176470588,2,4,11
fixed_q16_q23,eventual_stagnation_or_loop,moe_sparse_full,17,0.5294117647058824,0.44485294117647056,0.08455882352941177,-0.0956801470588235,0.2867647058823529,2,4,11
fixed_q16_q23,eventual_stagnation_or_loop,controls+moe_sparse,17,0.47058823529411764,0.44485294117647056,0.025735294117647058,-0.20955882352941177,0.2647977941176457,0,3,14
fixed_q24_q31,eventual_failure,controls_sparse_base,15,0.6666666666666666,0.4875,0.17916666666666667,0.020833333333333332,0.35,0,0,15
fixed_q24_q31,eventual_failure,moe_sparse_trap,15,0.7333333333333333,0.4875,0.24583333333333332,0.0875,0.425,1,0,14
fixed_q24_q31,eventual_failure,moe_sparse_full,15,0.6,0.4875,0.1125,-0.0375,0.2791666666666667,1,2,12
fixed_q24_q31,eventual_failure,controls+moe_sparse,15,0.7333333333333333,0.4875,0.24583333333333332,0.0875,0.42083333333333334,1,0,14
fixed_q24_q31,eventual_stagnation_or_loop,controls_sparse_base,17,0.7647058823529411,0.44485294117647056,0.31985294117647056,0.11764705882352941,0.5220588235294118,0,0,17
fixed_q24_q31,eventual_stagnation_or_loop,moe_sparse_trap,17,0.5294117647058824,0.44485294117647056,0.08455882352941177,-0.125,0.3125,0,4,13
fixed_q24_q31,eventual_stagnation_or_loop,moe_sparse_full,17,0.4117647058823529,0.44485294117647056,-0.03308823529411765,-0.20588235294117646,0.15808823529411764,0,6,11
fixed_q24_q31,eventual_stagnation_or_loop,controls+moe_sparse,17,0.8235294117647058,0.44485294117647056,0.3786764705882353,0.19476102941176474,0.5588235294117647,1,0,16
relative_tail_50_90,eventual_failure,controls_sparse_base,15,1.0,0.4875,0.5125,0.325,0.6916666666666667,0,0,15
relative_tail_50_90,eventual_failure,moe_sparse_trap,15,0.8,0.4875,0.3125,0.12916666666666668,0.5041666666666667,0,3,12
relative_tail_50_90,eventual_failure,moe_sparse_full,15,0.8666666666666667,0.4875,0.37916666666666665,0.2,0.575,0,2,13
relative_tail_50_90,eventual_failure,controls+moe_sparse,15,1.0,0.4875,0.5125,0.32916666666666666,0.6875,0,0,15
relative_tail_50_90,eventual_stagnation_or_loop,controls_sparse_base,17,0.9411764705882353,0.44485294117647056,0.4963235294117647,0.3272058823529412,0.6617647058823529,0,0,17
relative_tail_50_90,eventual_stagnation_or_loop,moe_sparse_trap,17,0.4117647058823529,0.44485294117647056,-0.03308823529411765,-0.22058823529411764,0.17656249999999868,0,9,8
relative_tail_50_90,eventual_stagnation_or_loop,moe_sparse_full,17,0.7058823529411765,0.44485294117647056,0.2610294117647059,0.09917279411764708,0.4338235294117647,0,4,13
relative_tail_50_90,eventual_stagnation_or_loop,controls+moe_sparse,17,0.9411764705882353,0.44485294117647056,0.4963235294117647,0.33455882352941174,0.6580882352941176,0,0,17
relative_tail_minus_mid,eventual_failure,controls_sparse_base,15,0.9333333333333333,0.4875,0.44583333333333336,0.25833333333333336,0.6333333333333333,0,0,15
relative_tail_minus_mid,eventual_failure,moe_sparse_trap,15,0.4,0.4875,-0.0875,-0.2708333333333333,0.1,0,8,7
relative_tail_minus_mid,eventual_failure,moe_sparse_full,15,0.8666666666666667,0.4875,0.37916666666666665,0.19583333333333333,0.5625,0,1,14
relative_tail_minus_mid,eventual_failure,controls+moe_sparse,15,1.0,0.4875,0.5125,0.3333333333333333,0.6916666666666667,1,0,14
relative_tail_minus_mid,eventual_stagnation_or_loop,controls_sparse_base,17,0.9411764705882353,0.44485294117647056,0.4963235294117647,0.3344669117647059,0.6544117647058824,0,0,17
relative_tail_minus_mid,eventual_stagnation_or_loop,moe_sparse_trap,17,0.29411764705882354,0.44485294117647056,-0.15073529411764705,-0.3272058823529412,0.04053308823529278,0,11,6
relative_tail_minus_mid,eventual_stagnation_or_loop,moe_sparse_full,17,0.6470588235294118,0.44485294117647056,0.20220588235294118,0.04411764705882353,0.3639705882352941,0,5,12
relative_tail_minus_mid,eventual_stagnation_or_loop,controls+moe_sparse,17,0.9411764705882353,0.44485294117647056,0.4963235294117647,0.3382352941176471,0.6580882352941176,0,0,17
