arm,mains,successes,rescues,harms,delta_vs_native_pp,paired_wins,paired_losses,full_policy_queries,query_cost_ratio
native,100,84,0,0,0.0,0,0,2911,1.0
iid_random_v8,100,83,0,1,-1.0,0,0,4710,1.618000687049124
iid_v8,100,84,0,0,0.0,1,0,4447,1.5276537272414978
guided_random_v8,100,83,0,1,-1.0,0,0,4663,1.6018550326348333
guided_v8,100,84,0,0,0.0,1,0,4403,1.5125386465132258
iid_random_v82,100,83,0,1,-1.0,0,0,4845,1.6643765029199589
iid_v82,100,84,0,0,0.0,1,0,4657,1.5997938852627962
guided_random_v82,100,83,0,1,-1.0,0,0,4813,1.6533837169357608
guided_v82,100,84,0,0,0.0,1,0,4598,1.5795259361044314
