held_out_suite,cohort,population,episodes,query_rows,auc_at_or_past_closure,threshold,median_signed_error_chunks,mae_chunks,share_within_2,baseline_median_signed_error_chunks,baseline_mae_chunks,baseline_share_within_2
libero_goal,development_main,all,2962,28638,0.7563414571554068,0.58,0.0,2.012491559756921,0.7275489534098583,1.0,2.283254557731263,0.7569209993247805
libero_goal,development_main,phantom,6,-1,,0.58,-17.0,12.833333333333334,0.3333333333333333,-16.5,12.833333333333334,0.16666666666666666
libero_goal,development_main,coupled,2956,-1,,0.58,0.0,1.9905277401894452,0.7283491204330176,1.0,2.2618403247631935,0.7581190798376184
libero_goal,external_8b,all,2963,28877,0.7699181527804095,0.58,0.0,1.9892001349983126,0.7350658116773541,1.0,2.295308808639892,0.7576780290246372
libero_goal,external_8b,phantom,2,-1,,0.58,-20.5,20.5,0.0,-20.5,20.5,0.0
libero_goal,external_8b,coupled,2961,-1,,0.58,0.0,1.9766970618034447,0.7355623100303952,1.0,2.283012495778453,0.7581898007429922
libero_long,development_main,all,2780,68633,0.6573756940046798,0.54,-1.0,3.020503597122302,0.6665467625899281,-1.0,2.884892086330935,0.602158273381295
libero_long,development_main,phantom,62,-1,,0.54,-28.0,26.661290322580644,0.016129032258064516,-26.0,25.516129032258064,0.016129032258064516
libero_long,development_main,coupled,2718,-1,,0.54,-1.0,2.4812362030905075,0.681383370125092,-1.0,2.368653421633554,0.6155261221486387
libero_long,external_8b,all,3590,88372,0.6278291383327538,0.54,-2.0,5.170473537604456,0.5206128133704735,-3.0,5.262116991643454,0.4701949860724234
libero_long,external_8b,phantom,82,-1,,0.54,-27.0,24.29268292682927,0.012195121951219513,-26.0,23.329268292682926,0.024390243902439025
libero_long,external_8b,coupled,3508,-1,,0.54,-1.0,4.723489167616876,0.5324971493728621,-3.0,4.839794754846066,0.4806157354618016
libero_object,development_main,all,2524,31123,0.8202137414312192,0.68,1.0,0.7809033280507132,0.9797939778129953,0.0,0.32091917591125196,0.9952456418383518
libero_object,development_main,phantom,2,-1,,0.68,-15.5,15.5,0.0,-16.5,16.5,0.0
libero_object,development_main,coupled,2522,-1,,0.68,1.0,0.7692307692307693,0.9805709754163362,0.0,0.30808881839809676,0.9960348929421095
libero_object,external_8b,all,2134,26218,0.8510494503536782,0.68,1.0,0.8758200562324273,0.9709465791940018,0.0,0.3177132146204311,0.9953139643861293
libero_object,external_8b,phantom,3,-1,,0.68,-14.0,14.0,0.0,-16.0,15.333333333333334,0.0
libero_object,external_8b,coupled,2131,-1,,0.68,1.0,0.8573439699671516,0.9723134678554669,0.0,0.2965743782261849,0.996715157203191
libero_spatial,development_main,all,3997,36236,0.6531775779028651,0.78,0.0,1.006004503377533,0.9564673505128847,1.0,0.7403052289216913,0.9997498123592694
libero_spatial,development_main,phantom,23,-1,,0.78,0.0,0.34782608695652173,1.0,1.0,1.0434782608695652,1.0
libero_spatial,development_main,coupled,3974,-1,,0.78,0.0,1.009813789632612,0.9562154001006542,1.0,0.7385505787619527,0.9997483643683945
libero_spatial,external_8b,all,3994,36355,0.6604992564673392,0.78,0.0,1.0355533299949924,0.9529293940911367,1.0,0.7578868302453681,0.99949924887331
libero_spatial,external_8b,phantom,28,-1,,0.78,0.0,1.3928571428571428,0.8571428571428571,1.0,1.3571428571428572,0.9642857142857143
libero_spatial,external_8b,coupled,3966,-1,,0.78,0.0,1.0330307614725165,0.9536056480080686,1.0,0.7536560766515381,0.9997478567826525
