scope,variant,phantom_episodes,coupled_episodes,detected,detection_rate,detection_rate_ci95_low,detection_rate_ci95_high,false_events,realised_false_event_rate,median_latency_chunks,p25_latency_chunks,p75_latency_chunks,median_report_chunk,median_closure_chunk,earlier_than_clock,share_earlier_of_detected,share_earlier_ci95_low,share_earlier_ci95_high,share_earlier_of_all_phantom,median_lead_chunks,median_lead_env_steps,median_clock_chunk,latency_histogram,report_chunk_histogram,held_out_suite,target_false_event_rate,threshold,calibration,train_calibration_false_event_rate
both_cohorts,oracle_timing,8,5917,0,0.0,0.0,0.0,0,0.0,,,,,24.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.005,0.9999999455832137,train_suites_out_of_fold,0.004994951910303417
development_main,oracle_timing,6,2956,0,0.0,0.0,0.0,0,0.0,,,,,21.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.005,0.9999999455832137,train_suites_out_of_fold,0.004994951910303417
external_8b,oracle_timing,2,2961,0,0.0,0.0,0.0,0,0.0,,,,,25.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.005,0.9999999455832137,train_suites_out_of_fold,0.004994951910303417
both_cohorts,routing_timing,8,5917,0,0.0,0.0,0.0,0,0.0,,,,,24.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.005,0.9999999455832137,train_suites_out_of_fold,0.004994951910303417
development_main,routing_timing,6,2956,0,0.0,0.0,0.0,0,0.0,,,,,21.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.005,0.9999999455832137,train_suites_out_of_fold,0.004994951910303417
external_8b,routing_timing,2,2961,0,0.0,0.0,0.0,0,0.0,,,,,25.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.005,0.9999999455832137,train_suites_out_of_fold,0.004994951910303417
both_cohorts,oracle_timing_local_calibration,8,5917,1,0.125,0.0,0.1875,29,0.004901132330572926,0.0,0.0,0.0,24.0,24.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 1},{'24': 1},libero_goal,0.005,0.8338823832818402,held_out_suite,
development_main,oracle_timing_local_calibration,6,2956,1,0.16666666666666666,0.0,0.3,11,0.0037212449255751017,0.0,0.0,0.0,24.0,21.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 1},{'24': 1},libero_goal,0.005,0.8338823832818402,held_out_suite,
external_8b,oracle_timing_local_calibration,2,2961,0,0.0,0.0,0.0,18,0.0060790273556231,,,,,25.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.005,0.8338823832818402,held_out_suite,
both_cohorts,closure_index_baseline,8,5917,5,0.625,0.0,0.9375,0,0.0,0.0,0.0,0.0,25.0,24.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 5},"{'24': 1, '25': 3, '26': 1}",libero_goal,0.005,21.0,train_suites_out_of_fold,
development_main,closure_index_baseline,6,2956,3,0.5,0.0,0.9,0,0.0,0.0,0.0,0.0,25.0,21.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 3},"{'24': 1, '25': 2}",libero_goal,0.005,21.0,train_suites_out_of_fold,
external_8b,closure_index_baseline,2,2961,2,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,25.5,25.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 2},"{'25': 1, '26': 1}",libero_goal,0.005,21.0,train_suites_out_of_fold,
both_cohorts,closure_index_local_calibration,8,5917,6,0.75,0.0,1.0,8,0.0013520365049856345,0.0,0.0,0.0,25.0,24.5,1,0.16666666666666666,0.0,1.0,0.125,2.0,20.0,21.0,{'0': 6},"{'19': 1, '24': 1, '25': 3, '26': 1}",libero_goal,0.005,15.0,held_out_suite,
development_main,closure_index_local_calibration,6,2956,4,0.6666666666666666,0.0,1.0,4,0.0013531799729364006,0.0,0.0,0.0,24.5,21.5,1,0.25,0.0,1.0,0.16666666666666666,2.0,20.0,21.0,{'0': 4},"{'19': 1, '24': 1, '25': 2}",libero_goal,0.005,15.0,held_out_suite,
external_8b,closure_index_local_calibration,2,2961,2,1.0,1.0,1.0,4,0.0013508949679162446,0.0,0.0,0.0,25.5,25.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 2},"{'25': 1, '26': 1}",libero_goal,0.005,15.0,held_out_suite,
both_cohorts,oracle_timing,8,5917,0,0.0,0.0,0.0,0,0.0,,,,,24.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.01,0.99999960265115,train_suites_out_of_fold,0.009989903820606834
development_main,oracle_timing,6,2956,0,0.0,0.0,0.0,0,0.0,,,,,21.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.01,0.99999960265115,train_suites_out_of_fold,0.009989903820606834
external_8b,oracle_timing,2,2961,0,0.0,0.0,0.0,0,0.0,,,,,25.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.01,0.99999960265115,train_suites_out_of_fold,0.009989903820606834
both_cohorts,routing_timing,8,5917,0,0.0,0.0,0.0,0,0.0,,,,,24.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.01,0.99999960265115,train_suites_out_of_fold,0.009989903820606834
development_main,routing_timing,6,2956,0,0.0,0.0,0.0,0,0.0,,,,,21.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.01,0.99999960265115,train_suites_out_of_fold,0.009989903820606834
external_8b,routing_timing,2,2961,0,0.0,0.0,0.0,0,0.0,,,,,25.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.01,0.99999960265115,train_suites_out_of_fold,0.009989903820606834
both_cohorts,oracle_timing_local_calibration,8,5917,1,0.125,0.0,0.1875,59,0.009971269224269056,0.0,0.0,0.0,24.0,24.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 1},{'24': 1},libero_goal,0.01,0.6685545504821416,held_out_suite,
development_main,oracle_timing_local_calibration,6,2956,1,0.16666666666666666,0.0,0.3,24,0.008119079837618403,0.0,0.0,0.0,24.0,21.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 1},{'24': 1},libero_goal,0.01,0.6685545504821416,held_out_suite,
external_8b,oracle_timing_local_calibration,2,2961,0,0.0,0.0,0.0,35,0.01182033096926714,,,,,25.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.01,0.6685545504821416,held_out_suite,
both_cohorts,closure_index_baseline,8,5917,5,0.625,0.0,0.9375,0,0.0,0.0,0.0,0.0,25.0,24.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 5},"{'24': 1, '25': 3, '26': 1}",libero_goal,0.01,21.0,train_suites_out_of_fold,
development_main,closure_index_baseline,6,2956,3,0.5,0.0,0.9,0,0.0,0.0,0.0,0.0,25.0,21.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 3},"{'24': 1, '25': 2}",libero_goal,0.01,21.0,train_suites_out_of_fold,
external_8b,closure_index_baseline,2,2961,2,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,25.5,25.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 2},"{'25': 1, '26': 1}",libero_goal,0.01,21.0,train_suites_out_of_fold,
both_cohorts,closure_index_local_calibration,8,5917,6,0.75,0.0,1.0,31,0.005239141456819334,0.0,0.0,0.0,25.0,24.5,1,0.16666666666666666,0.0,1.0,0.125,2.0,20.0,21.0,{'0': 6},"{'19': 1, '24': 1, '25': 3, '26': 1}",libero_goal,0.01,14.0,held_out_suite,
development_main,closure_index_local_calibration,6,2956,4,0.6666666666666666,0.0,1.0,12,0.0040595399188092015,0.0,0.0,0.0,24.5,21.5,1,0.25,0.0,1.0,0.16666666666666666,2.0,20.0,21.0,{'0': 4},"{'19': 1, '24': 1, '25': 2}",libero_goal,0.01,14.0,held_out_suite,
external_8b,closure_index_local_calibration,2,2961,2,1.0,1.0,1.0,19,0.006416751097602162,0.0,0.0,0.0,25.5,25.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 2},"{'25': 1, '26': 1}",libero_goal,0.01,14.0,held_out_suite,
both_cohorts,oracle_timing,8,5917,0,0.0,0.0,0.0,0,0.0,,,,,24.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.02,0.9999966841588196,train_suites_out_of_fold,0.019979807641213668
development_main,oracle_timing,6,2956,0,0.0,0.0,0.0,0,0.0,,,,,21.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.02,0.9999966841588196,train_suites_out_of_fold,0.019979807641213668
external_8b,oracle_timing,2,2961,0,0.0,0.0,0.0,0,0.0,,,,,25.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.02,0.9999966841588196,train_suites_out_of_fold,0.019979807641213668
both_cohorts,routing_timing,8,5917,0,0.0,0.0,0.0,0,0.0,,,,,24.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.02,0.9999966841588196,train_suites_out_of_fold,0.019979807641213668
development_main,routing_timing,6,2956,0,0.0,0.0,0.0,0,0.0,,,,,21.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.02,0.9999966841588196,train_suites_out_of_fold,0.019979807641213668
external_8b,routing_timing,2,2961,0,0.0,0.0,0.0,0,0.0,,,,,25.5,0,,,,0.0,,,21.0,{},{},libero_goal,0.02,0.9999966841588196,train_suites_out_of_fold,0.019979807641213668
both_cohorts,oracle_timing_local_calibration,8,5917,3,0.375,0.0,0.75,118,0.019942538448538112,0.0,0.0,0.0,24.0,24.5,1,0.3333333333333333,0.0,1.0,0.125,2.0,20.0,21.0,{'0': 3},"{'19': 1, '24': 1, '25': 1}",libero_goal,0.02,0.41366213706995636,held_out_suite,
development_main,oracle_timing_local_calibration,6,2956,2,0.3333333333333333,0.0,0.75,55,0.018606224627875506,0.0,0.0,0.0,21.5,21.5,1,0.5,0.0,1.0,0.16666666666666666,2.0,20.0,21.0,{'0': 2},"{'19': 1, '24': 1}",libero_goal,0.02,0.41366213706995636,held_out_suite,
external_8b,oracle_timing_local_calibration,2,2961,1,0.5,0.5,0.5,63,0.02127659574468085,0.0,0.0,0.0,25.0,25.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 1},{'25': 1},libero_goal,0.02,0.41366213706995636,held_out_suite,
both_cohorts,closure_index_baseline,8,5917,5,0.625,0.0,0.9375,0,0.0,0.0,0.0,0.0,25.0,24.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 5},"{'24': 1, '25': 3, '26': 1}",libero_goal,0.02,20.0,train_suites_out_of_fold,
development_main,closure_index_baseline,6,2956,3,0.5,0.0,0.9,0,0.0,0.0,0.0,0.0,25.0,21.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 3},"{'24': 1, '25': 2}",libero_goal,0.02,20.0,train_suites_out_of_fold,
external_8b,closure_index_baseline,2,2961,2,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,25.5,25.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 2},"{'25': 1, '26': 1}",libero_goal,0.02,20.0,train_suites_out_of_fold,
both_cohorts,closure_index_local_calibration,8,5917,6,0.75,0.0,1.0,108,0.01825249281730607,0.0,0.0,0.0,25.0,24.5,1,0.16666666666666666,0.0,1.0,0.125,2.0,20.0,21.0,{'0': 6},"{'19': 1, '24': 1, '25': 3, '26': 1}",libero_goal,0.02,13.0,held_out_suite,
development_main,closure_index_local_calibration,6,2956,4,0.6666666666666666,0.0,1.0,50,0.016914749661705007,0.0,0.0,0.0,24.5,21.5,1,0.25,0.0,1.0,0.16666666666666666,2.0,20.0,21.0,{'0': 4},"{'19': 1, '24': 1, '25': 2}",libero_goal,0.02,13.0,held_out_suite,
external_8b,closure_index_local_calibration,2,2961,2,1.0,1.0,1.0,58,0.019587977034785545,0.0,0.0,0.0,25.5,25.5,0,0.0,0.0,0.0,0.0,,,21.0,{'0': 2},"{'25': 1, '26': 1}",libero_goal,0.02,13.0,held_out_suite,
both_cohorts,oracle_timing,144,6226,12,0.08333333333333333,0.021195652173913074,0.17501096491228063,2,0.00032123353678124,3.0,2.0,3.0,33.0,31.0,10,0.8333333333333334,0.75,1.0,0.06944444444444445,11.0,110.0,44.0,"{'0': 1, '2': 4, '3': 7}","{'13': 1, '15': 2, '22': 1, '33': 3, '38': 1, '39': 1, '42': 1, '44': 1, '49': 1}",libero_long,0.005,0.9999944202693087,train_suites_out_of_fold,0.004970286331712588
development_main,oracle_timing,62,2718,3,0.04838709677419355,0.0,0.05660377358490566,0,0.0,3.0,3.0,3.0,39.0,31.0,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.03225806451612903,5.5,55.0,44.0,{'3': 3},"{'38': 1, '39': 1, '49': 1}",libero_long,0.005,0.9999944202693087,train_suites_out_of_fold,0.004970286331712588
external_8b,oracle_timing,82,3508,9,0.10975609756097561,0.04756493506493507,0.2037037037037037,2,0.0005701254275940707,2.0,2.0,3.0,33.0,31.0,8,0.8888888888888888,0.8,1.0,0.0975609756097561,16.5,165.0,44.0,"{'0': 1, '2': 4, '3': 4}","{'13': 1, '15': 2, '22': 1, '33': 3, '42': 1, '44': 1}",libero_long,0.005,0.9999944202693087,train_suites_out_of_fold,0.004970286331712588
both_cohorts,routing_timing,144,6226,1,0.006944444444444444,0.0,0.04920081967213104,2,0.00032123353678124,-5.0,-5.0,-5.0,8.0,31.0,1,1.0,1.0,1.0,0.006944444444444444,36.0,360.0,44.0,{'-5': 1},{'8': 1},libero_long,0.005,0.9999944202693087,train_suites_out_of_fold,0.004970286331712588
development_main,routing_timing,62,2718,0,0.0,0.0,0.0,1,0.0003679175864606328,,,,,31.0,0,,,,0.0,,,44.0,{},{},libero_long,0.005,0.9999944202693087,train_suites_out_of_fold,0.004970286331712588
external_8b,routing_timing,82,3508,1,0.012195121951219513,0.0,0.05714285714285714,1,0.00028506271379703536,-5.0,-5.0,-5.0,8.0,31.0,1,1.0,1.0,1.0,0.012195121951219513,36.0,360.0,44.0,{'-5': 1},{'8': 1},libero_long,0.005,0.9999944202693087,train_suites_out_of_fold,0.004970286331712588
both_cohorts,oracle_timing_local_calibration,144,6226,69,0.4791666666666667,0.18604651162790697,0.5245028188302904,31,0.004979119820109219,2.0,0.0,2.0,33.0,31.0,63,0.9130434782608695,0.75,1.0,0.4375,11.0,110.0,44.0,"{'0': 19, '1': 14, '2': 24, '3': 12}","{'8': 1, '11': 1, '13': 1, '14': 2, '17': 1, '21': 1, '22': 1, '24': 1, '30': 1, '31': 8, '32': 10, '33': 9, '34': 5, '35': 4, '36': 4, '37': 1, '38': 3, '39': 3, '40': 2, '41': 2, '42': 1, '43': 1, '44': 1, '45': 1, '46': 1, '47': 1, '49': 2}",libero_long,0.005,0.999801023361574,held_out_suite,
development_main,oracle_timing_local_calibration,62,2718,34,0.5483870967741935,0.0,0.6086956521739131,10,0.003679175864606328,2.0,0.0,2.0,33.5,31.0,33,0.9705882352941176,0.96875,1.0,0.532258064516129,11.0,110.0,44.0,"{'0': 10, '1': 5, '2': 12, '3': 7}","{'30': 1, '31': 4, '32': 6, '33': 6, '34': 3, '35': 2, '36': 4, '38': 2, '39': 2, '40': 2, '43': 1, '46': 1}",libero_long,0.005,0.999801023361574,held_out_suite,
external_8b,oracle_timing_local_calibration,82,3508,35,0.4268292682926829,0.22213541666666667,0.52,21,0.0059863169897377425,1.0,0.5,2.0,33.0,31.0,30,0.8571428571428571,0.6666666666666666,1.0,0.36585365853658536,12.0,120.0,44.0,"{'0': 9, '1': 9, '2': 12, '3': 5}","{'8': 1, '11': 1, '13': 1, '14': 2, '17': 1, '21': 1, '22': 1, '24': 1, '31': 4, '32': 4, '33': 3, '34': 2, '35': 2, '37': 1, '38': 1, '39': 1, '41': 2, '42': 1, '44': 1, '45': 1, '47': 1, '49': 2}",libero_long,0.005,0.999801023361574,held_out_suite,
both_cohorts,closure_index_baseline,144,6226,131,0.9097222222222222,0.5090829346092504,0.9911932414135057,812,0.13042081593318341,0.0,0.0,0.0,31.0,31.0,124,0.9465648854961832,0.8823529411764706,1.0,0.8611111111111112,13.0,130.0,44.0,{'0': 131},"{'15': 3, '17': 4, '18': 6, '19': 2, '20': 1, '22': 1, '23': 1, '24': 1, '27': 1, '28': 1, '29': 10, '30': 19, '31': 19, '32': 11, '33': 17, '34': 3, '35': 5, '36': 4, '37': 6, '38': 1, '39': 1, '40': 2, '41': 2, '42': 1, '43': 2, '45': 4, '46': 3}",libero_long,0.005,14.0,train_suites_out_of_fold,
development_main,closure_index_baseline,62,2718,58,0.9354838709677419,0.4272321428571429,0.99375,20,0.007358351729212656,0.0,0.0,0.0,32.0,31.0,56,0.9655172413793104,0.9615384615384616,1.0,0.9032258064516129,12.5,125.0,44.0,{'0': 58},"{'17': 1, '18': 2, '23': 1, '29': 3, '30': 13, '31': 8, '32': 9, '33': 6, '35': 5, '36': 2, '37': 4, '42': 1, '43': 1, '45': 1, '46': 1}",libero_long,0.005,14.0,train_suites_out_of_fold,
external_8b,closure_index_baseline,82,3508,73,0.8902439024390244,0.5142857142857142,1.0,792,0.22576966932725198,0.0,0.0,0.0,31.0,31.0,68,0.9315068493150684,0.8418859649122806,1.0,0.8292682926829268,13.0,130.0,44.0,{'0': 73},"{'15': 3, '17': 3, '18': 4, '19': 2, '20': 1, '22': 1, '24': 1, '27': 1, '28': 1, '29': 7, '30': 6, '31': 11, '32': 2, '33': 11, '34': 3, '36': 2, '37': 2, '38': 1, '39': 1, '40': 2, '41': 2, '43': 1, '45': 3, '46': 2}",libero_long,0.005,14.0,train_suites_out_of_fold,
both_cohorts,closure_index_local_calibration,144,6226,110,0.7638888888888888,0.03773584905660377,0.9469026548672567,28,0.004497269514937359,0.0,0.0,0.0,32.0,31.0,103,0.9363636363636364,0.4,1.0,0.7152777777777778,12.0,120.0,44.0,{'0': 110},"{'29': 10, '30': 19, '31': 19, '32': 11, '33': 17, '34': 3, '35': 5, '36': 4, '37': 6, '38': 1, '39': 1, '40': 2, '41': 2, '42': 1, '43': 2, '45': 4, '46': 3}",libero_long,0.005,29.0,held_out_suite,
development_main,closure_index_local_calibration,62,2718,54,0.8709677419354839,0.0,0.9813664596273292,13,0.004782928623988227,0.0,0.0,0.0,32.0,31.0,52,0.9629629629629629,0.9615384615384616,1.0,0.8387096774193549,12.0,120.0,44.0,{'0': 54},"{'29': 3, '30': 13, '31': 8, '32': 9, '33': 6, '35': 5, '36': 2, '37': 4, '42': 1, '43': 1, '45': 1, '46': 1}",libero_long,0.005,29.0,held_out_suite,
external_8b,closure_index_local_calibration,82,3508,56,0.6829268292682927,0.018518518518518517,0.9273504273504274,15,0.00427594070695553,0.0,0.0,0.0,33.0,31.0,51,0.9107142857142857,0.0,1.0,0.6219512195121951,12.0,120.0,44.0,{'0': 56},"{'29': 7, '30': 6, '31': 11, '32': 2, '33': 11, '34': 3, '36': 2, '37': 2, '38': 1, '39': 1, '40': 2, '41': 2, '43': 1, '45': 3, '46': 2}",libero_long,0.005,29.0,held_out_suite,
both_cohorts,oracle_timing,144,6226,56,0.3888888888888889,0.17647058823529413,0.4400294117647057,11,0.0017667844522968198,2.0,1.0,3.0,33.0,31.0,50,0.8928571428571429,0.7272727272727273,1.0,0.3472222222222222,11.0,110.0,44.0,"{'0': 10, '1': 6, '2': 25, '3': 15}","{'8': 1, '11': 1, '14': 1, '15': 1, '18': 1, '21': 1, '22': 1, '24': 1, '30': 1, '31': 2, '32': 10, '33': 8, '34': 4, '35': 1, '37': 3, '38': 4, '39': 2, '40': 3, '41': 2, '43': 2, '44': 1, '45': 1, '46': 1, '47': 1, '49': 2}",libero_long,0.01,0.9999179331733414,train_suites_out_of_fold,0.009994597514856833
development_main,oracle_timing,62,2718,26,0.41935483870967744,0.0,0.4585987261146497,2,0.0007358351729212656,2.0,2.0,2.75,34.0,31.0,25,0.9615384615384616,0.9583333333333334,1.0,0.4032258064516129,10.0,100.0,44.0,"{'0': 4, '1': 1, '2': 14, '3': 7}","{'30': 1, '31': 2, '32': 5, '33': 4, '34': 3, '37': 2, '38': 3, '39': 1, '40': 3, '43': 1, '46': 1}",libero_long,0.01,0.9999179331733414,train_suites_out_of_fold,0.009994597514856833
external_8b,oracle_timing,82,3508,30,0.36585365853658536,0.2222222222222222,0.5,9,0.002565564424173318,2.0,1.0,2.75,33.0,31.0,25,0.8333333333333334,0.6666666666666666,1.0,0.3048780487804878,12.0,120.0,44.0,"{'0': 6, '1': 5, '2': 11, '3': 8}","{'8': 1, '11': 1, '14': 1, '15': 1, '18': 1, '21': 1, '22': 1, '24': 1, '32': 5, '33': 4, '34': 1, '35': 1, '37': 1, '38': 1, '39': 1, '41': 2, '43': 1, '44': 1, '45': 1, '47': 1, '49': 2}",libero_long,0.01,0.9999179331733414,train_suites_out_of_fold,0.009994597514856833
both_cohorts,routing_timing,144,6226,2,0.013888888888888888,0.0,0.0975609756097561,9,0.0014455509155155799,-8.5,-10.25,-6.75,7.5,31.0,2,1.0,1.0,1.0,0.013888888888888888,36.5,365.0,44.0,"{'-12': 1, '-5': 1}","{'7': 1, '8': 1}",libero_long,0.01,0.9999179331733414,train_suites_out_of_fold,0.009994597514856833
development_main,routing_timing,62,2718,0,0.0,0.0,0.0,1,0.0003679175864606328,,,,,31.0,0,,,,0.0,,,44.0,{},{},libero_long,0.01,0.9999179331733414,train_suites_out_of_fold,0.009994597514856833
external_8b,routing_timing,82,3508,2,0.024390243902439025,0.0,0.11538461538461539,8,0.002280501710376283,-8.5,-10.25,-6.75,7.5,31.0,2,1.0,1.0,1.0,0.024390243902439025,36.5,365.0,44.0,"{'-12': 1, '-5': 1}","{'7': 1, '8': 1}",libero_long,0.01,0.9999179331733414,train_suites_out_of_fold,0.009994597514856833
