parent,replicate,arm,step,offset,mobility_10steps
plus-task00-init026,0,native10,180,0,0.06171864396698421
plus-task00-init026,0,native10,190,10,0.04899045703764363
plus-task00-init026,0,native10,200,20,0.053803134040432285
plus-task00-init026,0,native10,210,30,0.04681114323115111
plus-task00-init026,0,native10,220,40,0.04599282976576731
plus-task00-init026,0,native10,230,50,0.0465011037243631
plus-task00-init026,0,native10,240,60,0.06161676168631447
plus-task00-init026,0,native10,250,70,0.06922854154000006
plus-task00-init026,0,native10,260,80,0.05571558280452471
plus-task00-init026,0,native10,270,90,0.04902838390988766
plus-task00-init026,0,native10,280,100,0.04805443648025088
plus-task00-init026,0,native10,290,110,0.06359384507201318
plus-task00-init026,0,native10,300,120,0.05289982394909613
plus-task00-init026,0,native10,310,130,0.060791007869655876
plus-task00-init026,0,native10,320,140,0.038303456677890445
plus-task00-init026,0,native10,330,150,0.043300479793731944
plus-task00-init026,0,native10,340,160,0.04334180790295102
plus-task00-init026,0,native10,350,170,0.03992984174434212
plus-task00-init026,0,native10,360,180,0.03639915695501751
plus-task00-init026,0,native10,370,190,0.048458456718160035
plus-task00-init026,0,native10,380,200,0.06821985709117767
plus-task00-init026,0,native10,390,210,0.0758640587223998
plus-task00-init026,0,native10,400,220,0.04910568067998936
plus-task00-init026,0,native10,410,230,0.05525545822414135
plus-task00-init026,0,native10,420,240,0.03686909606304096
plus-task00-init026,0,native10,430,250,0.043700876146088884
plus-task00-init026,0,native10,440,260,0.04603120973903483
plus-task00-init026,0,native10,450,270,0.04505944440780248
plus-task00-init026,0,native10,460,280,0.06842600756015253
plus-task00-init026,0,native10,470,290,0.060275936993843884
plus-task00-init026,0,native10,480,300,0.04393093063188034
plus-task00-init026,0,native10,490,310,0.040013585133123364
plus-task00-init026,0,native10,500,320,0.04478468930340215
plus-task00-init026,0,native10,510,330,0.04795781940724539
plus-task00-init026,0,window5,180,0,0.06171864396698421
plus-task00-init026,0,window5,190,10,0.02687490705138714
plus-task00-init026,0,window5,200,20,0.03148566494808588
plus-task00-init026,0,window5,210,30,0.04970058209535793
plus-task00-init026,0,window5,220,40,0.04674878450000901
plus-task00-init026,0,window5,230,50,0.03345013904217414
plus-task00-init026,0,window5,240,60,0.030596459890451733
plus-task00-init026,0,window5,250,70,0.02701300600594746
plus-task00-init026,0,window5,260,80,0.03241307218674759
plus-task00-init026,0,window5,270,90,0.034733473073134416
plus-task00-init026,0,window5,280,100,0.03931814994363042
plus-task00-init026,0,window5,290,110,0.035095264082428045
plus-task00-init026,0,window5,300,120,0.02167623433249686
plus-task00-init026,0,window5,310,130,0.024092990231477554
plus-task00-init026,0,window5,320,140,0.033673715339938085
plus-task00-init026,0,window5,330,150,0.03549792209459366
plus-task00-init026,0,window5,340,160,0.027546621769668416
plus-task00-init026,0,window5,350,170,0.03267605309495992
plus-task00-init026,0,window5,360,180,0.027971851868595576
plus-task00-init026,0,window5,370,190,0.030800117601325883
