cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,legacy_back_mean_q95_k2,400,0,400,0,0,0,1,0,399,,0.0025,0.0,,,,0.0,0.0,0.0025,0.0025,0.0,0.0,,,,
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,lock_layer_median_q75_k4,400,0,400,0,0,0,0,0,400,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,instability_L5_q80_k8,400,0,400,0,0,0,0,0,400,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,dual_regime_or,400,0,400,0,0,0,0,0,400,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
development_main,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,legacy_back_mean_q95_k2,400,52,348,0,52,15,0,37,348,0.28846153846153844,0.0,1.0,,0.28846153846153844,1.0,0.28846153846153844,0.28846153846153844,0.0,0.0,1.0,1.0,0.1346153846153846,0.07692307692307693,0.019230769230769232,0.019230769230769232
development_main,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock_layer_median_q75_k4,400,52,348,0,52,50,0,2,348,0.9615384615384616,0.0,1.0,,0.9615384615384616,4.0,0.9615384615384616,0.9615384615384616,0.0,0.0,1.0,1.0,0.9615384615384616,0.9038461538461539,0.057692307692307696,0.038461538461538464
development_main,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,instability_L5_q80_k8,400,52,348,0,52,0,0,52,348,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development_main,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,dual_regime_or,400,52,348,0,52,50,0,2,348,0.9615384615384616,0.0,1.0,,0.9615384615384616,4.0,0.9615384615384616,0.9615384615384616,0.0,0.0,1.0,1.0,0.9615384615384616,0.9038461538461539,0.057692307692307696,0.038461538461538464
development_main,libero_goal/push_the_plate_to_the_front_of_the_stove,legacy_back_mean_q95_k2,400,2,398,0,2,2,11,0,387,1.0,0.02763819095477387,0.15384615384615385,,1.0,7.5,1.0,1.0,0.02763819095477387,0.02763819095477387,0.15384615384615385,0.15384615384615385,1.0,1.0,0.5,0.0
development_main,libero_goal/push_the_plate_to_the_front_of_the_stove,lock_layer_median_q75_k4,400,2,398,0,2,1,0,1,398,0.5,0.0,1.0,,0.5,8.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0
