benchmark,method,arm,parents,native_successes,alarms,true_positives,false_positives,precision,recall,false_positive_rate,eligible_states,failed_states,successful_states,terminal_alarms,rescue_successes,failed_parent_branches,harm_failures,successful_parent_branches,rescue_rate,harm_rate,alarm_state_success_rate,policy_success_rate,policy_delta_vs_random,base_task_clusters,policy_delta_cluster_ci_low,policy_delta_cluster_ci_high,mean_deployment_queries
all,v7_frozen,random,115,62,38,36,2,0.9473684210526315,0.6792452830188679,0.03225806451612903,38,36,2,0,0,144,0,8,0.0,0.0,0.05263157894736842,0.5391304347826087,0.0,10,,,37.208695652173915
all,v7_frozen,short_chunk,115,62,38,36,2,0.9473684210526315,0.6792452830188679,0.03225806451612903,38,36,2,0,0,144,0,8,0.0,0.0,0.05263157894736842,0.5391304347826087,0.0,10,,,37.53695652173913
all,v7_frozen,edge_noise,115,62,38,36,2,0.9473684210526315,0.6792452830188679,0.03225806451612903,38,36,2,0,0,144,0,8,0.0,0.0,0.05263157894736842,0.5391304347826087,0.0,10,,,38.20217391304348
all,v7_frozen,swap1,115,62,38,36,2,0.9473684210526315,0.6792452830188679,0.03225806451612903,38,36,2,0,0,144,0,8,0.0,0.0,0.05263157894736842,0.5391304347826087,0.0,10,,,37.20652173913044
all,v8_frozen,random,115,62,41,39,2,0.9512195121951219,0.7358490566037735,0.03225806451612903,41,39,2,0,0,156,0,8,0.0,0.0,0.04878048780487805,0.5391304347826087,0.0,10,,,37.208695652173915
all,v8_frozen,short_chunk,115,62,41,39,2,0.9512195121951219,0.7358490566037735,0.03225806451612903,41,39,2,0,0,156,0,8,0.0,0.0,0.04878048780487805,0.5391304347826087,0.0,10,,,37.56304347826087
all,v8_frozen,edge_noise,115,62,41,39,2,0.9512195121951219,0.7358490566037735,0.03225806451612903,41,39,2,0,0,156,0,8,0.0,0.0,0.04878048780487805,0.5391304347826087,0.0,10,,,38.280434782608694
all,v8_frozen,swap1,115,62,41,39,2,0.9512195121951219,0.7358490566037735,0.03225806451612903,41,39,2,0,0,156,0,8,0.0,0.0,0.04878048780487805,0.5391304347826087,0.0,10,,,37.20652173913044
all,knn20,random,115,62,59,51,8,0.864406779661017,0.9622641509433962,0.12903225806451613,59,51,8,0,1,204,0,32,0.004901960784313725,0.0,0.13983050847457626,0.5413043478260869,0.0,10,,,37.1695652173913
all,knn20,short_chunk,115,62,59,51,8,0.864406779661017,0.9622641509433962,0.12903225806451613,59,51,8,0,1,204,0,32,0.004901960784313725,0.0,0.13983050847457626,0.5413043478260869,0.0,10,,,37.62608695652174
all,knn20,edge_noise,115,62,59,51,8,0.864406779661017,0.9622641509433962,0.12903225806451613,59,51,8,0,2,204,1,32,0.00980392156862745,0.03125,0.13983050847457626,0.5413043478260869,0.0,10,-0.006578947368421052,0.00641025641025641,38.719565217391306
