mode,lifted,first_close_query,max_rise_m,max_moved_m,min_dist_m,final_dist_m,queries,main_id,failed,base_task,arm,timing,physical_class,target,success,event_id,replicate
phantom_regrasp,False,0,0.0,0.0,0.48945219450534627,0.6983674893308487,30,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,new_noise,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,0
rescued,True,9,0.1368615355206405,0.40066184817847883,0.03362391381006188,0.09778405869930576,18,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,open_only,mid,untouched,moka_pot_1,True,bcccc263089b705dbdbaab51,0
phantom_regrasp,False,9,0.002113905138252603,0.005904040363259624,0.10840469184331528,0.5293274512425216,28,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,retract_history,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,0
approached_never_closed,False,,0.007608886712711871,0.088828076400757,0.06767077734667543,0.0902907343055128,24,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,retract_above_target,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,0
never_approached,False,,0.0,0.0,0.13014064807594058,0.29734079665724306,25,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,retract_above_target_noisy,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,0
closed_object_pushed,False,0,0.0009614289940096388,0.023065120637015032,0.10879326695190551,0.17685778290708806,20,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,scripted_regrasp,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,0
lifted_not_placed,True,0,0.148573231332091,0.17324566535525757,0.012376458818851178,0.013644921873882679,30,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,new_noise,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,1
rescued,True,9,0.12784598598639108,0.4174991738551956,0.03569238543718382,0.09147056992766116,18,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,open_only,mid,untouched,moka_pot_1,True,bcccc263089b705dbdbaab51,1
phantom_regrasp,False,8,0.000191764291965546,0.0012229689143752733,0.10856777464747844,0.6278830553423426,28,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,retract_history,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,1
closed_object_pushed,False,19,0.006926303271365564,0.05008692622744956,0.07192852524820764,0.19036550292741075,24,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,retract_above_target,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,1
closed_object_pushed,False,16,0.008663094846659058,0.0886913827514002,0.06763953261937042,0.21797630634979898,24,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,retract_above_target_noisy,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,1
closed_object_pushed,False,0,0.0016358693016612635,0.023062164550678988,0.1120769337304601,0.15335400592837972,20,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,scripted_regrasp,mid,untouched,moka_pot_1,False,bcccc263089b705dbdbaab51,1
rescued,True,5,0.14819103065785855,0.4073814909908856,0.012834603559293353,0.08537734349877747,14,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,new_noise,late,untouched,moka_pot_1,True,4004ef26aabc0c61d950d664,0
lifted_not_placed,True,6,0.14038999413040198,0.42882265456580937,0.010247532813330283,0.23131873578995832,29,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,open_only,late,untouched,moka_pot_1,False,4004ef26aabc0c61d950d664,0
approached_never_closed,False,,0.012201149169717707,0.08106279779225058,0.05557627739387007,0.0608430263997864,28,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,retract_history,late,untouched,moka_pot_1,False,4004ef26aabc0c61d950d664,0
approached_never_closed,False,,-0.017032772104835114,0.14062966068068047,0.05805107709641585,0.05839412755369502,26,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,retract_above_target,late,untouched,moka_pot_1,False,4004ef26aabc0c61d950d664,0
approached_never_closed,False,,0.0,0.0,0.10882294823334934,0.26398250782419264,24,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,retract_above_target_noisy,late,untouched,moka_pot_1,False,4004ef26aabc0c61d950d664,0
