episode,init_state_id,flow_noise_seed,success,failure,stratum
0,0,1000,False,True,i0
1,0,1001,False,True,i0
2,0,1002,True,False,i0
3,0,1003,False,True,i0
4,0,1004,True,False,i0
5,0,1005,False,True,i0
6,0,1006,True,False,i0
7,0,1007,False,True,i0
8,0,1008,True,False,i0
9,0,1009,False,True,i0
10,0,1010,True,False,i0
11,0,1011,False,True,i0
12,0,1012,True,False,i0
13,0,1013,False,True,i0
14,0,1014,False,True,i0
15,0,1015,True,False,i0
16,0,1016,False,True,i0
17,0,1017,False,True,i0
18,0,1018,False,True,i0
19,0,1019,True,False,i0
20,0,1020,True,False,i0
21,0,1021,True,False,i0
22,0,1022,True,False,i0
23,0,1023,False,True,i0
24,0,1024,False,True,i0
25,0,1025,True,False,i0
26,0,1026,True,False,i0
27,0,1027,False,True,i0
28,0,1028,False,True,i0
29,0,1029,True,False,i0
30,0,1030,False,True,i0
31,0,1031,False,True,i0
32,3,1000,False,True,i3
33,3,1001,False,True,i3
34,3,1002,False,True,i3
35,3,1003,False,True,i3
36,3,1004,False,True,i3
37,3,1005,False,True,i3
38,3,1006,False,True,i3
39,3,1007,True,False,i3
40,3,1008,False,True,i3
41,3,1009,False,True,i3
42,3,1010,False,True,i3
43,3,1011,True,False,i3
44,3,1012,False,True,i3
45,3,1013,False,True,i3
46,3,1014,False,True,i3
47,3,1015,True,False,i3
48,3,1016,False,True,i3
49,3,1017,False,True,i3
50,3,1018,False,True,i3
51,3,1019,True,False,i3
52,3,1020,False,True,i3
53,3,1021,False,True,i3
54,3,1022,False,True,i3
55,3,1023,False,True,i3
56,3,1024,False,True,i3
57,3,1025,False,True,i3
58,3,1026,False,True,i3
59,3,1027,True,False,i3
60,3,1028,False,True,i3
61,3,1029,False,True,i3
62,3,1030,False,True,i3
63,3,1031,False,True,i3
64,7,1000,True,False,i7
65,7,1001,True,False,i7
66,7,1002,False,True,i7
67,7,1003,True,False,i7
68,7,1004,True,False,i7
69,7,1005,False,True,i7
70,7,1006,True,False,i7
71,7,1007,True,False,i7
72,7,1008,True,False,i7
73,7,1009,True,False,i7
74,7,1010,False,True,i7
75,7,1011,True,False,i7
76,7,1012,True,False,i7
77,7,1013,True,False,i7
78,7,1014,True,False,i7
79,7,1015,True,False,i7
80,7,1016,True,False,i7
81,7,1017,True,False,i7
82,7,1018,True,False,i7
83,7,1019,True,False,i7
84,7,1020,True,False,i7
85,7,1021,True,False,i7
