suite,task,episode,init_state_id,success,failure,stratum
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,14,14,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,15,15,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,16,16,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,17,17,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,18,18,False,True,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,19,19,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,20,20,False,True,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,21,21,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,22,22,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,23,23,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,24,24,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,25,25,False,True,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,26,26,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,27,27,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,28,28,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,29,29,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,30,30,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,31,31,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,32,32,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,33,33,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,34,34,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,35,35,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,36,36,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,37,37,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,38,38,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,39,39,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,40,40,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,41,41,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,42,42,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,43,43,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,44,44,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,45,45,False,True,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,46,46,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,47,47,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,48,48,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t03__open_the_top_drawer_and_put_the_bowl_inside,49,49,True,False,goal/t03__open_the_top_drawer_and_put_the_bowl_inside
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,0,0,False,True,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,1,1,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,2,2,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,3,3,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,4,4,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,5,5,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,6,6,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,7,7,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,8,8,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,9,9,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,10,10,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,11,11,False,True,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,12,12,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,13,13,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,14,14,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,15,15,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
goal,goal/t04__put_the_bowl_on_top_of_the_cabinet,16,16,True,False,goal/t04__put_the_bowl_on_top_of_the_cabinet
