relative,feature_set,n_features,set_auc,set_auc_ci95,best_single_auc,best_single_feature
0,A_step9_reference,8,0.6272264631043257,"[0.5457239029721096, 0.7609873640905083]",0.3524173027989822,A_drift_L4
0,B_step9_no_reference,8,0.6405852417302799,"[0.5230569386173314, 0.7904246443719084]",0.3575063613231552,B_entropy_L12
0,C_loop_no_reference,42,0.41857506361323155,"[0.32049180327868854, 0.6253464881371857]",0.7340966921119593,C_late_over_early_L3
0,D_loop_reference,58,0.4013994910941476,"[0.3047575358583595, 0.7145330253503153]",0.7340966921119593,C_late_over_early_L3
1,A_step9_reference,8,0.6094147582697201,"[0.4925072352740892, 0.9275529542920846]",0.7519083969465649,A_drift_L5
1,B_step9_no_reference,8,0.9122137404580153,"[0.7329387626262626, 0.9694625974691292]",0.10305343511450382,B_entropy_L2
1,C_loop_no_reference,42,0.601145038167939,"[0.4833326709062003, 0.8547358887460553]",0.8651399491094147,C_path_L15
1,D_loop_reference,58,0.6666666666666666,"[0.5969750420541605, 0.9091136363636362]",0.8651399491094147,C_path_L15
2,A_step9_reference,8,0.712468193384224,"[0.5953450831664869, 0.8899030848630575]",0.767175572519084,A_drift_L12
2,B_step9_no_reference,8,0.8944020356234097,"[0.7938053442052507, 0.9709210748769583]",0.06679389312977099,B_entropy_L2
2,C_loop_no_reference,42,0.8880407124681934,"[0.8269957805907173, 0.9553355414746544]",0.9465648854961832,C_path_L15
2,D_loop_reference,58,0.8676844783715013,"[0.7398566153362666, 0.943458329910645]",0.9465648854961832,C_path_L15
