calibration,alpha,method,scope,tp,fp,failures,successes,recall,fpr,precision,median_failure_q,median_failure_cap_percent,tp_by_cap_50,fp_by_cap_50,tp_by_cap_60,fp_by_cap_60,recall_lo,recall_hi,fpr_lo,fpr_hi
original,,v82_frozen,all,475,99,564,15436,0.8421985815602837,0.006413578647317958,0.8275261324041812,24.0,59.61538461538461,70,65,153,80,0.8010514703010895,0.8997062769110934,0.003907488607390377,0.009219583192734623
original,,v82_frozen,libero_goal,87,10,106,3894,0.8207547169811321,0.0025680534155110425,0.8969072164948454,21.0,70.0,21,7,37,10,,,,
original,,v82_frozen,libero_long,239,77,274,3726,0.8722627737226277,0.020665593129361247,0.7563291139240507,32.0,26.923076923076923,44,54,106,66,,,,
original,,v82_frozen,libero_object,30,8,44,3956,0.6818181818181818,0.0020222446916076846,0.7894736842105263,20.0,71.42857142857143,1,3,4,3,,,,
original,,v82_frozen,libero_spatial,119,4,140,3860,0.85,0.0010362694300518134,0.967479674796748,19.0,86.36363636363636,4,1,6,1,,,,
original,,v82_frozen,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,,,0,0,0,0,,,,
original,,v82_frozen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,1,51,349,0.7647058823529411,0.0028653295128939827,0.975,25.0,83.33333333333333,0,0,3,1,,,,
original,,v82_frozen,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,0.2,16.0,53.333333333333336,0,2,1,4,,,,
original,,v82_frozen,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,1.0,16.0,53.333333333333336,2,0,6,0,,,,
original,,v82_frozen,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,1.0,18.0,60.0,0,0,7,0,,,,
original,,v82_frozen,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,1.0,14.0,46.666666666666664,15,0,16,0,,,,
original,,v82_frozen,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,0.6428571428571429,20.0,66.66666666666667,3,5,3,5,,,,
original,,v82_frozen,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,1.0,22.0,73.33333333333333,0,0,0,0,,,,
