corpus,signal,relative,trajectory,mean,ci95_low,ci95_high,n_groups,n_events
A,late_flow_volatility,-8,trap,0.03786262567042321,-0.014920565146348394,0.09329163732951526,15,129
A,late_flow_volatility,-8,no_trap_control,-0.04522090215774665,-0.06162429610475619,-0.022604849095545308,15,129
A,late_flow_volatility,-7,trap,0.00325530729087501,-0.03766510808054381,0.04407814963509576,15,129
A,late_flow_volatility,-7,no_trap_control,-0.06463876579585653,-0.12045741693623824,-0.01722866830779692,15,129
A,late_flow_volatility,-6,trap,-0.06377992352684553,-0.12177382844691204,-0.005702711480200772,15,129
A,late_flow_volatility,-6,no_trap_control,-0.0868535939158374,-0.1688081010334433,-0.014740465746329402,15,129
A,late_flow_volatility,-5,trap,-0.061511374575670054,-0.12687308689198948,0.014763189629943564,15,129
A,late_flow_volatility,-5,no_trap_control,-0.11818930845378633,-0.1920234888756994,-0.04717495994894458,15,129
A,late_flow_volatility,-4,trap,0.031234147202187968,-0.02605211854665964,0.0875078340159593,13,127
A,late_flow_volatility,-4,no_trap_control,-0.14640182844791455,-0.23910706431390746,-0.04881084331552106,13,127
A,late_flow_volatility,-3,trap,0.12877672436495968,0.09091257182474347,0.1768752784769151,13,126
A,late_flow_volatility,-3,no_trap_control,-0.1707903674290229,-0.2614038431028977,-0.07648871105023289,13,126
A,late_flow_volatility,-2,trap,0.19027770976300387,0.14137551513879615,0.2472099593167988,13,126
A,late_flow_volatility,-2,no_trap_control,-0.14537150589321457,-0.23250217051292044,-0.0570032460766018,13,126
A,late_flow_volatility,-1,trap,0.14955861132331724,0.08758206539897757,0.2151128278538305,13,126
A,late_flow_volatility,-1,no_trap_control,-0.10520761755880804,-0.193672781284688,-0.01965421750560827,13,126
A,late_flow_volatility,0,trap,0.10311129502305971,0.06613905548473815,0.15180919294269807,13,126
A,late_flow_volatility,0,no_trap_control,-0.06134956507855668,-0.14929821313321567,0.012745048303412169,13,126
A,late_flow_volatility,1,trap,0.055969003763121424,0.02405004985044866,0.09525261926968946,13,126
A,late_flow_volatility,1,no_trap_control,-0.016772891816659318,-0.10060859009026162,0.0535099131961743,13,126
A,late_flow_volatility,2,trap,0.02292968469439058,-0.017239347662141774,0.06664611060233427,13,126
A,late_flow_volatility,2,no_trap_control,0.019632669717286895,-0.04807808133601652,0.08461504743781086,13,126
A,late_flow_volatility,3,trap,0.05330462086932675,0.012643259785769134,0.09696485934270345,13,125
A,late_flow_volatility,3,no_trap_control,0.05356837606837606,0.0003020495726045755,0.10560732332516336,13,125
A,late_flow_volatility,4,trap,0.04864318018850324,-0.014535411224937263,0.1044488842834431,13,122
A,late_flow_volatility,4,no_trap_control,0.08934030283174448,0.03342739581870775,0.14200550967722952,13,122
A,physical_progress,-8,trap,-0.02536886847762361,-0.052414325105042014,-0.009941336621632069,15,129
A,physical_progress,-8,no_trap_control,0.03658655420511326,0.00808208824582986,0.0799283327087243,15,129
A,physical_progress,-7,trap,-0.029129933627197648,-0.057869952189031126,-0.010419699560621071,15,129
A,physical_progress,-7,no_trap_control,0.03925118745570182,0.018263190738223488,0.06043497145025388,15,129
A,physical_progress,-6,trap,-0.03670163625703981,-0.06268048854780436,-0.01824802466067245,15,129
A,physical_progress,-6,no_trap_control,0.04376866673378301,0.01352617801484889,0.07763628369736324,15,129
A,physical_progress,-5,trap,-0.04606576480721488,-0.07971312565904232,-0.021471601037109062,15,129
A,physical_progress,-5,no_trap_control,0.027859567599649675,-0.03539375622539286,0.08030483826096506,15,129
A,physical_progress,-4,trap,-0.04116309909790688,-0.0670552155322056,-0.02017080393999706,13,127
A,physical_progress,-4,no_trap_control,0.029909325935098447,-0.04447468165506943,0.09027872585474868,13,127
A,physical_progress,-3,trap,-0.03063284074313486,-0.05979566683686074,-0.002407612850523503,13,126
A,physical_progress,-3,no_trap_control,0.023502349657811842,-0.05834436761611353,0.09233452646115088,13,126
A,physical_progress,-2,trap,-0.014780753016047135,-0.043433875842043196,0.008183578937769265,13,126
A,physical_progress,-2,no_trap_control,0.0060181434656224626,-0.05957664301384889,0.06361483057940275,13,126
A,physical_progress,-1,trap,-0.005574565684859801,-0.03527022818898163,0.0251238087416267,13,126
A,physical_progress,-1,no_trap_control,-0.0026626875497673765,-0.06564943771774474,0.05441517107892371,13,126
A,physical_progress,0,trap,0.0007339678295560652,-0.03520621120493508,0.03659421903874138,13,126
A,physical_progress,0,no_trap_control,-0.007166408229958644,-0.07139685905007036,0.04286789695360467,13,126
A,physical_progress,1,trap,0.003528279998868229,-0.03363515048183216,0.03662123923107767,13,126
A,physical_progress,1,no_trap_control,0.012028786683023382,-0.018287882316305598,0.05162343487803046,13,126
A,physical_progress,2,trap,-0.022531403781403784,-0.050439780348328134,-0.0012381284348882133,13,126
A,physical_progress,2,no_trap_control,0.027738628851782448,0.007290747657050859,0.052412803774016324,13,126
A,physical_progress,3,trap,-0.024205594405594413,-0.0501684457914111,-0.005310862550501591,13,125
A,physical_progress,3,no_trap_control,0.05164241053064583,0.012827521887336041,0.09648968382708671,13,125
A,physical_progress,4,trap,-0.013865221085568244,-0.05176468082273675,0.024597961341727318,13,122
A,physical_progress,4,no_trap_control,0.06126624199490643,0.014300010475501682,0.11657426979558788,13,122
A,state_action_gap,-8,trap,0.052326938527348925,-0.024037628713275323,0.12786349866033353,15,129
A,state_action_gap,-8,no_trap_control,0.002561434486879085,-0.06922823670466403,0.0771038630322951,15,129
A,state_action_gap,-7,trap,-0.008841262603232506,-0.06982936381074169,0.06056654180025731,15,129
A,state_action_gap,-7,no_trap_control,0.009514339758297819,-0.051358087038234086,0.06522829478088746,15,129
A,state_action_gap,-6,trap,-0.049500920875749865,-0.09997976959028465,0.006787450909823616,15,129
A,state_action_gap,-6,no_trap_control,0.009007005433134032,-0.04160147014394704,0.06421883337101568,15,129
A,state_action_gap,-5,trap,-0.12485433449865732,-0.16390536456160476,-0.0835948359123815,15,129
A,state_action_gap,-5,no_trap_control,-0.004705327436745581,-0.0627624812656544,0.05990771254604658,15,129
A,state_action_gap,-4,trap,-0.07710966276274288,-0.12066198153620877,-0.0317454887837488,13,127
A,state_action_gap,-4,no_trap_control,-0.025330959155315656,-0.12862951439603618,0.08131277092141141,13,127
A,state_action_gap,-3,trap,-0.018655432258373426,-0.062310720134826,0.023348663183222,13,126
A,state_action_gap,-3,no_trap_control,-0.034622794986940646,-0.17396073007874477,0.10477640619399778,13,126
A,state_action_gap,-2,trap,0.010695853710559597,-0.03011639934996021,0.05910733525556015,13,126
A,state_action_gap,-2,no_trap_control,-0.037739328443109954,-0.17927458765892293,0.10200944271970541,13,126
A,state_action_gap,-1,trap,0.03654507257448434,-0.004425952650777343,0.07963171943364121,13,126
A,state_action_gap,-1,no_trap_control,-0.030099657708201114,-0.16711715973056396,0.1032131463474491,13,126
A,state_action_gap,0,trap,0.054845372492431314,0.003797966151143264,0.11315084773240731,13,126
A,state_action_gap,0,no_trap_control,-0.026213831492192828,-0.15800347229032427,0.11311687859977304,13,126
A,state_action_gap,1,trap,0.10375215742862803,0.029066532676617764,0.1993523844814606,13,126
A,state_action_gap,1,no_trap_control,-0.04656674117458429,-0.16276693159900718,0.06951028728702989,13,126
A,state_action_gap,2,trap,0.13912328140269314,0.0541805477547028,0.2315498334590245,13,126
A,state_action_gap,2,no_trap_control,-0.0713040881983459,-0.17050113048246893,0.031035556322869085,13,126
A,state_action_gap,3,trap,0.10904576991635813,0.03900010026737966,0.18231413270288657,13,125
A,state_action_gap,3,no_trap_control,-0.07193380410439235,-0.1703209417781808,0.01934286427656582,13,125
A,state_action_gap,4,trap,0.05827393435879454,0.016331785232955913,0.10743937485453771,13,122
A,state_action_gap,4,no_trap_control,-0.06435998307382107,-0.16126359785929897,0.016792805911235126,13,122
A,weighted_recurrence,-8,trap,-0.05697240136364622,-0.11656177798385865,-0.006009759222838088,15,129
A,weighted_recurrence,-8,no_trap_control,0.08448097076118052,0.03054633838166525,0.13385933286726584,15,129
A,weighted_recurrence,-7,trap,-0.08010462582966002,-0.1385954419396602,-0.02422717819011669,15,129
A,weighted_recurrence,-7,no_trap_control,0.09597376517691157,0.026678809121638326,0.156190870740427,15,129
A,weighted_recurrence,-6,trap,0.009353699196380464,-0.0355103864154259,0.047540010837484145,15,129
A,weighted_recurrence,-6,no_trap_control,0.09296680734779231,0.020398518057868596,0.15665682095367114,15,129
A,weighted_recurrence,-5,trap,0.18649237472766886,0.1567936355701701,0.21772291406065333,15,129
A,weighted_recurrence,-5,no_trap_control,0.06575974058874196,-0.010397834291320934,0.14791821295373137,15,129
A,weighted_recurrence,-4,trap,0.19688623480888418,0.17225396336201043,0.221174997431942,13,127
A,weighted_recurrence,-4,no_trap_control,0.07119416007872964,0.0028479361450237635,0.13855600596962486,13,127
A,weighted_recurrence,-3,trap,0.09239058871411814,0.029323343048717646,0.14908854166666663,13,126
A,weighted_recurrence,-3,no_trap_control,0.07411074828791916,0.0100254838124502,0.13645135743928222,13,126
A,weighted_recurrence,-2,trap,-0.013609715447950735,-0.08980671717480362,0.061434555731430716,13,126
A,weighted_recurrence,-2,no_trap_control,0.08233355696590992,0.01905897791146198,0.1494655669293582,13,126
A,weighted_recurrence,-1,trap,-0.14894816512463568,-0.22631636064857688,-0.07242076343428137,13,126
A,weighted_recurrence,-1,no_trap_control,0.08067064788878513,0.022505294347289675,0.15337503689919127,13,126
A,weighted_recurrence,0,trap,-0.16029659338482863,-0.23734620927674743,-0.085126525347494,13,126
A,weighted_recurrence,0,no_trap_control,0.04276002488537503,-0.02865731873743257,0.1180861907879654,13,126
A,weighted_recurrence,1,trap,-0.07233186203774439,-0.12810212516496983,-0.024768858602431203,13,126
A,weighted_recurrence,1,no_trap_control,-0.0037185623407612225,-0.07346044557571398,0.06932189100387612,13,126
A,weighted_recurrence,2,trap,0.034216709216709225,0.013721760867467564,0.06068486080039312,13,126
