corpus,group,relative,concordant,pairs,n_events,auc_trap_high,event_kind,signal,variant,control_kind
A,w00_s000,-8,25.0,55,5,0.45454545454545453,loop,weighted_recurrence,raw,all_no_event
A,w00_s001,-8,5.0,39,13,0.1282051282051282,loop,weighted_recurrence,raw,all_no_event
A,w00_s002,-8,7.0,64,8,0.109375,loop,weighted_recurrence,raw,all_no_event
A,w00_s003,-8,35.0,63,9,0.5555555555555556,loop,weighted_recurrence,raw,all_no_event
A,w00_s004,-8,20.0,63,7,0.31746031746031744,loop,weighted_recurrence,raw,all_no_event
A,w00_s005,-8,37.0,62,7,0.5967741935483871,loop,weighted_recurrence,raw,all_no_event
A,w01_s000,-8,1.0,15,15,0.06666666666666667,loop,weighted_recurrence,raw,all_no_event
A,w01_s003,-8,1.0,15,15,0.06666666666666667,loop,weighted_recurrence,raw,all_no_event
A,w02_s000,-8,35.0,63,7,0.5555555555555556,loop,weighted_recurrence,raw,all_no_event
A,w02_s001,-8,13.0,63,7,0.20634920634920634,loop,weighted_recurrence,raw,all_no_event
A,w02_s002,-8,24.0,64,8,0.375,loop,weighted_recurrence,raw,all_no_event
A,w02_s003,-8,20.0,60,10,0.3333333333333333,loop,weighted_recurrence,raw,all_no_event
A,w02_s004,-8,30.0,60,6,0.5,loop,weighted_recurrence,raw,all_no_event
A,w03_s001,-8,2.0,15,1,0.13333333333333333,loop,weighted_recurrence,raw,all_no_event
A,w03_s002,-8,1.0,1,1,1.0,loop,weighted_recurrence,raw,all_no_event
A,w03_s003,-8,3.0,15,1,0.2,loop,weighted_recurrence,raw,all_no_event
A,w03_s004,-8,20.0,25,2,0.8,loop,weighted_recurrence,raw,all_no_event
A,w03_s005,-8,11.0,23,2,0.4782608695652174,loop,weighted_recurrence,raw,all_no_event
A,w00_s000,-7,16.0,55,5,0.2909090909090909,loop,weighted_recurrence,raw,all_no_event
A,w00_s001,-7,6.0,39,13,0.15384615384615385,loop,weighted_recurrence,raw,all_no_event
A,w00_s002,-7,11.0,64,8,0.171875,loop,weighted_recurrence,raw,all_no_event
A,w00_s003,-7,7.0,63,9,0.1111111111111111,loop,weighted_recurrence,raw,all_no_event
A,w00_s004,-7,15.0,63,7,0.23809523809523808,loop,weighted_recurrence,raw,all_no_event
A,w00_s005,-7,33.0,61,7,0.5409836065573771,loop,weighted_recurrence,raw,all_no_event
A,w01_s000,-7,2.0,15,15,0.13333333333333333,loop,weighted_recurrence,raw,all_no_event
A,w01_s003,-7,0.0,15,15,0.0,loop,weighted_recurrence,raw,all_no_event
A,w02_s000,-7,32.0,63,7,0.5079365079365079,loop,weighted_recurrence,raw,all_no_event
A,w02_s001,-7,13.0,63,7,0.20634920634920634,loop,weighted_recurrence,raw,all_no_event
A,w02_s002,-7,26.0,64,8,0.40625,loop,weighted_recurrence,raw,all_no_event
A,w02_s003,-7,22.0,60,10,0.36666666666666664,loop,weighted_recurrence,raw,all_no_event
A,w02_s004,-7,29.0,60,6,0.48333333333333334,loop,weighted_recurrence,raw,all_no_event
A,w03_s001,-7,2.0,13,1,0.15384615384615385,loop,weighted_recurrence,raw,all_no_event
A,w03_s003,-7,2.0,13,1,0.15384615384615385,loop,weighted_recurrence,raw,all_no_event
A,w03_s004,-7,14.0,19,2,0.7368421052631579,loop,weighted_recurrence,raw,all_no_event
A,w03_s005,-7,14.0,19,2,0.7368421052631579,loop,weighted_recurrence,raw,all_no_event
A,w00_s000,-6,20.0,55,5,0.36363636363636365,loop,weighted_recurrence,raw,all_no_event
A,w00_s001,-6,8.0,39,13,0.20512820512820512,loop,weighted_recurrence,raw,all_no_event
A,w00_s002,-6,15.0,64,8,0.234375,loop,weighted_recurrence,raw,all_no_event
A,w00_s003,-6,20.0,63,9,0.31746031746031744,loop,weighted_recurrence,raw,all_no_event
A,w00_s004,-6,23.0,63,7,0.36507936507936506,loop,weighted_recurrence,raw,all_no_event
A,w00_s005,-6,31.0,58,7,0.5344827586206896,loop,weighted_recurrence,raw,all_no_event
A,w01_s000,-6,4.0,15,15,0.26666666666666666,loop,weighted_recurrence,raw,all_no_event
A,w01_s003,-6,0.0,15,15,0.0,loop,weighted_recurrence,raw,all_no_event
A,w02_s000,-6,33.0,63,7,0.5238095238095238,loop,weighted_recurrence,raw,all_no_event
A,w02_s001,-6,14.0,63,7,0.2222222222222222,loop,weighted_recurrence,raw,all_no_event
A,w02_s002,-6,36.0,63,8,0.5714285714285714,loop,weighted_recurrence,raw,all_no_event
A,w02_s003,-6,28.0,60,10,0.4666666666666667,loop,weighted_recurrence,raw,all_no_event
A,w02_s004,-6,27.0,60,6,0.45,loop,weighted_recurrence,raw,all_no_event
A,w03_s001,-6,8.0,9,1,0.8888888888888888,loop,weighted_recurrence,raw,all_no_event
A,w03_s003,-6,4.0,6,1,0.6666666666666666,loop,weighted_recurrence,raw,all_no_event
A,w03_s004,-6,8.0,13,2,0.6153846153846154,loop,weighted_recurrence,raw,all_no_event
A,w03_s005,-6,14.0,15,2,0.9333333333333333,loop,weighted_recurrence,raw,all_no_event
A,w00_s000,-5,44.0,55,5,0.8,loop,weighted_recurrence,raw,all_no_event
A,w00_s001,-5,26.0,39,13,0.6666666666666666,loop,weighted_recurrence,raw,all_no_event
A,w00_s002,-5,43.0,64,8,0.671875,loop,weighted_recurrence,raw,all_no_event
A,w00_s003,-5,50.0,63,9,0.7936507936507936,loop,weighted_recurrence,raw,all_no_event
A,w00_s004,-5,46.0,63,7,0.7301587301587301,loop,weighted_recurrence,raw,all_no_event
A,w00_s005,-5,42.0,58,7,0.7241379310344828,loop,weighted_recurrence,raw,all_no_event
A,w01_s000,-5,5.0,15,15,0.3333333333333333,loop,weighted_recurrence,raw,all_no_event
A,w01_s003,-5,0.0,15,15,0.0,loop,weighted_recurrence,raw,all_no_event
A,w02_s000,-5,36.0,63,7,0.5714285714285714,loop,weighted_recurrence,raw,all_no_event
A,w02_s001,-5,35.0,63,7,0.5555555555555556,loop,weighted_recurrence,raw,all_no_event
A,w02_s002,-5,44.0,63,8,0.6984126984126984,loop,weighted_recurrence,raw,all_no_event
A,w02_s003,-5,36.0,60,10,0.6,loop,weighted_recurrence,raw,all_no_event
A,w02_s004,-5,29.0,60,6,0.48333333333333334,loop,weighted_recurrence,raw,all_no_event
A,w03_s001,-5,2.0,3,1,0.6666666666666666,loop,weighted_recurrence,raw,all_no_event
A,w03_s003,-5,2.0,2,1,1.0,loop,weighted_recurrence,raw,all_no_event
A,w03_s004,-5,3.0,8,2,0.375,loop,weighted_recurrence,raw,all_no_event
A,w03_s005,-5,14.0,15,2,0.9333333333333333,loop,weighted_recurrence,raw,all_no_event
A,w00_s000,-4,48.0,55,5,0.8727272727272727,loop,weighted_recurrence,raw,all_no_event
A,w00_s001,-4,15.0,39,13,0.38461538461538464,loop,weighted_recurrence,raw,all_no_event
A,w00_s002,-4,38.0,64,8,0.59375,loop,weighted_recurrence,raw,all_no_event
A,w00_s003,-4,44.0,63,9,0.6984126984126984,loop,weighted_recurrence,raw,all_no_event
A,w00_s004,-4,48.0,63,7,0.7619047619047619,loop,weighted_recurrence,raw,all_no_event
A,w00_s005,-4,34.0,57,7,0.5964912280701754,loop,weighted_recurrence,raw,all_no_event
A,w01_s000,-4,5.0,15,15,0.3333333333333333,loop,weighted_recurrence,raw,all_no_event
A,w01_s003,-4,0.0,15,15,0.0,loop,weighted_recurrence,raw,all_no_event
A,w02_s000,-4,43.0,63,7,0.6825396825396826,loop,weighted_recurrence,raw,all_no_event
A,w02_s001,-4,42.0,63,7,0.6666666666666666,loop,weighted_recurrence,raw,all_no_event
A,w02_s002,-4,45.0,63,8,0.7142857142857143,loop,weighted_recurrence,raw,all_no_event
A,w02_s003,-4,40.0,60,10,0.6666666666666666,loop,weighted_recurrence,raw,all_no_event
A,w02_s004,-4,28.0,60,6,0.4666666666666667,loop,weighted_recurrence,raw,all_no_event
A,w03_s001,-4,1.0,1,1,1.0,loop,weighted_recurrence,raw,all_no_event
A,w03_s004,-4,1.0,4,2,0.25,loop,weighted_recurrence,raw,all_no_event
A,w03_s005,-4,13.0,15,2,0.8666666666666667,loop,weighted_recurrence,raw,all_no_event
A,w00_s000,-3,29.0,55,5,0.5272727272727272,loop,weighted_recurrence,raw,all_no_event
A,w00_s001,-3,1.0,39,13,0.02564102564102564,loop,weighted_recurrence,raw,all_no_event
A,w00_s002,-3,21.0,64,8,0.328125,loop,weighted_recurrence,raw,all_no_event
A,w00_s003,-3,44.0,63,9,0.6984126984126984,loop,weighted_recurrence,raw,all_no_event
A,w00_s004,-3,29.0,63,7,0.4603174603174603,loop,weighted_recurrence,raw,all_no_event
A,w00_s005,-3,31.0,56,7,0.5535714285714286,loop,weighted_recurrence,raw,all_no_event
A,w01_s000,-3,7.0,15,15,0.4666666666666667,loop,weighted_recurrence,raw,all_no_event
A,w01_s003,-3,0.0,15,15,0.0,loop,weighted_recurrence,raw,all_no_event
A,w02_s000,-3,28.0,63,7,0.4444444444444444,loop,weighted_recurrence,raw,all_no_event
A,w02_s001,-3,34.0,63,7,0.5396825396825397,loop,weighted_recurrence,raw,all_no_event
A,w02_s002,-3,45.0,63,8,0.7142857142857143,loop,weighted_recurrence,raw,all_no_event
A,w02_s003,-3,20.0,59,10,0.3389830508474576,loop,weighted_recurrence,raw,all_no_event
A,w02_s004,-3,18.0,60,6,0.3,loop,weighted_recurrence,raw,all_no_event
A,w03_s001,-3,1.0,1,1,1.0,loop,weighted_recurrence,raw,all_no_event
A,w03_s004,-3,1.0,4,2,0.25,loop,weighted_recurrence,raw,all_no_event
A,w03_s005,-3,13.0,14,1,0.9285714285714286,loop,weighted_recurrence,raw,all_no_event
A,w00_s000,-2,14.0,55,5,0.2545454545454545,loop,weighted_recurrence,raw,all_no_event
A,w00_s001,-2,0.0,39,13,0.0,loop,weighted_recurrence,raw,all_no_event
A,w00_s002,-2,14.0,64,8,0.21875,loop,weighted_recurrence,raw,all_no_event
A,w00_s003,-2,28.0,63,9,0.4444444444444444,loop,weighted_recurrence,raw,all_no_event
A,w00_s004,-2,10.0,63,7,0.15873015873015872,loop,weighted_recurrence,raw,all_no_event
A,w00_s005,-2,20.0,52,7,0.38461538461538464,loop,weighted_recurrence,raw,all_no_event
A,w01_s000,-2,6.0,15,15,0.4,loop,weighted_recurrence,raw,all_no_event
A,w01_s003,-2,0.0,15,15,0.0,loop,weighted_recurrence,raw,all_no_event
A,w02_s000,-2,7.0,63,7,0.1111111111111111,loop,weighted_recurrence,raw,all_no_event
A,w02_s001,-2,27.0,63,7,0.42857142857142855,loop,weighted_recurrence,raw,all_no_event
A,w02_s002,-2,40.0,63,8,0.6349206349206349,loop,weighted_recurrence,raw,all_no_event
A,w02_s003,-2,4.0,59,10,0.06779661016949153,loop,weighted_recurrence,raw,all_no_event
A,w02_s004,-2,6.0,60,6,0.1,loop,weighted_recurrence,raw,all_no_event
A,w03_s001,-2,1.0,1,1,1.0,loop,weighted_recurrence,raw,all_no_event
A,w03_s004,-2,0.0,3,2,0.0,loop,weighted_recurrence,raw,all_no_event
A,w03_s005,-2,13.0,14,1,0.9285714285714286,loop,weighted_recurrence,raw,all_no_event
A,w00_s000,-1,0.0,55,5,0.0,loop,weighted_recurrence,raw,all_no_event
A,w00_s001,-1,0.0,39,13,0.0,loop,weighted_recurrence,raw,all_no_event
A,w00_s002,-1,6.0,64,8,0.09375,loop,weighted_recurrence,raw,all_no_event
A,w00_s003,-1,0.0,63,9,0.0,loop,weighted_recurrence,raw,all_no_event
A,w00_s004,-1,1.0,63,7,0.015873015873015872,loop,weighted_recurrence,raw,all_no_event
