corpus,event,ground_truth,n_event,n_failure_event,n_success_event,proxy_n,proxy_sensitivity,proxy_specificity,proxy_agreement,proxy_onset_delta_median
A,loop,dense,172,170,2,172.0,1.0,1.0,1.0,0.0
A,static,dense,54,54,0,71.0,1.0,0.9429530201342282,0.9517045454545454,1.0
A,trap,dense,210,208,2,219.0,1.0,0.9366197183098591,0.9744318181818182,0.0
B,loop,query_proxy,57,55,2,,,,,
B,static,query_proxy,146,143,3,,,,,
B,trap,query_proxy,193,188,5,,,,,
