cohort_group,metric,orientation,tasks,median_expected_ratio,q25_expected_ratio,q75_expected_ratio,bootstrap_median_95_low,bootstrap_median_95_high,tasks_with_expected_direction
external_8b,conditional_effective_rank,back_over_front,39,1.3069770233422422,1.2722702026529418,1.3280198247076926,1.2871490011993458,1.3173489137535623,39
external_8b,conditional_energy,front_over_back,39,5.396633133022845,4.6630426312413045,6.202994110471984,4.7679511051295655,5.985297177209819,39
external_8b,conditional_query_d1,front_over_back,39,7.408939334252238,6.356704446977314,8.394736518713618,6.883648396962236,7.667652881551363,39
external_8b,flow_path,front_over_back,39,1.3320101876678094,1.2664066974342207,1.3715543553488865,1.300332760387837,1.3650464503876372,39
external_8b,partial_edge_std,back_over_front,39,6.271489433260191,5.548955336916592,7.315830791343038,5.758562596707489,7.057653357343408,39
legacy_main16x32,conditional_effective_rank,back_over_front,5,1.2526696384026024,1.247001005737898,1.2608070666393265,1.2111027545939224,1.392257922146295,5
legacy_main16x32,conditional_energy,front_over_back,5,5.357406564416147,4.389577914938602,5.891777488208868,4.274371579226914,6.433537688288745,5
legacy_main16x32,conditional_query_d1,front_over_back,5,6.384158347426993,6.103230578025241,6.886713312712943,5.197089246817173,8.955130860286852,5
legacy_main16x32,flow_path,front_over_back,5,1.3426920301415848,1.2855691116464931,1.3763938478383348,1.17939170357937,1.4551152560438114,5
legacy_main16x32,partial_edge_std,back_over_front,5,5.895974007927053,4.862809141668731,7.419127739709226,4.667512118254942,7.905098130240325,5
reference_50x8,conditional_effective_rank,back_over_front,40,1.3075926032964944,1.268950442263922,1.327533182525591,1.2865090298807424,1.3159160306286004,40
reference_50x8,conditional_energy,front_over_back,40,5.372125663671012,4.669758900283578,6.1362912726876795,4.752355410363434,5.995822479974648,40
reference_50x8,conditional_query_d1,front_over_back,40,7.349757214744982,6.401817554618212,8.268197659212655,6.834162995586757,7.752592961742708,40
reference_50x8,flow_path,front_over_back,40,1.3387245274774586,1.266526221045951,1.3718662911447836,1.2987586405701854,1.3647234076745298,40
reference_50x8,partial_edge_std,back_over_front,40,6.169319265186115,5.508986752132465,7.3569890470984385,5.819423958557213,7.049647598419446,40
