cohort,feature,status,n,late_n,auc,average_precision
development_main,graph_conditional_release,exploratory_posthoc_layer_fusion,372,20,0.7397017045454546,0.17219585683358213
development_main,layer_front_absolute_restart,exploratory_posthoc_layer_fusion,372,20,0.7191761363636364,0.21394463130230676
development_main,layer_back_topology_restart,exploratory_posthoc_layer_fusion,372,20,0.6828124999999999,0.20181584550138068
development_main,layer_back_rank_restart,exploratory_posthoc_layer_fusion,372,20,0.5695312499999999,0.14323781878963002
development_main,layer_structured_equal3,exploratory_posthoc_layer_fusion,372,20,0.6633522727272728,0.21469317975795438
development_main,coupled_plus_back_topology,exploratory_posthoc_layer_fusion,372,20,0.7323863636363637,0.22045751183561674
development_main,coupled_plus_back_rank,exploratory_posthoc_layer_fusion,372,20,0.6789772727272727,0.23587139028298876
external_8b,graph_conditional_release,exploratory_posthoc_layer_fusion,410,27,0.7342931937172775,0.16879444238818864
external_8b,layer_front_absolute_restart,exploratory_posthoc_layer_fusion,410,27,0.6593949970913322,0.16574478088655603
external_8b,layer_back_topology_restart,exploratory_posthoc_layer_fusion,410,27,0.6556137289121582,0.1749845208409997
external_8b,layer_back_rank_restart,exploratory_posthoc_layer_fusion,410,27,0.6515415939499709,0.20069124988403247
external_8b,layer_structured_equal3,exploratory_posthoc_layer_fusion,410,27,0.6814039170060112,0.1887913920628036
external_8b,coupled_plus_back_topology,exploratory_posthoc_layer_fusion,410,27,0.7409346519294164,0.19106917902630294
external_8b,coupled_plus_back_rank,exploratory_posthoc_layer_fusion,410,27,0.7423889858444832,0.19833345298261032
