cohort,task,layer,metric,queries,median,q25,q75,cohort_group
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L2,flow_path,5064,0.0626925453543663,0.06094488501548767,0.06489121913909912,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L3,flow_path,5064,0.06047055870294571,0.058117303997278214,0.06277284771203995,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L4,flow_path,5064,0.06189306080341339,0.05964270234107971,0.06424238532781601,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L5,flow_path,5064,0.06818792223930359,0.06609991192817688,0.07069267332553864,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L12,flow_path,5064,0.04547399282455444,0.04331490024924278,0.048856332898139954,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L13,flow_path,5064,0.045787326991558075,0.042952753603458405,0.049437277019023895,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L14,flow_path,5064,0.043422721326351166,0.04111853241920471,0.047027431428432465,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L15,flow_path,5064,0.04989604279398918,0.04727218300104141,0.052489541471004486,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L2,flow_settling_log_ratio,5064,0.36063259840011597,0.31764495372772217,0.4063364565372467,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L3,flow_settling_log_ratio,5064,0.34092432260513306,0.2888562083244324,0.3951399028301239,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L4,flow_settling_log_ratio,5064,0.40789422392845154,0.34535014629364014,0.45767486095428467,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L5,flow_settling_log_ratio,5064,0.4998176693916321,0.4588571786880493,0.5494633913040161,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L12,flow_settling_log_ratio,5064,0.729878306388855,0.6845911145210266,0.7790848016738892,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L13,flow_settling_log_ratio,5064,0.7909191846847534,0.7347624897956848,0.8477617502212524,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L14,flow_settling_log_ratio,5064,0.8121055364608765,0.7637954950332642,0.8622203469276428,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L15,flow_settling_log_ratio,5064,0.7543045282363892,0.6920890808105469,0.8156283497810364,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L2,flow_endpoint,5064,0.030348870903253555,0.028959792107343674,0.03207370266318321,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L3,flow_endpoint,5064,0.027245009317994118,0.025665204972028732,0.029056312516331673,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L4,flow_endpoint,5064,0.026872286573052406,0.025213785469532013,0.028830207884311676,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L5,flow_endpoint,5064,0.030072186142206192,0.02748105116188526,0.033202994614839554,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L12,flow_endpoint,5064,0.02708529122173786,0.02497364580631256,0.03041788376867771,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L13,flow_endpoint,5064,0.028824258595705032,0.02627277933061123,0.03219611197710037,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L14,flow_endpoint,5064,0.027752254158258438,0.025265617296099663,0.031123751774430275,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L15,flow_endpoint,5064,0.03224296122789383,0.02960657700896263,0.03511626645922661,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L2,action_consensus,5064,0.9991554021835327,0.9989075660705566,0.999376654624939,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L3,action_consensus,5064,0.9990025758743286,0.9986881613731384,0.9992766380310059,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L4,action_consensus,5064,0.998967707157135,0.9986836314201355,0.9991368055343628,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L5,action_consensus,5064,0.9987764358520508,0.9983096122741699,0.9990866184234619,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L12,action_consensus,5064,0.9986379146575928,0.9982707500457764,0.9989239573478699,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L13,action_consensus,5064,0.9984520673751831,0.9977793097496033,0.998870849609375,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L14,action_consensus,5064,0.998734712600708,0.9980456829071045,0.9990801215171814,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L15,action_consensus,5064,0.9984308481216431,0.9978571534156799,0.9987921714782715,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L2,state_action_alignment,5064,0.9450617432594299,0.9158819913864136,0.9582527875900269,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L3,state_action_alignment,5064,0.9422872066497803,0.9247689247131348,0.9544378519058228,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L4,state_action_alignment,5064,0.8898593187332153,0.8447633981704712,0.9367437362670898,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L5,state_action_alignment,5064,0.9656870365142822,0.9414682388305664,0.9750531315803528,reference_50x8
development_main,libero_goal/open_the_middle_drawer_of_the_cabinet,L12,state_action_alignment,5064,0.9882618188858032,0.9847970008850098,0.9902018308639526,reference_50x8
