comparison,edge_view,layer,common_tasks,pooled_task_edge_spearman,median_within_task_edge_spearman,q25_within_task_edge_spearman,q75_within_task_edge_spearman
reference_50x8_vs_external_8b,conditional_edge_mean,L2,39,0.9992746132669716,0.9907773386034254,0.9839262187088273,0.9951910408432146
reference_50x8_vs_external_8b,conditional_edge_mean,L3,39,0.9995207846196605,0.9944664031620553,0.9893939393939394,0.9967061923583661
reference_50x8_vs_external_8b,conditional_edge_mean,L4,39,0.9968006731704676,0.9901185770750988,0.9854413702239788,0.9936758893280631
reference_50x8_vs_external_8b,conditional_edge_mean,L5,39,0.9986708744919486,0.9968379446640315,0.9949934123847166,0.9978919631093545
reference_50x8_vs_external_8b,conditional_edge_mean,L12,39,0.9994532510136285,0.9980237154150196,0.9966403162055335,0.9988142292490118
reference_50x8_vs_external_8b,conditional_edge_mean,L13,39,0.9995600877879716,0.998155467720685,0.9971673254281949,0.9990777338603425
reference_50x8_vs_external_8b,conditional_edge_mean,L14,39,0.9996065032327086,0.998550724637681,0.9980237154150196,0.9987483530961792
reference_50x8_vs_external_8b,conditional_edge_mean,L15,39,0.9996589770162962,0.998550724637681,0.9965744400527008,0.9989459815546771
reference_50x8_vs_external_8b,partial_edge_mean,L2,39,0.9989022618511831,0.9978919631093545,0.9970355731225296,0.9984189723320157
reference_50x8_vs_external_8b,partial_edge_mean,L3,39,0.9986709488614435,0.9973649538866929,0.9964426877470356,0.9983530961791831
reference_50x8_vs_external_8b,partial_edge_mean,L4,39,0.9993442686209472,0.9986824769433464,0.9979578392621871,0.9991436100131752
reference_50x8_vs_external_8b,partial_edge_mean,L5,39,0.9988362938915412,0.9976284584980236,0.9971014492753623,0.9986824769433464
reference_50x8_vs_external_8b,partial_edge_mean,L12,39,0.9997651583399612,0.9988142292490118,0.998155467720685,0.9991436100131752
reference_50x8_vs_external_8b,partial_edge_mean,L13,39,0.9997208418909427,0.9989459815546771,0.9984848484848483,0.9992094861660078
reference_50x8_vs_external_8b,partial_edge_mean,L14,39,0.9997819025759982,0.9988142292490118,0.9984848484848483,0.9992094861660079
reference_50x8_vs_external_8b,partial_edge_mean,L15,39,0.9996419819209356,0.9980237154150196,0.9976284584980236,0.9987483530961792
reference_50x8_vs_legacy_main16x32,conditional_edge_mean,L2,5,0.9838664138221661,0.9895915678524374,0.983399209486166,0.9916996047430829
reference_50x8_vs_legacy_main16x32,conditional_edge_mean,L3,5,0.9955970805934502,0.9945981554677206,0.993544137022398,0.9960474308300393
reference_50x8_vs_legacy_main16x32,conditional_edge_mean,L4,5,0.9436514959966289,0.9848484848484849,0.983399209486166,0.9959156785243741
reference_50x8_vs_legacy_main16x32,conditional_edge_mean,L5,5,0.9975147492625371,0.9938076416337285,0.9916996047430829,0.9943346508563898
reference_50x8_vs_legacy_main16x32,conditional_edge_mean,L12,5,0.9997144964180364,0.997760210803689,0.9974967061923582,0.9989459815546771
reference_50x8_vs_legacy_main16x32,conditional_edge_mean,L13,5,0.993754740834387,0.9978919631093545,0.9971014492753623,0.9989459815546771
reference_50x8_vs_legacy_main16x32,conditional_edge_mean,L14,5,0.994649178255373,0.9976284584980236,0.9961791831357047,0.9984189723320157
reference_50x8_vs_legacy_main16x32,conditional_edge_mean,L15,5,0.9983975979772444,0.9988142292490118,0.9968379446640315,0.9989459815546771
reference_50x8_vs_legacy_main16x32,partial_edge_mean,L2,5,0.9992646439106617,0.9992094861660078,0.9974967061923582,0.9994729907773384
reference_50x8_vs_legacy_main16x32,partial_edge_mean,L3,5,0.9984155077960388,0.9984189723320157,0.9982872200263504,0.998550724637681
reference_50x8_vs_legacy_main16x32,partial_edge_mean,L4,5,0.9988790560471977,0.9988142292490118,0.9986824769433464,0.9988142292490118
reference_50x8_vs_legacy_main16x32,partial_edge_mean,L5,5,0.9978086809945217,0.9982872200263504,0.9967061923583661,0.9982872200263504
reference_50x8_vs_legacy_main16x32,partial_edge_mean,L12,5,0.9994426885798569,0.9992094861660078,0.9990777338603425,0.9992094861660078
reference_50x8_vs_legacy_main16x32,partial_edge_mean,L13,5,0.9986715128529289,0.9984189723320157,0.9982872200263504,0.998550724637681
reference_50x8_vs_legacy_main16x32,partial_edge_mean,L14,5,0.9991877370417195,0.9986824769433464,0.9982872200263504,0.9996047430830038
reference_50x8_vs_legacy_main16x32,partial_edge_mean,L15,5,0.9991761483354407,0.9984189723320157,0.9982872200263504,0.9992094861660078
external_8b_vs_legacy_main16x32,conditional_edge_mean,L2,5,0.9878086809945219,0.9959156785243741,0.9948616600790513,0.9967061923583661
external_8b_vs_legacy_main16x32,conditional_edge_mean,L3,5,0.99946797302992,0.9969696969696968,0.9963109354413702,0.9973649538866929
external_8b_vs_legacy_main16x32,conditional_edge_mean,L4,5,0.9662199747155501,0.994729907773386,0.9932806324110671,0.9959156785243741
external_8b_vs_legacy_main16x32,conditional_edge_mean,L5,5,0.99816793088917,0.9948616600790513,0.9943346508563898,0.9967061923583661
external_8b_vs_legacy_main16x32,conditional_edge_mean,L12,5,0.9997324062368311,0.998550724637681,0.9984189723320157,0.9986824769433464
external_8b_vs_legacy_main16x32,conditional_edge_mean,L13,5,0.9955330804888329,0.9988142292490118,0.998550724637681,0.9989459815546771
external_8b_vs_legacy_main16x32,conditional_edge_mean,L14,5,0.9977212389380532,0.9978919631093545,0.9973649538866929,0.9980237154150196
external_8b_vs_legacy_main16x32,conditional_edge_mean,L15,5,0.9986304256215763,0.9976284584980236,0.9963109354413702,0.9992094861660078
external_8b_vs_legacy_main16x32,partial_edge_mean,L2,5,0.9991708807416773,0.9972332015810277,0.9967061923583661,0.9990777338603425
external_8b_vs_legacy_main16x32,partial_edge_mean,L3,5,0.9984882005899707,0.9978919631093545,0.9976284584980236,0.9980237154150196
external_8b_vs_legacy_main16x32,partial_edge_mean,L4,5,0.9991508638853773,0.9988142292490118,0.9986824769433464,0.9989459815546771
external_8b_vs_legacy_main16x32,partial_edge_mean,L5,5,0.9975484618626211,0.9973649538866929,0.9963109354413702,0.998155467720685
external_8b_vs_legacy_main16x32,partial_edge_mean,L12,5,0.9994764011799411,0.9986824769433464,0.9982872200263504,0.9989459815546771
external_8b_vs_legacy_main16x32,partial_edge_mean,L13,5,0.999125579435314,0.9984189723320157,0.9980237154150196,0.9990777338603425
external_8b_vs_legacy_main16x32,partial_edge_mean,L14,5,0.9993099452170249,0.9982872200263504,0.9982872200263504,0.9989459815546771
external_8b_vs_legacy_main16x32,partial_edge_mean,L15,5,0.9994100294985252,0.9984189723320157,0.997760210803689,0.9986824769433464
