cohort_group,layer,metric,tasks,queries,task_median,task_q25,task_q75
external_8b,L12,action_consensus,39,248255,0.9977074861526489,0.9969344139099121,0.9983961284160614
external_8b,L12,conditional_effective_rank,39,248255,0.13308453559875488,0.12958592176437378,0.136177696287632
external_8b,L12,conditional_energy,39,248255,0.030690709128975868,0.027113938704133034,0.04307801276445389
external_8b,L12,conditional_query_d1,39,232655,0.007423120550811291,0.00585310417227447,0.010378631763160229
external_8b,L12,expert_load_effective_rank,39,248255,0.9960733652114868,0.9937824606895447,0.997111976146698
external_8b,L12,flow_endpoint,39,248255,0.03709173947572708,0.031090034171938896,0.04566622152924538
external_8b,L12,flow_path,39,248255,0.0628153458237648,0.05341917835175991,0.07606322690844536
external_8b,L12,flow_settling_log_ratio,39,248255,0.8157712817192078,0.7728351056575775,0.8844818472862244
external_8b,L12,partial_edge_std,39,248255,0.044972486793994904,0.041560182347893715,0.05181795544922352
external_8b,L12,partial_query_d1,39,232655,0.04481835290789604,0.03814423084259033,0.052312660962343216
external_8b,L12,state_action_alignment,39,248255,0.9845348596572876,0.9782199859619141,0.9863490760326385
external_8b,L13,action_consensus,39,248255,0.9974355101585388,0.996740460395813,0.9980804920196533
external_8b,L13,conditional_effective_rank,39,248255,0.13556501269340515,0.13243192434310913,0.14104310423135757
external_8b,L13,conditional_energy,39,248255,0.03167771175503731,0.0263346079736948,0.041510967537760735
external_8b,L13,conditional_query_d1,39,232655,0.008469107560813427,0.006153729045763612,0.010671132244169712
external_8b,L13,expert_load_effective_rank,39,248255,0.9953761100769043,0.9933198690414429,0.996380627155304
external_8b,L13,flow_endpoint,39,248255,0.03814592584967613,0.0324881337583065,0.04480861313641071
external_8b,L13,flow_path,39,248255,0.06238076835870743,0.053659163415431976,0.07467793673276901
external_8b,L13,flow_settling_log_ratio,39,248255,0.8725825548171997,0.8029489517211914,0.9163973927497864
external_8b,L13,partial_edge_std,39,248255,0.052884068340063095,0.04683697409927845,0.061609767377376556
external_8b,L13,partial_query_d1,39,232655,0.051427558064460754,0.04522478021681309,0.05749111995100975
external_8b,L13,state_action_alignment,39,248255,0.9840292930603027,0.979022204875946,0.9867433309555054
external_8b,L14,action_consensus,39,248255,0.9975730180740356,0.9967305064201355,0.9980930685997009
external_8b,L14,conditional_effective_rank,39,248255,0.14153583347797394,0.13724831491708755,0.14654051512479782
external_8b,L14,conditional_energy,39,248255,0.02639991044998169,0.02368979901075363,0.03666401840746403
external_8b,L14,conditional_query_d1,39,232655,0.006886265240609646,0.005757083417847753,0.009061681106686592
external_8b,L14,expert_load_effective_rank,39,248255,0.9957456588745117,0.9931968450546265,0.9966551661491394
external_8b,L14,flow_endpoint,39,248255,0.03620181232690811,0.03209884464740753,0.044012732803821564
external_8b,L14,flow_path,39,248255,0.05961078405380249,0.052193447947502136,0.0726139210164547
external_8b,L14,flow_settling_log_ratio,39,248255,0.8654892444610596,0.8130061328411102,0.9064697325229645
external_8b,L14,partial_edge_std,39,248255,0.06014680862426758,0.05295943282544613,0.06635548174381256
external_8b,L14,partial_query_d1,39,232655,0.057879552245140076,0.04903825931251049,0.06658109650015831
external_8b,L14,state_action_alignment,39,248255,0.9867113828659058,0.9814920723438263,0.9880837202072144
external_8b,L15,action_consensus,39,248255,0.9971423149108887,0.9966285228729248,0.9976938664913177
external_8b,L15,conditional_effective_rank,39,248255,0.14985816180706024,0.14514613896608353,0.15445803850889206
external_8b,L15,conditional_energy,39,248255,0.027352387085556984,0.021538295783102512,0.03315855748951435
external_8b,L15,conditional_query_d1,39,232655,0.006916598882526159,0.005728950025513768,0.008827884681522846
external_8b,L15,expert_load_effective_rank,39,248255,0.9932811856269836,0.9914886951446533,0.994177371263504
external_8b,L15,flow_endpoint,39,248255,0.041920240968465805,0.03777940198779106,0.04969012178480625
external_8b,L15,flow_path,39,248255,0.06579184532165527,0.0592823326587677,0.07793175801634789
external_8b,L15,flow_settling_log_ratio,39,248255,0.877916157245636,0.828711748123169,0.9039489030838013
external_8b,L15,partial_edge_std,39,248255,0.06931344419717789,0.06164330057799816,0.07631075382232666
external_8b,L15,partial_query_d1,39,232655,0.06681452691555023,0.059221938252449036,0.07262546196579933
external_8b,L15,state_action_alignment,39,248255,0.9862270355224609,0.9832773208618164,0.9891714453697205
external_8b,L2,action_consensus,39,248255,0.998328447341919,0.998015284538269,0.9986931383609772
external_8b,L2,conditional_effective_rank,39,248255,0.10565280169248581,0.10473162680864334,0.10691037401556969
external_8b,L2,conditional_energy,39,248255,0.17186793684959412,0.13479092717170715,0.22430914640426636
external_8b,L2,conditional_query_d1,39,232655,0.05208037048578262,0.03557813540101051,0.0740809515118599
external_8b,L2,expert_load_effective_rank,39,248255,0.9980823993682861,0.9968333542346954,0.9983515441417694
external_8b,L2,flow_endpoint,39,248255,0.038013797253370285,0.03412898629903793,0.04401107504963875
external_8b,L2,flow_path,39,248255,0.08187703788280487,0.07128641754388809,0.0908326804637909
external_8b,L2,flow_settling_log_ratio,39,248255,0.4421112835407257,0.3919674903154373,0.5071074664592743
external_8b,L2,partial_edge_std,39,248255,0.006473398767411709,0.005052417516708374,0.008208926767110825
external_8b,L2,partial_query_d1,39,232655,0.005744903814047575,0.004827949916943908,0.007304370170459151
external_8b,L2,state_action_alignment,39,248255,0.9100123643875122,0.8807160258293152,0.9301616847515106
external_8b,L3,action_consensus,39,248255,0.9982566833496094,0.9977682530879974,0.998507022857666
external_8b,L3,conditional_effective_rank,39,248255,0.10727416723966599,0.10590501874685287,0.10870315134525299
external_8b,L3,conditional_energy,39,248255,0.15929774940013885,0.12083512172102928,0.2067953124642372
external_8b,L3,conditional_query_d1,39,232655,0.05241014435887337,0.032833801582455635,0.06236473470926285
external_8b,L3,expert_load_effective_rank,39,248255,0.9974241852760315,0.9964720010757446,0.99827441573143
external_8b,L3,flow_endpoint,39,248255,0.03979465365409851,0.034451885148882866,0.045195236802101135
external_8b,L3,flow_path,39,248255,0.08474849909543991,0.0718192383646965,0.09313010424375534
external_8b,L3,flow_settling_log_ratio,39,248255,0.4368896484375,0.40629249811172485,0.536516547203064
external_8b,L3,partial_edge_std,39,248255,0.008101670071482658,0.006467918865382671,0.00970679335296154
external_8b,L3,partial_query_d1,39,232655,0.007432436570525169,0.005906397243961692,0.010234280955046415
external_8b,L3,state_action_alignment,39,248255,0.9168915152549744,0.8905996978282928,0.9376302659511566
external_8b,L4,action_consensus,39,248255,0.9978275299072266,0.9973667562007904,0.9984153509140015
external_8b,L4,conditional_effective_rank,39,248255,0.1080649197101593,0.1059882678091526,0.10981732606887817
external_8b,L4,conditional_energy,39,248255,0.16231827437877655,0.14076334983110428,0.20782767236232758
external_8b,L4,conditional_query_d1,39,232655,0.05602225661277771,0.04665415361523628,0.07999538257718086
external_8b,L4,expert_load_effective_rank,39,248255,0.9973157048225403,0.9956454634666443,0.99800044298172
external_8b,L4,flow_endpoint,39,248255,0.03736548125743866,0.0327000729739666,0.04507140628993511
external_8b,L4,flow_path,39,248255,0.08470124751329422,0.07215242460370064,0.09692084789276123
external_8b,L4,flow_settling_log_ratio,39,248255,0.49444183707237244,0.4450526535511017,0.5898889005184174
external_8b,L4,partial_edge_std,39,248255,0.009084910154342651,0.006778664421290159,0.011260001920163631
external_8b,L4,partial_query_d1,39,232655,0.008537095971405506,0.00603268900886178,0.012268600519746542
external_8b,L4,state_action_alignment,39,248255,0.9152268171310425,0.8900307416915894,0.9269432723522186
external_8b,L5,action_consensus,39,248255,0.9972870945930481,0.9966960549354553,0.9979435205459595
external_8b,L5,conditional_effective_rank,39,248255,0.11002618074417114,0.10831621661782265,0.11268912255764008
external_8b,L5,conditional_energy,39,248255,0.16464312374591827,0.13119185715913773,0.20111758261919022
external_8b,L5,conditional_query_d1,39,232655,0.06291615962982178,0.03796332888305187,0.08716634660959244
external_8b,L5,expert_load_effective_rank,39,248255,0.9969502687454224,0.9953277409076691,0.9977810680866241
