fold,suite,seed,method,calibration,alpha,scope,task,origin,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,22,1.0,0.2784810126582278,0.0434782608695652,0.8607594936708861,0.8333333333333334,24.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4666666666666666,13.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.4541666666666666,11.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,48,1,0.9411764705882352,0.0028653295128939,0.979591836734694,0.9691555705376708,0.8156862745098039,23.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,6,1,0.3333333333333333,0.0026178010471204,0.8571428571428571,0.6653577661431064,0.8796296296296297,18.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.6037037037037036,16.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,7,1.0,0.0886075949367088,0.125,0.9556962025316456,0.8666666666666667,25.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4888888888888889,14.0
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.5666666666666667,14.5
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_radius,task_init,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
