suite,method,recall,fpr,t_det
libero_goal,clock_q7,1.0,0.10692409710380835,0.6555555555555556
libero_goal,dyn_pca2_success_knn_k20,0.9572649572649573,0.12414322116148958,0.6358974358974359
libero_goal,dyn_radius,0.9102564102564102,0.1140978676086208,0.6776828110161444
libero_goal,dyn_radius_outward,0.9145299145299145,0.09350799559971706,0.6361823361823362
libero_goal,dyn_success_knn_k1,1.0,0.1506034972565969,0.5594017094017095
libero_goal,dyn_success_knn_k20,0.9957264957264957,0.14063441628682852,0.5658594491927825
libero_goal,dyn_success_knn_k20_persist3,0.982905982905983,0.11705317659479914,0.6179012345679012
libero_goal,dyn_success_knn_k5,1.0,0.15038060371271172,0.5625356125356126
libero_goal,dyn_vote_knn_k20,0.9017094017094017,0.07572919778920244,0.6670465337132004
libero_goal,eef_motion_low,0.9871794871794872,0.07380097886513107,0.5758309591642924
libero_goal,route_hellinger_aligned_k20,0.8675213675213675,0.15137249834778757,0.6070275403608737
libero_goal,route_ja_k20,1.0,0.6918726115735702,0.3179962013295346
libero_goal,route_success_knn_k20,0.94017094017094,0.24836213897636708,0.5657644824311491
libero_goal,route_wj_aligned_k20,0.8547008547008547,0.1846880620632052,0.6235042735042734
libero_goal,route_wj_site_k20,0.8547008547008547,0.18485485680489644,0.6136277302943969
libero_goal,success_only__cumsum,0.905982905982906,0.1511261066217702,0.6430674264007598
libero_goal,success_only__current,0.30769230769230765,0.04546644883480786,0.8648148148148148
libero_goal,v7_guard_constant,0.6866096866096866,0.10740122426265997,0.7359924026590692
libero_goal,v7_success_fusion_constant,0.5797720797720798,0.09959607862976222,0.7589743589743589
libero_goal,v7_turbulence_constant,1.0,0.021241675776163132,0.6566476733143399
libero_long,clock_q7,1.0,0.08701348795628659,0.7884615384615384
libero_long,dyn_pca2_success_knn_k20,0.6857375428803999,0.021427118267645068,0.7673400063509955
libero_long,dyn_radius,0.5891912320483749,0.0046845742746974665,0.8139147177608715
libero_long,dyn_radius_outward,0.5358160358160359,0.0024681706690517333,0.8373278634267645
libero_long,dyn_success_knn_k1,0.632565846851561,0.0535734707497879,0.7272817739850707
libero_long,dyn_success_knn_k20,0.7341415198558056,0.014812383822584334,0.7716727716727717
libero_long,dyn_success_knn_k20_persist3,0.7660619803476947,0.03278371594629783,0.7374366577663282
libero_long,dyn_success_knn_k5,0.6481481481481481,0.03508551830161633,0.7604092590356326
libero_long,dyn_vote_knn_k20,0.6004418861561719,0.008604120969804669,0.8011970731750951
libero_long,eef_motion_low,0.5814291528577242,0.016342237622574366,0.7950590821469943
libero_long,route_hellinger_aligned_k20,0.0728821443107157,0.038602682453059,0.9651517082835764
libero_long,route_ja_k20,0.48020233734519446,0.3420224539173333,0.7401682566517732
libero_long,route_success_knn_k20,0.2198383626955055,0.06284568192742267,0.8991801848944707
libero_long,route_wj_aligned_k20,0.006802721088435367,0.045028034638177665,0.9971219256933542
libero_long,route_wj_site_k20,0.006802721088435367,0.045811445619173906,0.9971219256933542
libero_long,success_only__cumsum,0.7875457875457875,0.06127387375771547,0.7538815986618185
libero_long,success_only__current,0.11855340426768994,0.08137316455263614,0.9426123835464496
libero_long,v7_guard_constant,0.631054131054131,0.008367377499530766,0.7947012795913895
libero_long,v7_success_fusion_constant,0.13399034827606252,0.03601030684270977,0.9362474115221368
libero_long,v7_turbulence_constant,0.39787196930054075,0.008565215412315967,0.8754796790511077
libero_object,clock_q7,1.0,0.0042116574428718,0.75
libero_object,dyn_pca2_success_knn_k20,0.8823529411764706,0.04655572919696801,0.7457309847015728
libero_object,dyn_radius,0.9411764705882352,0.03654571528952007,0.7477510234863175
libero_object,dyn_radius_outward,0.6817496229260934,0.008706890546947068,0.842692846369317
libero_object,dyn_success_knn_k1,0.9803921568627451,0.04240756045987184,0.6166909071320835
libero_object,dyn_success_knn_k20,0.9607843137254902,0.04182279660777203,0.6215928679163972
libero_object,dyn_success_knn_k20_persist3,0.9607843137254902,0.02891913386316237,0.6853722258134023
libero_object,dyn_success_knn_k5,0.9803921568627451,0.04408773283539771,0.6237341090282267
libero_object,dyn_vote_knn_k20,0.8446455505279035,0.015694407551707767,0.7685708898944194
libero_object,eef_motion_low,0.7417043740573153,0.007845625975984667,0.7183931264813618
libero_object,route_hellinger_aligned_k20,0.23868778280542982,0.041307711390943,0.8999138116785175
libero_object,route_ja_k20,0.6410256410256411,0.057382323557414294,0.6589097177332471
libero_object,route_success_knn_k20,0.3755656108597285,0.04837623674352673,0.8514867485455722
libero_object,route_wj_aligned_k20,0.1934389140271493,0.04663505266610813,0.9153603749191984
libero_object,route_wj_site_k20,0.1934389140271493,0.04831997263240973,0.9153603749191984
libero_object,success_only__cumsum,0.75,0.0408224895521782,0.8294817927170869
libero_object,success_only__current,0.1176470588235294,0.022793345867592203,0.9159663865546218
libero_object,v7_guard_constant,0.5214932126696833,0.01966665224843987,0.8856119370825253
libero_object,v7_success_fusion_constant,0.21417797888386123,0.025603659005365865,0.9022301228183581
libero_object,v7_turbulence_constant,0.5531674208144796,0.0174195710904707,0.8723066149536738
libero_spatial,clock_q7,1.0,0.0069388933941971,0.6818181818181818
libero_spatial,dyn_pca2_success_knn_k20,0.9848484848484849,0.0310005191285179,0.6496920503738686
libero_spatial,dyn_radius,0.9277056277056278,0.007235540842612467,0.7957585596221959
libero_spatial,dyn_radius_outward,0.8884199134199134,0.0014454262058897335,0.8275836284927194
libero_spatial,dyn_success_knn_k1,1.0,0.0706585937622329,0.5994490358126722
libero_spatial,dyn_success_knn_k20,1.0,0.042271525379224434,0.6050767414403778
libero_spatial,dyn_success_knn_k20_persist3,1.0,0.06036516054010697,0.6355598189689099
libero_spatial,dyn_success_knn_k5,1.0,0.0488691988850695,0.6041824085005901
libero_spatial,dyn_vote_knn_k20,0.941926406926407,0.0147733901638825,0.6750924832743014
libero_spatial,eef_motion_low,1.0,0.025593801636467833,0.6202489177489178
libero_spatial,route_hellinger_aligned_k20,0.6383766233766234,0.04928546786005997,0.7464856355765447
libero_spatial,route_ja_k20,0.7424242424242425,0.1831664422042365,0.6497560015741833
libero_spatial,route_success_knn_k20,1.0,0.0860046762862884,0.5460547028728847
libero_spatial,route_wj_aligned_k20,0.7985281385281385,0.075368995070774,0.6804693034238488
libero_spatial,route_wj_site_k20,0.8288311688311688,0.07622478109966109,0.6701987406532862
libero_spatial,success_only__cumsum,1.0,0.0882238027222156,0.6113547815820543
libero_spatial,success_only__current,0.07069264069264067,0.015797347506212898,0.9596625344352616
libero_spatial,v7_guard_constant,0.8503463203463203,0.010473499581789199,0.8220739866194412
libero_spatial,v7_success_fusion_constant,0.5456709956709956,0.016625575158091568,0.9056109799291617
libero_spatial,v7_turbulence_constant,0.8893073593073594,0.0017130922766856332,0.7506503345139709
