method,appearances,unique_trajectories,detected,strictly_before_release,median_detected_lag_queries
clock_q7,175,162,175,12,5.0
dyn_pca2_success_knn_k20,175,162,146,10,5.0
dyn_radius,175,162,125,4,8.0
dyn_radius_outward,175,162,116,2,8.0
dyn_success_knn_k1,175,162,161,20,3.0
dyn_success_knn_k20,175,162,156,12,4.0
dyn_success_knn_k20_persist3,175,162,160,10,5.0
dyn_success_knn_k5,175,162,161,14,4.0
dyn_vote_knn_k20,175,162,129,2,5.0
eef_motion_low,175,162,156,3,6.0
route_hellinger_aligned_k20,175,162,90,29,1.0
route_ja_k20,175,162,133,64,0.0
route_success_knn_k20,175,162,120,28,1.0
route_wj_aligned_k20,175,162,90,34,0.0
route_wj_site_k20,175,162,92,37,0.0
success_only__cumsum,175,162,158,12,7.0
success_only__current,175,162,12,4,3.5
v7_guard_constant,175,162,119,0,8.0
v7_success_fusion_constant,175,162,58,8,7.5
v7_turbulence_constant,175,162,145,4,7.0
