corpus,event,base,combined,delta,lo,hi,n_pos,sig
A2,disp1_m1,phase,routing,0.03182427722413639,0.009914691892974004,0.15550432203443665,1142,True
A2,disp1_m1,tier1,routing,0.0004883264958849276,-0.00021355104588671736,0.001277117516369053,1142,False
A2,disp1_m1,tier1,tier1+routing,0.0023131670724207964,0.001224923354102958,0.004566558060070225,1142,True
A2,disp1_m1,tier1+routing_perm,tier1+routing,0.0023134303212055674,0.0010886737801582003,0.009815876887119046,1142,True
A2,disp1_m1,phase,tier1,0.03133595072825146,0.0099158313254043,0.1551423000463643,1142,True
A2,disp1_m2,phase,routing,0.04031072343313491,-0.004291020034644544,0.18041851708824097,1359,False
A2,disp1_m2,tier1,routing,-0.007170648035811467,-0.014485767788269044,0.0013260828009939996,1359,False
A2,disp1_m2,tier1,tier1+routing,0.0009076034156567658,-0.0006664204680099095,0.007520756902877013,1359,False
A2,disp1_m2,tier1+routing_perm,tier1+routing,0.0015239835074165597,-3.1877513361311394e-05,0.010006758061401833,1359,False
A2,disp1_m2,tier2,tier2+routing,-0.00024218252474117463,-0.002530791641509378,0.00551988800926817,1359,False
A2,disp1_m2,phase,tier1,0.047481371468946376,0.007607201368645566,0.18517088240973156,1359,True
A2,disp1_m4,phase,routing,0.052523643422502486,0.007065210851916137,0.14623066674192164,1526,True
A2,disp1_m4,tier1,routing,-0.007076956222124786,-0.011664163810173989,0.005767267167112178,1526,False
A2,disp1_m4,tier1,tier1+routing,0.002270277551742139,-0.0012387530224480248,0.02277146947299291,1526,False
A2,disp1_m4,tier1+routing_perm,tier1+routing,0.002222011117514966,-0.00017692201730457047,0.01700591264608442,1526,False
A2,disp1_m4,phase,tier1,0.05960059964462727,0.011669351054302335,0.14046339957480947,1526,True
A2,disp2_m1,phase,routing,0.07691207869752181,0.03459213603463063,0.14011901337311594,1871,True
A2,disp2_m1,tier1,routing,0.001358241555085904,-0.00502385738287825,0.006013294696201932,1871,False
A2,disp2_m1,tier1,tier1+routing,0.004921267578931299,0.0006612108182159071,0.008833289585531534,1871,True
A2,disp2_m1,tier1+routing_perm,tier1+routing,0.006069013133755741,0.001832735911129868,0.010485565832908827,1871,True
A2,disp2_m1,phase,tier1,0.07555383714243591,0.03034081791486898,0.13409442128994709,1871,True
A2,disp2_m2,phase,routing,0.07659830355844743,0.027920300126537567,0.12725983313416223,2329,True
A2,disp2_m2,tier1,routing,0.0070740848093775455,0.0009614811655551669,0.023236021931739348,2329,True
A2,disp2_m2,tier1,tier1+routing,0.006206906496481923,-0.002201142485788621,0.015194223585158873,2329,False
A2,disp2_m2,tier1+routing_perm,tier1+routing,0.0070210354572081135,-0.003264682913835415,0.022663687784935438,2329,False
A2,disp2_m2,phase,tier1,0.06952421874906989,0.022221880627264046,0.10704702126809207,2329,True
A2,disp2_m4,phase,routing,0.10337373136627803,0.03854270535542992,0.17464159053829031,3235,True
A2,disp2_m4,tier1,routing,0.00686488269515495,-0.003550483358289336,0.013549417056265556,3235,False
A2,disp2_m4,tier1,tier1+routing,0.008909780284592217,0.0019516391007995404,0.013353616891792042,3235,True
A2,disp2_m4,tier1+routing_perm,tier1+routing,0.011902300221994122,0.004272072924054959,0.018042265800221613,3235,True
A2,disp2_m4,phase,tier1,0.09650884867112308,0.04236870805093651,0.1635291091147718,3235,True
A2,dispnc1_m4,phase,routing,0.08476339251695497,0.04365769128232477,0.10877664002664,122,True
A2,dispnc1_m4,tier1,routing,0.0010134877695648914,-0.02833971583971584,0.0551322277005829,122,False
A2,dispnc1_m4,tier1,tier1+routing,0.01769793492341687,0.0044053169053168695,0.04828654089075424,122,True
A2,dispnc1_m4,tier1+routing_perm,tier1+routing,0.01964489827021254,0.007561882561882283,0.04743083003952564,122,True
A2,dispnc1_m4,tier2,tier2+routing,-0.006938200106683001,-0.019355364492074534,-0.0044816294816294455,122,True
A2,dispnc1_m4,phase,tier1,0.08374990474739008,0.01168754998667032,0.13711635586635584,122,True
A2,dispnc2_m4,phase,routing,0.37677611048403165,0.17895870469399877,0.45031734470918744,40,True
A2,dispnc2_m4,tier1,routing,-0.02172830489343336,-0.0990882917466408,0.03379382055852642,40,False
A2,dispnc2_m4,tier1,tier1+routing,-0.038526658256423874,-0.21701055662188085,-0.002445114972427498,40,True
A2,dispnc2_m4,tier1+routing_perm,tier1+routing,-0.042859039904388774,-0.22300863723608444,0.00819373634377274,40,False
A2,dispnc2_m4,phase,tier1,0.398504415377465,0.14516488413547235,0.4747164707106441,40,True
A2,drop1_m1,phase,routing,0.02280643248851344,-0.02985074626865669,0.13793463506317216,203,False
A2,drop1_m1,tier1,routing,0.01597006076774865,-0.0010441683199331475,0.03980099502487566,203,False
A2,drop1_m1,tier1,tier1+routing,0.015204288325675552,-0.003786299847158614,0.01777653161362691,203,False
A2,drop1_m1,tier1+routing_perm,tier1+routing,0.012487031273158422,0.008036266227076205,0.029850746268656803,203,True
A2,drop1_m1,phase,tier1,0.006836371720764789,-0.06965174129353235,0.1389788033831053,203,False
A2,drop1_m2,phase,routing,0.023174822069255585,0.017646655231560837,0.19099378881987572,373,True
A2,drop1_m2,tier1,routing,0.005200603036217388,-0.015527950310559091,0.0075157090640274316,373,False
A2,drop1_m2,tier1,tier1+routing,0.005609639230077179,-0.006393054459352676,0.007682789192423489,373,False
A2,drop1_m2,tier1+routing_perm,tier1+routing,0.0060303621723327705,-0.009316770186335477,0.007913952761044896,373,False
A2,drop1_m2,phase,tier1,0.017974219033038197,0.010219669147072508,0.2065217391304348,373,True
A2,drop1_m4,phase,routing,0.06370575818565605,0.044160580254770765,0.25369458128078826,324,True
A2,drop1_m4,tier1,routing,-0.000809974964410265,-0.002161812690042453,0.014778325123152691,324,False
A2,drop1_m4,tier1,tier1+routing,0.00375533847135634,-0.0060975609756096505,0.005980286092078457,324,False
A2,drop1_m4,tier1+routing_perm,tier1+routing,0.0015954052329290036,-0.024630541871921152,0.0028649563745278828,324,False
A2,drop1_m4,phase,tier1,0.06451573315006631,0.04632239294481322,0.23891625615763556,324,True
A2,drop2_m1,phase,routing,0.32883924684370924,0.25809729455099706,0.36280740536059697,315,True
A2,drop2_m1,tier1,routing,-0.02192170947612826,-0.03232937275490455,0.03478323491286184,315,False
A2,drop2_m1,tier1,tier1+routing,-0.015200986794369431,-0.029443369868901725,0.020956358922655793,315,False
A2,drop2_m1,tier1+routing_perm,tier1+routing,-0.013377956755187936,-0.023517853305087266,0.029670171395650313,315,False
A2,drop2_m1,phase,tier1,0.3507609563198375,0.2835005715737329,0.3951367781155015,315,True
A2,drop2_m2,phase,routing,0.34448435449333425,0.3077183910481922,0.37588798252938516,548,True
A2,drop2_m2,tier1,routing,-0.008002348552876959,-0.0262765752456805,0.028474734508110555,548,False
A2,drop2_m2,tier1,tier1+routing,-0.005671064447054008,-0.018780910784250704,0.01450966662776676,548,False
A2,drop2_m2,tier1+routing_perm,tier1+routing,0.0005456931684740818,-0.01704669535615644,0.02330104640759345,548,False
A2,drop2_m2,tier2,tier2+routing,0.0019479173861988164,-0.011844049071873641,0.020484708597807266,548,False
A2,drop2_m2,phase,tier1,0.3524867030462112,0.27959310693585404,0.40216455777506566,548,True
A2,drop2_m4,phase,routing,0.30152336258499457,0.25420952515147244,0.3308331426610229,800,True
A2,drop2_m4,tier1,routing,-0.01564043703144069,-0.029330168172977955,0.014442722277018483,800,False
A2,drop2_m4,tier1,tier1+routing,-0.0027532399604812685,-0.01145463905731614,0.02074820346625328,800,False
A2,drop2_m4,tier1+routing_perm,tier1+routing,-0.0006429069564711787,-0.012112458528772407,0.024693532478512026,800,False
A2,drop2_m4,phase,tier1,0.31716379961643526,0.23976680287445395,0.3601633108340009,800,True
A2,dropfail1_m1,phase,routing,-0.030817610062893186,-0.1351351351351352,0.25896531452087,37,False
A2,dropfail1_m1,tier1,routing,-0.0924266247379455,-0.2432432432432433,-0.09182908545727142,37,True
A2,dropfail1_m1,tier1,tier1+routing,-0.03204926624737936,-0.035145888594164454,0.0,37,False
A2,dropfail1_m1,tier1+routing_perm,tier1+routing,0.01037735849056598,-0.09582598471487358,0.18918918918918926,37,False
A2,dropfail1_m1,phase,tier1,0.06160901467505231,0.03281051781801392,0.35420340975896525,37,True
A2,dropfail1_m2,phase,routing,0.01927410588827916,0.0021485287248949048,0.2405063291139241,99,True
A2,dropfail1_m2,tier1,routing,0.06741960285267379,0.04361370716510904,0.08860759493670889,99,True
A2,dropfail1_m2,tier1,tier1+routing,0.07341127813568771,0.04246966452533907,0.08860759493670889,99,True
A2,dropfail1_m2,tier1+routing_perm,tier1+routing,0.0943556297887006,0.03797468354430378,0.09528257823446973,99,True
A2,dropfail1_m2,phase,tier1,-0.04814549696439463,-0.0693756811458821,0.15189873417721522,99,False
A2,dropfail1_m4,phase,routing,-0.21702939391311876,-0.4074497838799898,0.19270833333333331,48,False
A2,dropfail1_m4,tier1,routing,-0.19344489725136577,-0.2697686244597,0.368421052631579,48,False
A2,dropfail1_m4,tier1,tier1+routing,-0.17488944767189818,-0.2529875413170607,-0.007127192982456343,48,True
A2,dropfail1_m4,tier1+routing_perm,tier1+routing,-0.10283534206190936,-0.15687770150012714,0.05263157894736837,48,False
A2,dropfail1_m4,phase,tier1,-0.023584496661752996,-0.42105263157894735,0.22450657894736853,48,False
