corpus,event,horizon,feature_block,metric,value,n_pos,n_neg
B2sup,jext,1,phase,grouped_auc,0.8038745514407067,448,21923
B2sup,jext,1,tier1,grouped_auc,0.8807463025786556,448,21923
B2sup,jext,1,routing,grouped_auc,0.8970122458511524,448,21923
B2sup,jext,1,routing_shufchunk,grouped_auc,0.5492847030073542,448,21923
B2sup,jext,1,tier1+routing,grouped_auc,0.8911343207024318,448,21923
B2sup,jext,1,tier1+routing_perm,grouped_auc,0.8706084976573788,448,21923
B2sup,jext,1,tier2,grouped_auc,0.9200089242708892,448,21923
B2sup,jext,4,phase,grouped_auc,0.7887045713881792,414,20421
B2sup,jext,4,tier1,grouped_auc,0.9010264669945167,414,20421
B2sup,jext,4,routing,grouped_auc,0.8680285572912985,414,20421
B2sup,jext,4,routing_shufchunk,grouped_auc,0.5379207100950226,414,20421
B2sup,jext,4,tier1+routing,grouped_auc,0.897956659160448,414,20421
B2sup,jext,4,tier1+routing_perm,grouped_auc,0.9004534025386502,414,20421
B2sup,jext,4,tier2,grouped_auc,0.9039334437387028,414,20421
B2sup,jlim,1,phase,grouped_auc,0.642697520661157,59,22312
B2sup,jlim,1,tier1,grouped_auc,0.8581289256198347,59,22312
B2sup,jlim,1,routing,grouped_auc,0.8092297520661157,59,22312
B2sup,jlim,1,routing_shufchunk,grouped_auc,0.5762247933884298,59,22312
B2sup,jlim,1,tier1+routing,grouped_auc,0.7942611570247934,59,22312
B2sup,jlim,1,tier1+routing_perm,grouped_auc,0.822995041322314,59,22312
B2sup,jlim,1,tier2,grouped_auc,0.8561388429752066,59,22312
B2sup,tilt2,2,phase,grouped_auc,0.7253082296103508,140,21719
B2sup,tilt2,2,tier1,grouped_auc,0.9258966315193168,140,21719
B2sup,tilt2,2,routing,grouped_auc,0.9152188203102871,140,21719
B2sup,tilt2,2,routing_shufchunk,grouped_auc,0.5441675529214342,140,21719
B2sup,tilt2,2,tier1+routing,grouped_auc,0.9230748675962098,140,21719
B2sup,tilt2,2,tier1+routing_perm,grouped_auc,0.9190025492071805,140,21719
B2sup,tilt2,2,tier2,grouped_auc,0.9326384027106035,140,21719
B2sup,twist,4,phase,grouped_auc,0.8751677917631266,74,20761
B2sup,twist,4,tier1,grouped_auc,0.9186331537069821,74,20761
B2sup,twist,4,routing,grouped_auc,0.9055697138299321,74,20761
B2sup,twist,4,routing_shufchunk,grouped_auc,0.5284905550259712,74,20761
B2sup,twist,4,tier1+routing,grouped_auc,0.9283602124389627,74,20761
B2sup,twist,4,tier1+routing_perm,grouped_auc,0.9085851020368461,74,20761
B2sup,twist,4,tier2,grouped_auc,0.9011876738711748,74,20761
B2sup,drop1,1,phase,grouped_auc,0.9445280405082641,322,1539
B2sup,drop1,1,tier1,grouped_auc,0.983304671825738,322,1539
B2sup,drop1,1,routing,grouped_auc,0.9792442915830706,322,1539
B2sup,drop1,1,routing_shufchunk,grouped_auc,0.4910432788764689,322,1539
B2sup,drop1,1,tier1+routing,grouped_auc,0.9824687111875418,322,1539
B2sup,drop1,1,tier1+routing_perm,grouped_auc,0.9763303716442151,322,1539
B2sup,drop1,1,tier2,grouped_auc,0.9833763255947263,322,1539
B2sup,drop1,4,phase,grouped_auc,0.9242498236475121,373,575
B2sup,drop1,4,tier1,grouped_auc,0.988442129252808,373,575
B2sup,drop1,4,routing,grouped_auc,0.9799772098323295,373,575
B2sup,drop1,4,routing_shufchunk,grouped_auc,0.48760106354115795,373,575
B2sup,drop1,4,tier1+routing,grouped_auc,0.9873026208692821,373,575
B2sup,drop1,4,tier1+routing_perm,grouped_auc,0.9869770470454176,373,575
B2sup,drop1,4,tier2,grouped_auc,0.9807911443919909,373,575
B2sup,dropfail1,1,phase,grouped_auc,0.8618948292897135,60,1801
B2sup,dropfail1,1,tier1,grouped_auc,0.9388516851465584,60,1801
B2sup,dropfail1,1,routing,grouped_auc,0.9029531232846635,60,1801
B2sup,dropfail1,1,routing_shufchunk,grouped_auc,0.4999451092326271,60,1801
B2sup,dropfail1,1,tier1+routing,grouped_auc,0.9194203534965418,60,1801
B2sup,dropfail1,1,tier1+routing_perm,grouped_auc,0.8910967175321111,60,1801
B2sup,dropfail1,1,tier2,grouped_auc,0.9138214952245033,60,1801
B2sup,dropfail2,1,phase,grouped_auc,0.6984770658736595,65,2608
B2sup,dropfail2,1,tier1,grouped_auc,0.9844102009552131,65,2608
B2sup,dropfail2,1,routing,grouped_auc,0.9755789853113455,65,2608
B2sup,dropfail2,1,routing_shufchunk,grouped_auc,0.5212219518788862,65,2608
B2sup,dropfail2,1,tier1+routing,grouped_auc,0.9864828331981617,65,2608
B2sup,dropfail2,1,tier1+routing_perm,grouped_auc,0.9833288276110661,65,2608
B2sup,dropfail2,1,tier2,grouped_auc,0.981796882040191,65,2608
B2sup,dropfail2,2,phase,grouped_auc,0.7127311862244898,73,2593
B2sup,dropfail2,2,tier1,grouped_auc,0.9773596938775511,73,2593
B2sup,dropfail2,2,routing,grouped_auc,0.9723373724489796,73,2593
B2sup,dropfail2,2,routing_shufchunk,grouped_auc,0.5504623724489796,73,2593
B2sup,dropfail2,2,tier1+routing,grouped_auc,0.9775988520408163,73,2593
B2sup,dropfail2,2,tier1+routing_perm,grouped_auc,0.9772002551020408,73,2593
B2sup,dropfail2,2,tier2,grouped_auc,0.9732940051020408,73,2593
B2sup,disp1,4,phase,grouped_auc,0.9513974765736565,3421,17414
B2sup,disp1,4,tier1,grouped_auc,0.9840217663984405,3421,17414
B2sup,disp1,4,routing,grouped_auc,0.981528598822674,3421,17414
B2sup,disp1,4,routing_shufchunk,grouped_auc,0.5162268865470458,3421,17414
B2sup,disp1,4,tier1+routing,grouped_auc,0.9853864534207205,3421,17414
B2sup,disp1,4,tier1+routing_perm,grouped_auc,0.9830792915244195,3421,17414
B2sup,disp1,4,tier2,grouped_auc,0.986191463874378,3421,17414
B2sup,disp2,4,phase,grouped_auc,0.9751964241427267,5244,15591
B2sup,disp2,4,tier1,grouped_auc,0.993521397693846,5244,15591
B2sup,disp2,4,routing,grouped_auc,0.9864659429457617,5244,15591
B2sup,disp2,4,routing_shufchunk,grouped_auc,0.5030719354615918,5244,15591
B2sup,disp2,4,tier1+routing,grouped_auc,0.9935507308367264,5244,15591
