corpus,event,horizon,feature_block,metric,value,n_pos,n_neg
B2,whichpot,2,phase,grouped_auc,0.9994831898988548,4165,2899
B2,whichpot,2,tier1,grouped_auc,0.9999658957801275,4165,2899
B2,whichpot,2,routing,grouped_auc,0.9999344149617836,4165,2899
B2,whichpot,2,routing_shufchunk,grouped_auc,0.5155010237824466,4165,2899
B2,whichpot,2,tier1+routing,grouped_auc,0.9999527787724842,4165,2899
B2,whichpot,2,tier1+routing_perm,grouped_auc,0.9999632723785988,4165,2899
B2,whichpot,2,tier2,grouped_auc,0.9999868829923567,4165,2899
B2,whichpot,2,tier2+routing,grouped_auc,0.9999868829923567,4165,2899
B2,dispnc1,4,phase,grouped_auc,0.9768617250978282,423,11224
B2,dispnc1,4,tier1,grouped_auc,0.9853971923810283,423,11224
B2,dispnc1,4,routing,grouped_auc,0.9834505942771344,423,11224
B2,dispnc1,4,routing_shufchunk,grouped_auc,0.49477806788511747,423,11224
B2,dispnc1,4,tier1+routing,grouped_auc,0.9844836864449007,423,11224
B2,dispnc1,4,tier1+routing_perm,grouped_auc,0.9846863186707326,423,11224
B2,dispnc1,4,tier2,grouped_auc,0.9878154917319408,423,11224
B2,dispnc1,4,tier2+routing,grouped_auc,0.9876959055003023,423,11224
B2,disp1,2,phase,grouped_auc,0.958134597832807,2903,18956
B2,disp1,2,tier1,grouped_auc,0.990080123857242,2903,18956
B2,disp1,2,routing,grouped_auc,0.9891609480536036,2903,18956
B2,disp1,2,routing_shufchunk,grouped_auc,0.541522486009422,2903,18956
B2,disp1,2,tier1+routing,grouped_auc,0.9906304564488764,2903,18956
B2,disp1,2,tier1+routing_perm,grouped_auc,0.9892967564329188,2903,18956
B2,disp1,2,tier2,grouped_auc,0.9915656823337065,2903,18956
B2,disp1,2,tier2+routing,grouped_auc,0.9922292914599061,2903,18956
B2,disp2,2,phase,grouped_auc,0.9830012716699043,4169,17690
B2,disp2,2,tier1,grouped_auc,0.9974694030296152,4169,17690
B2,disp2,2,routing,grouped_auc,0.9965751171796549,4169,17690
B2,disp2,2,routing_shufchunk,grouped_auc,0.5011943415699264,4169,17690
B2,disp2,2,tier1+routing,grouped_auc,0.9977999544307393,4169,17690
B2,disp2,2,tier1+routing_perm,grouped_auc,0.9974468580081877,4169,17690
B2,disp2,2,tier2,grouped_auc,0.997851034696679,4169,17690
B2,tilt1,4,phase,grouped_auc,0.8634537774710913,734,20101
B2,tilt1,4,tier1,grouped_auc,0.9446950212240972,734,20101
B2,tilt1,4,routing,grouped_auc,0.9380601384271167,734,20101
B2,tilt1,4,routing_shufchunk,grouped_auc,0.5183112728185183,734,20101
B2,tilt1,4,tier1+routing,grouped_auc,0.9471080860673734,734,20101
B2,tilt1,4,tier1+routing_perm,grouped_auc,0.9422788198147335,734,20101
B2,tilt1,4,tier2,grouped_auc,0.9471718629111515,734,20101
B2,tilt1,4,tier2+routing,grouped_auc,0.9466302825000523,734,20101
B2,tilt2,4,phase,grouped_auc,0.7073876850987811,280,20555
B2,tilt2,4,tier1,grouped_auc,0.8995879242397002,280,20555
B2,tilt2,4,routing,grouped_auc,0.8981054217641066,280,20555
B2,tilt2,4,routing_shufchunk,grouped_auc,0.5694036601687684,280,20555
B2,tilt2,4,tier1+routing,grouped_auc,0.9055107998664463,280,20555
B2,tilt2,4,tier1+routing_perm,grouped_auc,0.8869616832324547,280,20555
B2,tilt2,4,tier2,grouped_auc,0.9356345652800488,280,20555
B2,grip,2,phase,grouped_auc,0.8576079242887517,2464,19395
B2,grip,2,tier1,grouped_auc,0.9830755407649298,2464,19395
B2,grip,2,routing,grouped_auc,0.9741225650678191,2464,19395
B2,grip,2,routing_shufchunk,grouped_auc,0.5257046992423885,2464,19395
B2,grip,2,tier1+routing,grouped_auc,0.9834357388582882,2464,19395
B2,grip,2,tier1+routing_perm,grouped_auc,0.9817828818065139,2464,19395
B2,grip,2,tier2,grouped_auc,0.9808966801482513,2464,19395
B2,drop1,2,phase,grouped_auc,0.9532782710745997,511,1045
B2,drop1,2,tier1,grouped_auc,0.9911428002037156,511,1045
B2,drop1,2,routing,grouped_auc,0.9886406412612653,511,1045
B2,drop1,2,routing_shufchunk,grouped_auc,0.5067425433449215,511,1045
B2,drop1,2,tier1+routing,grouped_auc,0.9912756582006599,511,1045
B2,drop1,2,tier1+routing_perm,grouped_auc,0.9902792232235779,511,1045
B2,drop1,2,tier2,grouped_auc,0.9873342042913134,511,1045
B2,drop2,2,phase,grouped_auc,0.7673370539981973,1162,1504
B2,drop2,2,tier1,grouped_auc,0.9935905022897566,1162,1504
B2,drop2,2,routing,grouped_auc,0.9944372115043201,1162,1504
B2,drop2,2,routing_shufchunk,grouped_auc,0.4998179119968681,1162,1504
B2,drop2,2,tier1+routing,grouped_auc,0.9949834755137158,1162,1504
B2,drop2,2,tier1+routing_perm,grouped_auc,0.9927984194761328,1162,1504
B2,drop2,2,tier2,grouped_auc,0.9948924315121498,1162,1504
B2,drop2,2,tier2+routing,grouped_auc,0.9951200415160647,1162,1504
B2,jext,2,phase,grouped_auc,0.8180799815808583,438,21421
B2,jext,2,tier1,grouped_auc,0.900878672759152,438,21421
B2,jext,2,routing,grouped_auc,0.8945349166710943,438,21421
B2,jext,2,routing_shufchunk,grouped_auc,0.5321759382250323,438,21421
B2,jext,2,tier1+routing,grouped_auc,0.9076917627472858,438,21421
B2,jext,2,tier1+routing_perm,grouped_auc,0.8930604997963268,438,21421
B2,jext,2,tier2,grouped_auc,0.9316233639728672,438,21421
B2,jlim,4,phase,grouped_auc,0.6452008343193101,149,20686
B2,jlim,4,tier1,grouped_auc,0.8103905687764537,149,20686
B2,jlim,4,routing,grouped_auc,0.8103509264115731,149,20686
