corpus        event               base      combined     delta        lo        hi  n_pos   sig
    B2     disp1_m1              phase       routing  0.024941  0.012017  0.043155   2537  True
    B2     disp1_m1              tier1       routing -0.000974 -0.002368  0.000063   2537 False
    B2     disp1_m1              tier1 tier1+routing -0.000140 -0.001309  0.000949   2537 False
    B2     disp1_m1 tier1+routing_perm tier1+routing  0.000282 -0.000860  0.001289   2537 False
    B2     disp1_m1              phase         tier1  0.025916  0.012375  0.044729   2537  True
    B2     disp1_m2              phase       routing  0.031026  0.013744  0.052709   2903  True
    B2     disp1_m2              tier1       routing -0.000919 -0.002720  0.001117   2903 False
    B2     disp1_m2              tier1 tier1+routing  0.000550 -0.000374  0.001770   2903 False
    B2     disp1_m2 tier1+routing_perm tier1+routing  0.001334  0.000291  0.002711   2903  True
    B2     disp1_m2              tier2 tier2+routing  0.000664 -0.000282  0.001577   2903 False
    B2     disp1_m2              phase         tier1  0.031946  0.014933  0.053791   2903  True
    B2     disp1_m4              phase       routing  0.030131  0.010817  0.054193   3421  True
    B2     disp1_m4              tier1       routing -0.002493 -0.004887 -0.000222   3421  True
    B2     disp1_m4              tier1 tier1+routing  0.001365  0.000273  0.002680   3421  True
    B2     disp1_m4 tier1+routing_perm tier1+routing  0.002307  0.000970  0.003972   3421  True
    B2     disp1_m4              phase         tier1  0.032624  0.013540  0.056624   3421  True
    B2     disp2_m1              phase       routing  0.012096  0.006828  0.018194   3566  True
    B2     disp2_m1              tier1       routing -0.000138 -0.000445  0.000157   3566 False
    B2     disp2_m1              tier1 tier1+routing  0.000208 -0.000021  0.000425   3566 False
    B2     disp2_m1 tier1+routing_perm tier1+routing  0.000397  0.000096  0.000773   3566  True
    B2     disp2_m1              phase         tier1  0.012234  0.006999  0.018229   3566  True
    B2     disp2_m2              phase       routing  0.013574  0.007698  0.020519   4169  True
    B2     disp2_m2              tier1       routing -0.000894 -0.001598 -0.000230   4169  True
    B2     disp2_m2              tier1 tier1+routing  0.000331 -0.000017  0.000737   4169 False
    B2     disp2_m2 tier1+routing_perm tier1+routing  0.000353  0.000129  0.000585   4169  True
    B2     disp2_m2              phase         tier1  0.014468  0.008702  0.021148   4169  True
    B2     disp2_m4              phase       routing  0.011270  0.000089  0.024152   5244  True
