corpus,event,horizon,feature_block,metric,value,n_pos,n_neg
A2,whichpot,1,phase,grouped_auc,0.9928892743897142,1852,1123
A2,whichpot,1,tier1,grouped_auc,0.999190991225784,1852,1123
A2,whichpot,1,routing,grouped_auc,0.9978722797758666,1852,1123
A2,whichpot,1,routing_shufchunk,grouped_auc,0.5143314003996178,1852,1123
A2,whichpot,1,tier1+routing,grouped_auc,0.9988665732777343,1852,1123
A2,whichpot,1,tier1+routing_perm,grouped_auc,0.9992425723221267,1852,1123
A2,whichpot,1,tier2,grouped_auc,0.9994746872556685,1852,1123
A2,whichpot,2,phase,grouped_auc,0.9875673988678295,2295,1325
A2,whichpot,2,tier1,grouped_auc,0.9989001428008024,2295,1325
A2,whichpot,2,routing,grouped_auc,0.9982257778027542,2295,1325
A2,whichpot,2,routing_shufchunk,grouped_auc,0.5164622330513109,2295,1325
A2,whichpot,2,tier1+routing,grouped_auc,0.999097836111242,2295,1325
A2,whichpot,2,tier1+routing_perm,grouped_auc,0.9989613574806847,2295,1325
A2,whichpot,2,tier2,grouped_auc,0.9997812327833712,2295,1325
A2,whichpot,2,tier2+routing,grouped_auc,0.9997521307224436,2295,1325
A2,whichpot,4,phase,grouped_auc,0.9771435805977247,3192,1483
A2,whichpot,4,tier1,grouped_auc,0.9979805022051159,3192,1483
A2,whichpot,4,routing,grouped_auc,0.9980580432349568,3192,1483
A2,whichpot,4,routing_shufchunk,grouped_auc,0.5338933213842377,3192,1483
A2,whichpot,4,tier1+routing,grouped_auc,0.9991703796010822,3192,1483
A2,whichpot,4,tier1+routing_perm,grouped_auc,0.9981712668626007,3192,1483
A2,whichpot,4,tier2,grouped_auc,0.9998140387691425,3192,1483
A2,dispnc1,4,phase,grouped_auc,0.8661319820163073,122,8991
A2,dispnc1,4,tier1,grouped_auc,0.9498818867636973,122,8991
A2,dispnc1,4,routing,grouped_auc,0.9508953745332622,122,8991
A2,dispnc1,4,routing_shufchunk,grouped_auc,0.5608930884706241,122,8991
A2,dispnc1,4,tier1+routing,grouped_auc,0.9675798216871142,122,8991
A2,dispnc1,4,tier1+routing_perm,grouped_auc,0.9479349234169017,122,8991
A2,dispnc1,4,tier2,grouped_auc,0.9729901699306561,122,8991
A2,dispnc1,4,tier2+routing,grouped_auc,0.9660519698239731,122,8991
A2,dispnc2,4,phase,grouped_auc,0.49562612044352966,40,6811
A2,dispnc2,4,tier1,grouped_auc,0.8941305358209947,40,6811
A2,dispnc2,4,routing,grouped_auc,0.8724022309275613,40,6811
A2,dispnc2,4,routing_shufchunk,grouped_auc,0.6203439346656928,40,6811
A2,dispnc2,4,tier1+routing,grouped_auc,0.8556038775645708,40,6811
A2,dispnc2,4,tier1+routing_perm,grouped_auc,0.8984629174689596,40,6811
A2,dispnc2,4,tier2,grouped_auc,0.9382428125622468,40,6811
A2,disp1,1,phase,grouped_auc,0.9597020076405327,1142,15016
A2,disp1,1,tier1,grouped_auc,0.9910379583687842,1142,15016
A2,disp1,1,routing,grouped_auc,0.9915262848646691,1142,15016
A2,disp1,1,routing_shufchunk,grouped_auc,0.5845947337607089,1142,15016
A2,disp1,1,tier1+routing,grouped_auc,0.993351125441205,1142,15016
A2,disp1,1,tier1+routing_perm,grouped_auc,0.9910376951199994,1142,15016
A2,disp1,1,tier2,grouped_auc,0.9935943673184005,1142,15016
A2,disp1,2,phase,grouped_auc,0.938186164451696,1359,14447
A2,disp1,2,tier1,grouped_auc,0.9856675359206423,1359,14447
A2,disp1,2,routing,grouped_auc,0.9784968878848308,1359,14447
A2,disp1,2,routing_shufchunk,grouped_auc,0.5771888233462095,1359,14447
A2,disp1,2,tier1+routing,grouped_auc,0.986575139336299,1359,14447
A2,disp1,2,tier1+routing_perm,grouped_auc,0.9850511558288825,1359,14447
A2,disp1,2,tier2,grouped_auc,0.9868835618030279,1359,14447
A2,disp1,2,tier2+routing,grouped_auc,0.9866413792782868,1359,14447
A2,disp1,4,phase,grouped_auc,0.9163028218531987,1526,13576
A2,disp1,4,tier1,grouped_auc,0.9759034214978259,1526,13576
A2,disp1,4,routing,grouped_auc,0.9688264652757012,1526,13576
A2,disp1,4,routing_shufchunk,grouped_auc,0.5716919995971946,1526,13576
A2,disp1,4,tier1+routing,grouped_auc,0.9781736990495681,1526,13576
A2,disp1,4,tier1+routing_perm,grouped_auc,0.9759516879320531,1526,13576
A2,disp1,4,tier2,grouped_auc,0.9806692930919982,1526,13576
A2,disp2,1,phase,grouped_auc,0.901676909547715,1871,14287
A2,disp2,1,tier1,grouped_auc,0.9772307466901509,1871,14287
A2,disp2,1,routing,grouped_auc,0.9785889882452368,1871,14287
A2,disp2,1,routing_shufchunk,grouped_auc,0.5309432264462207,1871,14287
A2,disp2,1,tier1+routing,grouped_auc,0.9821520142690822,1871,14287
A2,disp2,1,tier1+routing_perm,grouped_auc,0.9760830011353264,1871,14287
A2,disp2,1,tier2,grouped_auc,0.9905943344349133,1871,14287
A2,disp2,2,phase,grouped_auc,0.8753311781096942,2329,13477
A2,disp2,2,tier1,grouped_auc,0.944855396858764,2329,13477
