corpus        event               base      combined     delta        lo            hi  n_pos   sig
    A2     disp1_m1              phase       routing  0.031824  0.009915  1.555043e-01   1142  True
    A2     disp1_m1              tier1       routing  0.000488 -0.000214  1.277118e-03   1142 False
    A2     disp1_m1              tier1 tier1+routing  0.002313  0.001225  4.566558e-03   1142  True
    A2     disp1_m1 tier1+routing_perm tier1+routing  0.002313  0.001089  9.815877e-03   1142  True
    A2     disp1_m1              phase         tier1  0.031336  0.009916  1.551423e-01   1142  True
    A2     disp1_m2              phase       routing  0.040311 -0.004291  1.804185e-01   1359 False
    A2     disp1_m2              tier1       routing -0.007171 -0.014486  1.326083e-03   1359 False
    A2     disp1_m2              tier1 tier1+routing  0.000908 -0.000666  7.520757e-03   1359 False
    A2     disp1_m2 tier1+routing_perm tier1+routing  0.001524 -0.000032  1.000676e-02   1359 False
    A2     disp1_m2              tier2 tier2+routing -0.000242 -0.002531  5.519888e-03   1359 False
    A2     disp1_m2              phase         tier1  0.047481  0.007607  1.851709e-01   1359  True
    A2     disp1_m4              phase       routing  0.052524  0.007065  1.462307e-01   1526  True
    A2     disp1_m4              tier1       routing -0.007077 -0.011664  5.767267e-03   1526 False
    A2     disp1_m4              tier1 tier1+routing  0.002270 -0.001239  2.277147e-02   1526 False
    A2     disp1_m4 tier1+routing_perm tier1+routing  0.002222 -0.000177  1.700591e-02   1526 False
    A2     disp1_m4              phase         tier1  0.059601  0.011669  1.404634e-01   1526  True
    A2     disp2_m1              phase       routing  0.076912  0.034592  1.401190e-01   1871  True
    A2     disp2_m1              tier1       routing  0.001358 -0.005024  6.013295e-03   1871 False
    A2     disp2_m1              tier1 tier1+routing  0.004921  0.000661  8.833290e-03   1871  True
    A2     disp2_m1 tier1+routing_perm tier1+routing  0.006069  0.001833  1.048557e-02   1871  True
    A2     disp2_m1              phase         tier1  0.075554  0.030341  1.340944e-01   1871  True
    A2     disp2_m2              phase       routing  0.076598  0.027920  1.272598e-01   2329  True
    A2     disp2_m2              tier1       routing  0.007074  0.000961  2.323602e-02   2329  True
    A2     disp2_m2              tier1 tier1+routing  0.006207 -0.002201  1.519422e-02   2329 False
    A2     disp2_m2 tier1+routing_perm tier1+routing  0.007021 -0.003265  2.266369e-02   2329 False
