corpus,event,stratum,n,n_pos,base_rate,auc_tier1,auc_routing
A2,disp1_m1,sel_on_tier1_x0.5-2.0,452,31,0.07067706399306845,0.6890478811227297,0.755916345624656
A2,disp1_m1,sel_on_routing_x0.5-2.0,554,31,0.07067706399306845,0.6816524908869988,0.5850546780072904
A2,disp1_m2,sel_on_tier1_x0.5-2.0,824,66,0.08598000759205365,0.603739030904235,0.794505913773369
A2,disp1_m2,sel_on_routing_x0.5-2.0,928,53,0.08598000759205365,0.8448699067255768,0.5848797250859107
A2,disp1_m4,sel_on_tier1_x0.75-1.33,383,37,0.10104621904383525,0.570853259501636,0.6654920714825069
A2,disp1_m4,sel_on_tier1_x0.5-2.0,863,74,0.10104621904383525,0.5858150241855586,0.6294655865726441
A2,disp1_m4,sel_on_routing_x0.75-1.33,449,39,0.10104621904383525,0.8652954808806489,0.56720741599073
A2,disp1_m4,sel_on_routing_x0.5-2.0,1090,110,0.10104621904383525,0.8006609845190468,0.5913202296051487
A2,disp2_m1,sel_on_tier1_x0.75-1.33,695,90,0.1157940339150885,0.5075088672553015,0.7630367519432496
A2,disp2_m1,sel_on_tier1_x0.5-2.0,1673,188,0.1157940339150885,0.6399555315185386,0.8051198846223183
A2,disp2_m1,sel_on_routing_x0.75-1.33,468,44,0.1157940339150885,0.7902388369678089,0.5096053997923157
A2,disp2_m1,sel_on_routing_x0.5-2.0,1146,121,0.1157940339150885,0.7768210780092991,0.6079214740830032
A2,disp2_m2,sel_on_tier1_x0.75-1.33,1164,74,0.14734910793369607,0.5476335793153193,0.7672418576263663
A2,disp2_m2,sel_on_tier1_x0.5-2.0,2676,204,0.14734910793369607,0.6415069115799042,0.8016452323021666
A2,disp2_m2,sel_on_routing_x0.75-1.33,813,93,0.14734910793369607,0.658116385911179,0.48995022970903523
A2,disp2_m2,sel_on_routing_x0.5-2.0,1924,230,0.14734910793369607,0.7024214162032414,0.6055647680735862
A2,disp2_m4,sel_on_tier1_x0.75-1.33,1435,244,0.2142100384055092,0.5753481465626797,0.7722633205356306
A2,disp2_m4,sel_on_tier1_x0.5-2.0,3414,609,0.2142100384055092,0.6619699428490793,0.7586561302006162
A2,disp2_m4,sel_on_routing_x0.75-1.33,1109,180,0.2142100384055092,0.6679412560909583,0.5891761414907056
A2,disp2_m4,sel_on_routing_x0.5-2.0,2773,464,0.2142100384055092,0.6925796128182365,0.6395121567055185
A2,drop1_m1,sel_on_tier1_x0.5-2.0,107,35,0.21711229946524063,0.7523749208359721,0.811272957568081
A2,drop1_m1,sel_on_routing_x0.5-2.0,100,44,0.21711229946524063,0.5875706214689266,0.4392655367231638
A2,drop1_m2,sel_on_tier1_x0.5-2.0,138,100,0.4559902200488998,0.6101694915254238,0.7956131605184447
A2,drop1_m4,sel_on_tier1_x0.5-2.0,356,303,0.5567010309278351,0.8556717363751585,0.8908428390367554
A2,drop1_m4,sel_on_routing_x0.5-2.0,309,279,0.5567010309278351,0.8044667274384686,0.8204193254329991
A2,drop2_m2,sel_on_tier1_x0.5-2.0,128,66,0.40804169769173493,0.6596758817921831,0.7816968541468065
A2,drop2_m2,sel_on_routing_x0.5-2.0,93,54,0.40804169769173493,0.7405159332321699,0.622154779969651
A2,drop2_m4,sel_on_tier1_x0.5-2.0,847,755,0.6015037593984962,0.8744576052538994,0.861322856807787
A2,drop2_m4,sel_on_routing_x0.75-1.33,80,50,0.6015037593984962,0.7318548387096774,0.5584677419354839
A2,drop2_m4,sel_on_routing_x0.5-2.0,819,745,0.6015037593984962,0.8790118243243243,0.8526182432432432
A2,grip_m1,sel_on_tier1_x0.5-2.0,598,46,0.06448817923010274,0.5241947565543071,0.7107116104868914
A2,grip_m1,sel_on_routing_x0.5-2.0,754,62,0.06448817923010274,0.8355511746344669,0.6904879250862493
A2,grip_m2,sel_on_tier1_x0.75-1.33,483,48,0.13096292547134,0.5243431221020093,0.652434312210201
A2,grip_m2,sel_on_tier1_x0.5-2.0,1126,123,0.13096292547134,0.6291405917237312,0.6825792077585925
