seed,ncomm,bestJ,best_n,best_fail,B_n,B_fail,B_prec,B_rec,B_jacC7
20261828,16,1.0,219,215,219,215,0.982,0.7,1.0
20261830,15,0.41,214,202,214,202,0.944,0.658,0.41
13345,17,0.489,107,107,214,210,0.981,0.684,0.977
1999,16,0.709,309,293,309,293,0.948,0.954,0.709
1,16,0.489,107,107,107,107,1.0,0.349,0.489
2,16,0.745,294,279,294,279,0.949,0.909,0.745
3,15,0.732,299,285,299,285,0.953,0.928,0.732
4,15,0.511,112,108,219,215,0.982,0.7,1.0
5,15,0.702,300,286,300,286,0.953,0.932,0.702
6,16,0.489,107,107,107,107,1.0,0.349,0.489
7,16,0.716,306,290,306,290,0.948,0.945,0.716
8,16,0.489,107,107,191,189,0.99,0.616,0.872
9,16,0.489,107,107,306,290,0.948,0.945,0.688
10,15,0.658,320,271,0,0,0.0,0.0,0.0
11,15,0.511,112,108,219,215,0.982,0.7,1.0
12,16,0.41,214,202,214,202,0.944,0.658,0.41
13,15,0.711,308,294,308,294,0.955,0.958,0.711
14,16,0.489,107,107,107,107,1.0,0.349,0.489
15,17,0.489,107,107,214,210,0.981,0.684,0.977
16,16,0.693,294,280,294,280,0.952,0.912,0.693
17,16,0.489,107,107,262,248,0.947,0.808,0.801
18,16,0.73,288,274,288,274,0.951,0.893,0.73
19,16,0.758,289,275,289,275,0.952,0.896,0.758
20,15,0.489,107,107,107,107,1.0,0.349,0.489
21,15,0.489,107,103,214,210,0.981,0.684,0.977
22,14,0.489,107,107,306,290,0.948,0.945,0.688
23,16,0.498,109,109,109,109,1.0,0.355,0.498
24,15,0.489,107,107,107,107,1.0,0.349,0.489
25,17,0.489,107,107,213,209,0.981,0.681,0.973
26,15,0.654,322,273,0,0,0.0,0.0,0.0
27,15,0.713,307,293,307,293,0.954,0.954,0.713
28,16,0.702,300,286,300,286,0.953,0.932,0.702
29,15,0.498,109,109,197,195,0.99,0.635,0.9
30,16,0.498,109,109,213,209,0.981,0.681,0.973
31,15,0.489,107,107,107,107,1.0,0.349,0.489
32,16,0.433,198,186,198,186,0.939,0.606,0.433
33,16,0.412,213,201,213,201,0.944,0.655,0.412
34,16,0.489,107,107,214,210,0.981,0.684,0.977
35,15,0.698,299,285,299,285,0.953,0.928,0.698
36,16,0.74,284,270,284,270,0.951,0.879,0.74
