seed,lag_rule,set,n,succ,fail,precision,recall,jac_vs_orig
None,maxfail,raw_core,252,6,246,0.9762,0.8013,1.0
None,maxfail,event_core,214,5,209,0.9766,0.6808,1.0
None,maxfail,lag_core,219,4,215,0.9817,0.7003,1.0
None,maxfail,vote>=2,217,4,213,0.9816,0.6938,1.0
None,maxfail,intersect,185,3,182,0.9838,0.5928,1.0
None,maxfail,union,283,8,275,0.9717,0.8958,1.0
None,purity>=0.9,raw_core,252,6,246,0.9762,0.8013,1.0
None,purity>=0.9,event_core,214,5,209,0.9766,0.6808,1.0
None,purity>=0.9,lag_core,219,4,215,0.9817,0.7003,1.0
None,purity>=0.9,vote>=2,217,4,213,0.9816,0.6938,1.0
None,purity>=0.9,intersect,185,3,182,0.9838,0.5928,1.0
None,purity>=0.9,union,283,8,275,0.9717,0.8958,1.0
20260830,maxfail,raw_core,260,7,253,0.9731,0.8241,0.9542
20260830,maxfail,event_core,214,5,209,0.9766,0.6808,1.0
20260830,maxfail,lag_core,109,0,109,1.0,0.355,0.4977
20260830,maxfail,vote>=2,205,4,201,0.9805,0.6547,0.9269
20260830,maxfail,intersect,101,0,101,1.0,0.329,0.5132
20260830,maxfail,union,277,8,269,0.9711,0.8762,0.9718
20260830,purity>=0.9,raw_core,260,7,253,0.9731,0.8241,0.9542
20260830,purity>=0.9,event_core,214,5,209,0.9766,0.6808,1.0
20260830,purity>=0.9,lag_core,109,0,109,1.0,0.355,0.4977
20260830,purity>=0.9,vote>=2,205,4,201,0.9805,0.6547,0.9269
20260830,purity>=0.9,intersect,101,0,101,1.0,0.329,0.5132
20260830,purity>=0.9,union,277,8,269,0.9711,0.8762,0.9718
12345,maxfail,raw_core,264,14,250,0.947,0.8143,0.9545
12345,maxfail,event_core,214,5,209,0.9766,0.6808,1.0
12345,maxfail,lag_core,109,0,109,1.0,0.355,0.4977
12345,maxfail,vote>=2,205,5,200,0.9756,0.6515,0.9358
12345,maxfail,intersect,99,0,99,1.0,0.3225,0.5187
12345,maxfail,union,283,14,269,0.9505,0.8762,0.9384
12345,purity>=0.9,raw_core,264,14,250,0.947,0.8143,0.9545
12345,purity>=0.9,event_core,214,5,209,0.9766,0.6808,1.0
12345,purity>=0.9,lag_core,214,4,210,0.9813,0.684,0.9772
12345,purity>=0.9,vote>=2,217,5,212,0.977,0.6906,0.9908
12345,purity>=0.9,intersect,183,3,180,0.9836,0.5863,0.9679
12345,purity>=0.9,union,292,15,277,0.9486,0.9023,0.9692
999,maxfail,raw_core,255,7,248,0.9725,0.8078,0.9651
999,maxfail,event_core,214,5,209,0.9766,0.6808,1.0
999,maxfail,lag_core,109,0,109,1.0,0.355,0.4977
999,maxfail,vote>=2,204,4,200,0.9804,0.6515,0.9312
999,maxfail,intersect,97,0,97,1.0,0.316,0.508
999,maxfail,union,277,8,269,0.9711,0.8762,0.958
999,purity>=0.9,raw_core,255,7,248,0.9725,0.8078,0.9651
999,purity>=0.9,event_core,214,5,209,0.9766,0.6808,1.0
999,purity>=0.9,lag_core,109,0,109,1.0,0.355,0.4977
999,purity>=0.9,vote>=2,204,4,200,0.9804,0.6515,0.9312
999,purity>=0.9,intersect,97,0,97,1.0,0.316,0.508
999,purity>=0.9,union,277,8,269,0.9711,0.8762,0.958
