aperture_at_fork,arm,base_task,benchmark,category,eef_to_target_m,event_id,failed,freeze_after_1,handback_step,knn_after_8,lifted,main_id,model_queries,original_remaining,physical_class,post_arc_bandedness_back,post_arc_size_back,post_state_top1_front,pre_arc_bandedness_back,pre_arc_size_back,pre_state_top1_front,queries,repair_chunks,repair_kind,repair_reason,repair_steps,replicate,restalled,restalled_query,retract_reason,start_query,success_original,success_step,success_window,target_name,timing
0.07982859350848802,scripted_regrasp,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,plus,Sensor Noise,0.305021847722707,4004ef26aabc0c61d950d664,True,-0.01456525456160307,110,3.9250693321228027,True,0090f12ce80992adbd8f4613,19,80,untouched,0.9259552042160737,0.002412173816319989,0.3028634650985115,0.859288537549407,0.001136336715181895,0.27563022170469276,19,11,regrasp,regrasp,110,0,False,,reached,44,False,,False,moka_pot_1,late
0.07163207234432319,new_noise,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.08901075488191096,b2bbd67399b4ee704088b06e,True,-0.4584498703479767,0,2.4269638061523438,,3e6466b66694b7b6325fa52e,30,330,dropped_or_tipped,0.8979907773386034,0.0024369336888936475,0.18911881129187522,0.8987483530961792,0.0025481038627162417,0.3829476567648246,30,0,none,none,0,0,False,,,19,False,,False,alphabet_soup_1,mid
0.07163207234432319,open_only,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.08901075488191096,b2bbd67399b4ee704088b06e,True,-0.4509281814098358,10,5.635561466217041,,3e6466b66694b7b6325fa52e,29,330,dropped_or_tipped,0.8404808959156784,0.0017781705597433705,0.31655890729687064,0.8987483530961792,0.0025481038627162417,0.3829476567648246,29,1,open,open,10,0,False,,,19,False,,False,alphabet_soup_1,mid
0.07163207234432319,retract_history,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.08901075488191096,b2bbd67399b4ee704088b06e,True,-0.4713585674762726,20,2.4779984951019287,,3e6466b66694b7b6325fa52e,28,330,dropped_or_tipped,0.8754281949934124,0.00232072903482204,0.3663586935575577,0.8987483530961792,0.0025481038627162417,0.3829476567648246,28,2,retract,reached,20,0,False,,reached,19,False,,False,alphabet_soup_1,mid
0.07163207234432319,retract_above_target,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.08901075488191096,b2bbd67399b4ee704088b06e,True,-0.4780937135219574,30,1.3338016271591187,,3e6466b66694b7b6325fa52e,27,330,dropped_or_tipped,0.8206192358366271,0.001656070191866339,0.3628222632488899,0.8987483530961792,0.0025481038627162417,0.3829476567648246,27,3,retract,reached,30,0,False,,reached,19,False,,False,alphabet_soup_1,mid
0.07163207234432319,retract_above_target_noisy,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.08901075488191096,b2bbd67399b4ee704088b06e,True,-0.4703783690929413,30,4.3527421951293945,,3e6466b66694b7b6325fa52e,27,330,dropped_or_tipped,0.8164031620553358,0.0015381971731741307,0.32352379732289166,0.8987483530961792,0.0025481038627162417,0.3829476567648246,27,3,retract,reached,30,0,True,16,reached,19,False,,False,alphabet_soup_1,mid
0.07163207234432319,scripted_regrasp,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.08901075488191096,b2bbd67399b4ee704088b06e,True,-0.4517819881439209,100,1.6906262636184692,False,3e6466b66694b7b6325fa52e,20,330,dropped_or_tipped,0.6162714097496705,0.0031128122113902685,0.37831089009665,0.8987483530961792,0.0025481038627162417,0.3829476567648246,20,10,regrasp,regrasp,100,0,False,,reached,19,False,,False,alphabet_soup_1,mid
0.07888775784450831,new_noise,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.38675913981179016,b2e3beb82a6d458170f7fb8e,True,-0.28134360909461975,0,1.1521968841552734,,3e6466b66694b7b6325fa52e,30,80,dropped_or_tipped,0.8663372859025031,0.0015936095930464886,0.21028834249279796,0.8596508563899867,0.0013142344230810102,0.1927909979566121,30,0,none,none,0,0,False,,,44,False,,False,alphabet_soup_1,late
0.07888775784450831,open_only,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.38675913981179016,b2e3beb82a6d458170f7fb8e,True,-0.27763649821281433,10,1.136204481124878,,3e6466b66694b7b6325fa52e,29,80,dropped_or_tipped,0.8728919631093542,0.0015644860780252789,0.22147435553810668,0.8596508563899867,0.0013142344230810102,0.1927909979566121,29,1,open,open,10,0,False,,,44,False,,False,alphabet_soup_1,late
0.07888775784450831,retract_history,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.38675913981179016,b2e3beb82a6d458170f7fb8e,True,-0.32405808568000793,20,0.8311614990234375,,3e6466b66694b7b6325fa52e,28,80,dropped_or_tipped,0.8445652173913042,0.00141912444035955,0.14018105617919846,0.8596508563899867,0.0013142344230810102,0.1927909979566121,28,2,retract,reached,20,0,False,,reached,44,False,,False,alphabet_soup_1,late
0.07888775784450831,retract_above_target,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.38675913981179016,b2e3beb82a6d458170f7fb8e,True,-0.3712501525878906,50,2.1312739849090576,,3e6466b66694b7b6325fa52e,11,80,dropped_or_tipped,0.931159420289855,0.002556837721491933,0.287326632309594,0.8596508563899867,0.0013142344230810102,0.1927909979566121,11,5,retract,reached,50,0,False,,reached,44,False,153,True,alphabet_soup_1,late
0.07888775784450831,retract_above_target_noisy,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.38675913981179016,b2e3beb82a6d458170f7fb8e,True,-0.3561563789844513,50,2.1075146198272705,,3e6466b66694b7b6325fa52e,11,80,dropped_or_tipped,0.8968708827404479,0.001957580629713534,0.28962652048486814,0.8596508563899867,0.0013142344230810102,0.1927909979566121,11,5,retract,reached,50,0,False,,reached,44,False,153,True,alphabet_soup_1,late
0.07888775784450831,scripted_regrasp,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.38675913981179016,b2e3beb82a6d458170f7fb8e,True,-0.37172794342041016,110,1.7126387357711792,False,3e6466b66694b7b6325fa52e,19,80,dropped_or_tipped,0.6334650856389987,0.003083832028413798,0.36021619994957726,0.8596508563899867,0.0013142344230810102,0.1927909979566121,19,11,regrasp,regrasp,110,0,False,,reached,44,False,,False,alphabet_soup_1,late
0.014922122503827386,new_noise,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_level5_sample4,plus,Objects Layout,0.1432002747163969,4677615bf14c5ce7e8ea6313,True,-0.4727238714694977,0,1.689857840538025,,3e6466b66694b7b6325fa52e,30,430,dropped_or_tipped,0.8061264822134386,0.0019441758929434247,0.23741427990598613,0.8682147562582345,0.004057918830658987,0.17994733847789646,30,0,none,none,0,0,False,,,9,False,,False,alphabet_soup_1,early
