dataset,snapshot,layer_group,view,flow,median_dispersion,mean_dispersion,candidates
rolling_star_k16,worker0_snapshot000,all,expert_load,3,0.007208471652120352,0.007204811088740826,16
rolling_star_k16,worker0_snapshot000,all,expert_load,4,0.007210842799395323,0.007198522798717022,16
rolling_star_k16,worker0_snapshot000,all,expert_load,5,0.007337198592722416,0.0073160445317626,16
rolling_star_k16,worker0_snapshot000,all,expert_load,6,0.007454501930624247,0.0074049620889127254,16
rolling_star_k16,worker0_snapshot000,all,expert_load,7,0.007391428574919701,0.007305149454623461,16
rolling_star_k16,worker0_snapshot000,all,expert_load,8,0.007191677577793598,0.007072858512401581,16
rolling_star_k16,worker0_snapshot000,all,expert_load,9,0.0067910985089838505,0.006924259942024946,16
rolling_star_k16,worker0_snapshot000,all,spectrum,0,0.003670798847451806,0.0037906374782323837,16
rolling_star_k16,worker0_snapshot000,all,spectrum,1,0.0036393257323652506,0.003761186497285962,16
rolling_star_k16,worker0_snapshot000,all,spectrum,2,0.0035777436569333076,0.003766285488381982,16
rolling_star_k16,worker0_snapshot000,all,spectrum,3,0.003639748552814126,0.0038105614949017763,16
rolling_star_k16,worker0_snapshot000,all,spectrum,4,0.003742645028978586,0.003897483926266432,16
rolling_star_k16,worker0_snapshot000,all,spectrum,5,0.0038519694935530424,0.003953258041292429,16
rolling_star_k16,worker0_snapshot000,all,spectrum,6,0.003780723549425602,0.003871489781886339,16
rolling_star_k16,worker0_snapshot000,all,spectrum,7,0.003550146473571658,0.003608138533309102,16
rolling_star_k16,worker0_snapshot000,all,spectrum,8,0.003113011596724391,0.0032036828342825174,16
rolling_star_k16,worker0_snapshot000,all,spectrum,9,0.0030252542346715927,0.00306498259305954,16
rolling_star_k16,worker0_snapshot000,front,edge_action,0,0.03894383832812309,0.03927609696984291,16
rolling_star_k16,worker0_snapshot000,front,edge_action,1,0.03837713599205017,0.03881167620420456,16
rolling_star_k16,worker0_snapshot000,front,edge_action,2,0.03876689821481705,0.03914416953921318,16
rolling_star_k16,worker0_snapshot000,front,edge_action,3,0.03915715962648392,0.03934425488114357,16
rolling_star_k16,worker0_snapshot000,front,edge_action,4,0.03911500796675682,0.03926775977015495,16
rolling_star_k16,worker0_snapshot000,front,edge_action,5,0.038457874208688736,0.03859333321452141,16
rolling_star_k16,worker0_snapshot000,front,edge_action,6,0.03656483441591263,0.036623258143663406,16
rolling_star_k16,worker0_snapshot000,front,edge_action,7,0.033410388976335526,0.03346610069274902,16
rolling_star_k16,worker0_snapshot000,front,edge_action,8,0.029464270919561386,0.02970515750348568,16
rolling_star_k16,worker0_snapshot000,front,edge_action,9,0.026726892217993736,0.02689814753830433,16
rolling_star_k16,worker0_snapshot000,front,edge_state,0,0.0006053274846635759,0.00048345609684474766,16
rolling_star_k16,worker0_snapshot000,front,edge_state,1,0.0005486124427989125,0.0004430216795299202,16
rolling_star_k16,worker0_snapshot000,front,edge_state,2,0.0006053274846635759,0.0004486282996367663,16
rolling_star_k16,worker0_snapshot000,front,edge_state,3,0.0006053274846635759,0.0004555998893920332,16
rolling_star_k16,worker0_snapshot000,front,edge_state,4,0.0006053274846635759,0.0003920501912944019,16
rolling_star_k16,worker0_snapshot000,front,edge_state,5,0.0006053274846635759,0.0003766312438528985,16
rolling_star_k16,worker0_snapshot000,front,edge_state,6,0.0004873868892900646,0.00043953044223599136,16
rolling_star_k16,worker0_snapshot000,front,edge_state,7,0.0006053274846635759,0.0004198704264126718,16
rolling_star_k16,worker0_snapshot000,front,edge_state,8,0.0006065215566195548,0.0005047959857620299,16
rolling_star_k16,worker0_snapshot000,front,edge_state,9,0.0,0.00012800957483705133,16
rolling_star_k16,worker0_snapshot000,front,token_gram,0,0.002124147955328226,0.0021556138526648283,16
rolling_star_k16,worker0_snapshot000,front,token_gram,1,0.0020656604319810867,0.00210334500297904,16
rolling_star_k16,worker0_snapshot000,front,token_gram,2,0.0020667847711592913,0.0020891001913696527,16
rolling_star_k16,worker0_snapshot000,front,token_gram,3,0.002073904499411583,0.002083882689476013,16
rolling_star_k16,worker0_snapshot000,front,token_gram,4,0.0020606147591024637,0.0020770372357219458,16
rolling_star_k16,worker0_snapshot000,front,token_gram,5,0.002073809737339616,0.002100034849718213,16
