dataset,layer_group,view,snapshots,median_ratio_d9_d0,bootstrap_95_low,bootstrap_95_high,contracting_snapshots,fraction_contracting,sign_test_p_contraction,wilcoxon_p_d9_less_d0,median_d0,median_d9,median_log_slope
fork_pilot_n32,all,edge_action,20,0.8787703274914573,0.684918953888316,1.1434096339180757,11,0.55,0.41190147399902344,0.05269908905029297,0.025089391507208347,0.022514992393553257,-0.018415884791021398
fork_pilot_n32,all,edge_state,20,0.9730258518343138,0.9377466669681722,1.0074235659962736,13,0.65,0.13158798217773438,0.09467411041259766,0.000666532781906426,0.0006719483935739845,-0.006427374208592197
fork_pilot_n32,all,expert_load,20,1.0838348668779907,0.8265613030561375,1.3867741096575812,9,0.45,0.7482776641845703,0.9551525115966797,0.006199931725859642,0.006884390022605658,0.004829274732659372
fork_pilot_n32,all,spectrum,20,1.4952538907913362,0.8187703682871449,1.904882925501032,9,0.45,0.7482776641845703,0.9892578125,0.0028945468366146088,0.004349300637841225,0.03481194297172195
fork_pilot_n32,all,token_gram,20,1.5032965606838182,0.7460383533725717,2.6338108767616544,9,0.45,0.7482776641845703,0.9757795333862305,0.0014336859458126128,0.0018744959379546344,0.03298175625388216
fork_pilot_n32,back,edge_action,20,1.1362229095775087,0.7717717941691123,1.650798789321179,9,0.45,0.7482776641845703,0.9734153747558594,0.01933901757001877,0.02263013180345297,0.0035024468605188903
fork_pilot_n32,back,edge_state,20,0.9736895521343663,0.9597513878013045,0.9970867278596784,14,0.7,0.057659149169921875,0.031861305236816406,0.0007909203413873911,0.0007631434709765017,-0.0027348452080228386
fork_pilot_n32,back,expert_load,20,1.3316197923606885,0.846866000148604,1.8701279906975774,8,0.4,0.8684120178222656,0.9800052642822266,0.005479039391502738,0.0073077857960015535,0.02180595631997158
fork_pilot_n32,back,spectrum,20,1.8958040953159323,0.897146711800386,2.8841329240456526,7,0.35,0.9423408508300781,0.9923439025878906,0.002369852736592293,0.004601280204951763,0.06251167624461598
fork_pilot_n32,back,token_gram,20,2.867290574580328,0.9497725512396753,8.415500729264595,7,0.35,0.9423408508300781,0.9963521957397461,0.0005385895783547312,0.0015446505858562887,0.10993433048362525
fork_pilot_n32,front,edge_action,20,0.7333021850237373,0.6583270031751669,0.7711599320186099,20,1.0,9.5367431640625e-07,9.5367431640625e-07,0.029848800040781498,0.02193297166377306,-0.030379862882014354
fork_pilot_n32,front,edge_state,20,0.8953691968374853,0.6448910435306983,0.9946525724236155,14,0.7,0.057659149169921875,0.07229123601629339,0.0003786430024774745,0.00036811143218073994,-0.05098501731279679
fork_pilot_n32,front,expert_load,20,0.8493227146921809,0.8052146606402798,0.9073331873862974,20,1.0,9.5367431640625e-07,9.5367431640625e-07,0.006858866196125746,0.005869948538020253,-0.014684914825227758
fork_pilot_n32,front,spectrum,20,0.8794618492498159,0.7749302999053294,0.9533140075823618,15,0.75,0.020694732666015625,0.0005083084106445312,0.0033570347586646676,0.0029413700103759766,-0.017187739240462664
fork_pilot_n32,front,token_gram,20,0.8333838198322436,0.7212648015084768,0.9088344215991084,19,0.95,2.002716064453125e-05,0.0001049041748046875,0.001945969823282212,0.0014820725191384554,-0.019393268302385296
rolling_star_k16,all,edge_action,22,0.6270613493319201,0.6170208477965397,0.6550185379066035,22,1.0,2.384185791015625e-07,2.384185791015625e-07,0.030061911791563034,0.018958551809191704,-0.05201934531992837
rolling_star_k16,all,edge_state,22,0.0,0.0,0.8008290862198457,20,0.9090909090909091,6.0558319091796875e-05,0.00014052152411974717,0.0006542547780554742,0.0,-0.941045738857396
rolling_star_k16,all,expert_load,22,0.7660126191328167,0.7428578905663793,0.8078151895686557,22,1.0,2.384185791015625e-07,2.384185791015625e-07,0.007427292410284281,0.005588328931480646,-0.025200094049736284
