dataset,snapshot,layer_group,view,d0,d9,ratio_d9_d0,log_slope,declining_transition_fraction,candidates
rolling_star_k16,worker0_snapshot000,all,edge_action,0.03125227242708206,0.023332657292485237,0.7465907430227704,-0.03011198229443394,0.6666666666666666,16
rolling_star_k16,worker0_snapshot000,all,edge_state,0.0007223942084237933,0.0,0.0,-1.0984709644674568,0.5555555555555556,16
rolling_star_k16,worker0_snapshot000,all,token_gram,0.0015489233192056417,0.0010702945291996002,0.690992585577765,-0.033501266862779065,0.6666666666666666,16
rolling_star_k16,worker0_snapshot000,all,expert_load,0.007843896746635437,0.0067910985089838505,0.8657812218011189,-0.008133792779977132,0.6666666666666666,16
rolling_star_k16,worker0_snapshot000,all,spectrum,0.003670798847451806,0.0030252542346715927,0.8241405645998997,-0.01654609223505879,0.6666666666666666,16
rolling_star_k16,worker0_snapshot000,front,edge_action,0.03894383832812309,0.026726892217993736,0.686293220324229,-0.03759980686730243,0.7777777777777778,16
rolling_star_k16,worker0_snapshot000,front,edge_state,0.0006053274846635759,0.0,0.0,-1.1026619364939996,0.3333333333333333,16
rolling_star_k16,worker0_snapshot000,front,token_gram,0.002124147955328226,0.0013995326589792967,0.6588677853012547,-0.03932908979461141,0.6666666666666666,16
rolling_star_k16,worker0_snapshot000,front,expert_load,0.009106866084039211,0.007695968262851238,0.8450731779551774,-0.014335600063589046,0.7777777777777778,16
rolling_star_k16,worker0_snapshot000,front,spectrum,0.004539684858173132,0.003162642475217581,0.69666564398708,-0.03414504997849866,0.6666666666666666,16
rolling_star_k16,worker0_snapshot000,back,edge_action,0.02070976421236992,0.01917991042137146,0.926128864852808,-0.009251452020721885,0.5555555555555556,16
rolling_star_k16,worker0_snapshot000,back,edge_state,0.0008555862586945295,0.0,0.0,-1.1103155442899564,0.6666666666666666,16
rolling_star_k16,worker0_snapshot000,back,token_gram,0.000503400107845664,0.0005807287525385618,1.1536126899611348,0.020644319195790618,0.3333333333333333,16
rolling_star_k16,worker0_snapshot000,back,expert_load,0.006162968464195728,0.0058318497613072395,0.9462728545810107,-0.0017089970169315719,0.4444444444444444,16
rolling_star_k16,worker0_snapshot000,back,spectrum,0.0026330656837671995,0.002736711408942938,1.039363136975546,0.011094146318501702,0.5555555555555556,16
rolling_star_k16,worker0_snapshot001,all,edge_action,0.03114287741482258,0.02102690003812313,0.6751752498025534,-0.04141382156247589,0.8888888888888888,16
rolling_star_k16,worker0_snapshot001,all,edge_state,0.0007727716001681983,0.0,0.0,-1.9753838083983273,0.4444444444444444,16
rolling_star_k16,worker0_snapshot001,all,token_gram,0.0015483832685276866,0.0009275418124161661,0.5990389015880668,-0.05363107854761315,1.0,16
