corpus,lead,score,event_mean_auc,bootstrap_95_low,bootstrap_95_high,events,pair_weighted_auc,pairs
grid50x8,-8,baseline,0.6077481840193705,0.568919575598601,0.646883323244552,354,0.6104111405835544,1508
grid50x8,-8,conditional,0.50034758428919,0.45534389120611746,0.5450301963851234,274,0.5187343880099917,1201
grid50x8,-8,fusion,0.5498435870698644,0.5051438129996525,0.5941269117135906,274,0.5661948376353039,1201
grid50x8,-6,baseline,0.5410117592269181,0.5032073000349284,0.5785195453487018,409,0.5585106382978723,1692
grid50x8,-6,conditional,0.49669509594882727,0.45584221748400855,0.5378964108031272,335,0.5141158989598811,1346
grid50x8,-6,fusion,0.5284434968017057,0.4863880597014925,0.5704623312011371,335,0.5438335809806835,1346
grid50x8,-4,baseline,0.572797619047619,0.531150462962963,0.614140873015873,360,0.6012931034482759,1392
grid50x8,-4,conditional,0.5024074810982888,0.45976886855020555,0.5449936994296325,359,0.494592645998558,1387
grid50x8,-4,fusion,0.5317880355484813,0.48883124419684315,0.5745131980368748,359,0.5421773612112473,1387
grid50x8,-2,baseline,0.6742180205415499,0.630255407718643,0.7170636865857454,306,0.6630727762803235,1113
grid50x8,-2,conditional,0.6582710862122626,0.6136941721132897,0.7016501322751322,306,0.6235399820305481,1113
grid50x8,-2,fusion,0.7093448490507314,0.6681759648303766,0.7498996265172735,306,0.6774483378256964,1113
grid50x8,0,baseline,0.7553445674044265,0.7135250041918175,0.7967473591549294,284,0.7644183773216031,1023
grid50x8,0,conditional,0.7020204560697519,0.656765174379611,0.7468146378269617,284,0.6725317693059628,1023
grid50x8,0,fusion,0.7805080482897384,0.7392771210596915,0.818729250503018,284,0.7673509286412512,1023
main16x32,-8,baseline,0.501129232972934,0.43477490952827247,0.5681575617145981,98,0.5269590222861251,1391
main16x32,-8,conditional,0.4380819038145844,0.3688286680082301,0.5083925005657289,89,0.446535500427716,1169
main16x32,-8,fusion,0.4907404775043287,0.4175810252929297,0.5631924321587538,89,0.525235243798118,1169
main16x32,-6,baseline,0.4834708671257282,0.42324055947794736,0.5446393273704522,116,0.51619804400978,1636
main16x32,-6,conditional,0.516104968380314,0.4469368559315686,0.5850061543085324,98,0.575859178541492,1193
main16x32,-6,fusion,0.5475072126322948,0.47802020012026597,0.6160219473093898,98,0.6068734283319362,1193
main16x32,-4,baseline,0.5460482569072376,0.4772251896032986,0.6129295233003816,107,0.5699272433306386,1237
main16x32,-4,conditional,0.5346308055718078,0.4656717128355821,0.6021893028805573,107,0.50767987065481,1237
main16x32,-4,fusion,0.5476953322420023,0.4800133374136033,0.6148741510831626,107,0.5561843168957155,1237
main16x32,-2,baseline,0.6216071585517657,0.5544187988585396,0.6881506224516869,103,0.6589316987740805,1142
main16x32,-2,conditional,0.7260307895193991,0.6666774018439133,0.78284862955217,103,0.6742556917688266,1142
main16x32,-2,fusion,0.7432894636942554,0.6828533158265343,0.7999229658029938,103,0.7215411558669002,1142
main16x32,0,baseline,0.5983532371606146,0.5225511747294979,0.6701522003900438,103,0.7531362007168458,1116
main16x32,0,conditional,0.5966189342346085,0.5252326124284672,0.6668753950771287,103,0.5752688172043011,1116
main16x32,0,fusion,0.6197269246161184,0.5563851767876205,0.6809459191851301,103,0.6944444444444444,1116
