corpus,lead,fusion_minus_baseline_event_auc,bootstrap_95_low,bootstrap_95_high,events,fraction_events_improved
grid50x8,-8,-0.06939085853319431,-0.11186163972888424,-0.02766705769899206,274,0.21897810218978103
grid50x8,-6,-0.025984363894811655,-0.06560572139303483,0.014080490405117196,335,0.23582089552238805
grid50x8,-4,-0.04260512004244595,-0.09022416766149358,0.0052001260114073085,359,0.23676880222841226
grid50x8,-2,0.035126828509181446,-0.012998852318705258,0.08399490351696233,306,0.2679738562091503
grid50x8,0,0.025163480885311874,-0.013875020959087861,0.0651079393024815,284,0.1619718309859155
main16x32,-8,-0.03735007048153054,-0.1010667811703353,0.030215332971194272,89,0.2808988764044944
main16x32,-6,0.0315087228043943,-0.03219809827878459,0.09647712285991993,98,0.3877551020408163
main16x32,-4,0.0016470753347645787,-0.05946691135283007,0.06325067101844833,107,0.308411214953271
main16x32,-2,0.1216823051424898,0.05318521282188492,0.1913399093397536,103,0.4854368932038835
main16x32,0,0.02137368745550367,-0.054395905474563404,0.0980104129180097,103,0.3883495145631068
