suite,chunk,series,auc,direction,n_risk,n_safe,deadline,tp@fp10,fp@fp10,tp@fp20,fp@fp20,tp@fp40,fp@fp40,degenerate,gauss_tp@fp20,floor_auc,floor_tp,auc_margin,tp_margin
libero_goal,6,rank_footrule_open_back,0.5418241337094799,high,102,3898,True,0,11,0,21,0,41,False,0.7951460624089213,0.10145313248522914,4.0,-0.05962899877574923,-4.0
libero_goal,6,rank_footrule_open_all,0.5152632139245222,high,102,3898,True,0,11,0,21,0,41,False,0.6109247382414901,0.10145313248522914,4.0,-0.0861899185607069,-4.0
libero_goal,6,rank_footrule_open_fbr,0.5087826688667696,high,102,3898,True,0,11,0,21,2,41,False,0.572257264088222,0.10145313248522914,4.0,-0.09267046361845954,-4.0
libero_goal,6,tok_disp_back,0.6682812583169213,high,102,3898,True,4,11,6,21,8,41,False,2.601129789628669,0.10145313248522914,4.0,0.06682812583169218,2.0
libero_goal,6,tok_disp_all,0.6499707244371108,high,102,3898,True,7,11,8,21,11,41,False,2.2016196376532178,0.10145313248522914,4.0,0.048517591951881656,4.0
libero_goal,6,tok_disp_fbr,0.5918454250279448,low,102,3898,True,0,11,0,21,1,41,False,1.2850423557460764,0.10145313248522914,4.0,-0.009607707457284342,-4.0
libero_goal,6,tok_near_far_back,0.6771437696279342,high,102,3898,True,0,11,0,21,1,41,False,2.8188643474202695,0.10145313248522914,4.0,0.07569063714270508,-4.0
libero_goal,6,tok_near_far_all,0.6678288177995423,high,102,3898,True,0,11,0,21,3,41,False,2.590463917849728,0.10145313248522914,4.0,0.06637568531431315,-4.0
libero_goal,6,tok_near_far_fbr,0.6161973705221696,low,102,3898,True,0,11,0,21,0,41,False,1.6134667824411166,0.10145313248522914,4.0,0.014744238036940471,-4.0
libero_goal,6,tok_effrank_back,0.5246180869750359,low,102,3898,True,0,11,0,21,0,41,False,0.6708766941961052,0.10145313248522914,4.0,-0.07683504551019327,-4.0
